Sector Ratios - 2019 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",2.8,4.9303,0.9304,3,4.6791,0.883,3,4.6791,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.4289,0.8306,3.3,4.2465,0.7967,3.3,4.3405,0.7406,2.8,5.0603,0.8634,2.9,5.5225,0.8555,2.9,5.3855,0.8143,2.8,5.3727,0.8125,2.8,5.4995,0.8316,2.7,5.5695,0.8422
"BEVERAGE, FOOD & TOBACCO",4.1,17.4183,5.884,4.2,17.0916,5.7736,4.2,17.0916,5.7736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,16.2182,5.4811,4.6,16.1624,5.343,4.5,15.5048,5.3233,4.3,16.1912,5.559,4.7,15.2664,5.2602,4.5,15.1841,4.9995,4.5,15.1476,4.9875,4.3,16.0414,5.2818,4.4,15.559,5.123
CHEMICALS & PHARMACEUTICALS,2.9,7.7619,0.8428,3.1,7.3039,0.793,3.1,7.3039,0.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.0264,0.6215,2.9,8.1692,0.6497,2.8,10.9448,0.6827,2.6,11.8091,0.7366,2.5,12.0565,0.7521,2.6,17.3455,0.6869,2.4,18.4902,0.7322,2.4,18.9165,0.7491,2.4,18.8402,0.7461
CONSTRUCTION & ENGINEERING,5.6,16.0687,0.557,5.9,15.3914,0.5336,5.9,15.3914,0.5336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.4621,0.4973,5.2,10.8743,0.4718,4.7,35.4275,0.6023,3.8,43.9639,0.7475,3.7,26.9597,0.7581,3.9,28.8598,0.714,3.3,33.8493,0.8375,3.2,35.2267,0.8716,3.3,34.236,0.8471
DIVERSIFIED HOLDINGS,2.8,10.854,0.9036,2.8,10.7098,0.8916,2.8,10.7098,0.8916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9.8918,0.8231,3.1,9.4743,0.7687,3.4,9.5559,0.7695,3.1,10.5898,0.8527,3.1,10.7511,0.8596,3.1,12.9903,0.8531,3,13.5558,0.8903,2.9,14.1804,0.9313,2.9,14.0673,0.9239
FOOTWEAR & TEXTILES,0.8,53.875,0.9148,0.8,52.4932,0.8913,0.8,52.4932,0.8913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,54.411,0.9239,0.9,44.2897,0.752,0.8,28.786,0.7953,0.7,34.3072,0.9479,0.7,35.3181,0.9758,3.7,15.5732,1.424,3.3,17.4994,1.6001,3.2,18.0015,1.646,3.3,17.2763,1.5797
HEALTH CARE,3.2,16.4512,1.75,3.2,16.4102,1.7457,3.2,16.4102,1.7457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,15.3449,1.628,3.4,15.2301,1.6159,3.2,16.2383,1.7102,3,17.144,1.8056,3,17.2128,1.8129,4.8,19.602,1.6975,4.7,19.9999,1.7319,4.7,19.6295,1.6999,5,18.7451,1.6233
HOTELS & TRAVELS,0.8,98.7071,1.6684,0.8,97.6908,1.6512,0.8,97.6908,1.6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,95.0869,1.6035,0.9,91.2096,1.5622,0.8,92.2485,1.5771,0.8,95.1958,1.6275,0.8,96.5779,1.6163,0.7,116.4513,1.5934,0.7,120.5841,1.65,0.7,122.3052,1.6735,0.7,121.6173,1.6641
