Sector Ratios - 2020 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
Automobiles & Components,11.3,7.31,0.73,13.3,6.25,0.62,15.1,5.49,0.55,,Market Closed Due to COVID- 19,,12.5,6.62,0.66,11.9,7,0.7,10.8,7.69,0.77,7.8,10.25,1.03,6.3,12.76,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,12.78,1.29,5.3,15.04,1.51,5.8,13.87,1.4
Banks,2.9,5.44,0.65,3.1,5.13,0.62,4.1,3.8,0.46,,,,4,3.92,0.47,3.5,4.45,0.54,3.7,4.28,0.51,2.3,4.9,0.52,2.2,5.16,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.86,0.51,2.3,5.03,0.53,2.3,5.18,0.56
Capital Goods,3.6,13.86,0.8,3.9,12.64,0.73,5,9.87,0.57,,,,4.9,10.21,0.59,4.4,11.17,0.64,4.6,10.8,0.62,3.3,12.16,0.71,3,13.39,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,12.82,0.75,2.7,15.09,0.88,2.7,18.05,0.95
Commercial & Professional Services,0.1,,0.92,0.2,,0.84,0.2,,0.75,,,,0.1,,0.9,0.2,,0.84,0.2,,0.86,0,,0.9,0,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.93,0,,1.08,0,,1.05
Consumer Durables & Apparel,4.8,15.39,1.14,5.5,13.46,1,7.8,9.48,0.7,,,,6.9,10.71,0.8,5.9,12.44,0.93,5.7,12.75,0.95,5.6,11.33,0.92,4.4,13.68,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.99,1.02,4.3,13.96,1.19,3.2,13.83,1.32
Consumer Services,0.8,250.48,1.6,0.8,241.83,1.55,0.9,228.18,1.46,,,,0.9,230.07,1.47,0.8,373.02,1.51,0.8,375.97,1.52,2.3,,0.49,1.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,0.46,1.4,,0.54,1.2,,0.62
Diversified Financials,1.4,9.89,0.95,1.6,8.51,0.85,2,6.84,0.68,,,,1.8,7.92,0.79,1.7,8.4,0.83,1.6,8.55,0.84,1.7,7.97,0.81,1.5,8.99,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,8.41,0.86,1.5,8.77,0.89,1.7,9.21,0.93
Energy,2.2,,0.77,2.5,,0.68,2.9,,0.59,,,,2.8,,0.62,2.3,,0.76,2.4,,0.7,2.7,,0.78,2,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,0.94,2.1,,0.98,1.8,,1.1
