Sector Ratios - 2022 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
Automobiles & Components,9.6,9.65,1.42,5.8,12.67,1.13,8.6,8.57,0.76,10.9,6.76,0.6,9.8,7.11,0.64,11,6.33,0.57,10.5,6.63,0.6,7.3,7.96,0.82,7.4,7.9,0.81,7.4,7.82,0.81,8.3,6.98,0.72,8.6,6.75,0.7
Banks,3.4,4.31,0.49,3.5,4.2,0.48,4.2,3.49,0.39,5,2.82,0.32,6.3,2.67,0.31,6.9,2.46,0.29,6.6,2.54,0.3,6.7,3.05,0.28,5.8,3.51,0.32,6.5,3.15,0.29,6.4,3.17,0.29,6.6,3.09,0.29
Capital Goods,1.4,16.68,1.57,2,12.66,1.34,2.8,9.02,0.95,3.9,6.62,0.78,4.3,5.4,0.69,4.5,4.23,0.61,4.4,4.34,0.63,3.5,4.23,0.73,3.1,4.65,0.82,3.6,3.99,0.7,3.7,3.94,0.69,3.9,3.73,0.66
Commercial & Professional Services,2.6,11.44,1.57,3.1,9.36,1.3,4.5,6.48,0.9,4.8,2.2,0.68,4.4,2.39,0.73,10.3,1.84,0.69,11.2,1.71,0.64,4.5,2.42,1.09,3.7,2.88,1.3,4.6,2.36,1.06,4.8,2.23,1.01,5.5,1.95,0.88
Consumer Durables & Apparel,2.7,13.86,2.27,2.5,14.92,2.39,3,12.27,1.97,3.2,10.5,1.83,2.5,9.16,1.16,4.1,8.58,1.09,3.6,9.82,1.24,3.6,11.82,1.21,3.6,12.11,1.24,4.2,10.19,1.04,4.5,9.61,0.98,4.7,9.23,0.94
Consumer Services,0,,0.92,0,,0.84,0,,0.68,0,,0.59,0,,0.57,0,,0.47,0,,0.52,0,,0.81,0,,0.81,0,,0.73,0,,0.73,0,,0.71
Diversified Financials,1,19.61,2.68,1,18.65,2.59,1.5,12.13,1.69,2.2,7.39,1.17,1,5.5,1.43,1.4,3.48,0.89,1.2,3.5,0.9,1,4.13,1.07,0.8,4.47,1.18,0.9,3.98,1.05,0.9,4.12,1.08,0.9,4.17,1.09
Energy,1.1,,2.31,2.4,,2,3.9,,1.2,4.6,,1.08,2.4,37.32,1.75,2,45.7,2.14,1.6,75.34,1.87,0.4,10.72,2.61,0.3,16.87,4.11,0.4,10.99,2.67,0.4,11.24,2.74,1.5,5.26,2.26
