Sector Ratios - 2025 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
Automobiles & Components,7,6.43,1.01,7.5,6,0.94,7.4,6.95,0.93,7.5,6.91,0.92,7,7.35,0.98,6.7,9.9,0.95,5.8,11.43,1.09,6.1,10.85,1.04,6.4,12.4,0.99,,,,,,,,,,6.5,12.08,0.97,6.6,11.98,0.96,7.3,12.74,0.99
Banks,2.3,6.49,0.81,2.3,6.28,0.79,2.4,4.44,0.7,2.6,4.19,0.66,2.4,4.47,0.7,1.7,4.46,0.76,1.5,4.92,0.83,1.4,5.42,0.92,3.8,5.15,0.89,,,,,,,,,,3.7,5.29,0.91,3.7,5.34,0.92,3.8,4.89,0.86
Capital Goods,2.2,13.54,1.14,2.5,13.3,1.07,2.6,13.44,0.98,2.5,13.82,1.01,2.4,14.57,1.07,2.1,11.78,1.1,1.9,12.79,1.2,2,12.69,1.2,1.5,12.83,1.23,,,,,,,,,,1.5,13.08,1.26,1.4,20.94,1.3,1.7,19.92,1.32
Commercial & Professional Services,2.7,42.75,0.8,2.8,,0.78,2.9,,0.77,2.6,,0.83,2.8,,0.79,1.8,,0.8,1.7,,0.86,0.6,,0.86,0.4,,0.88,,,,,,,,,,0.3,,1.02,0.3, N/A,1,0.3,,0.95
Consumer Durables & Apparel,1,25.54,1.94,1.1,24.29,1.79,1.1,18.34,1.63,1.2,17.31,1.53,1.2,17.88,1.59,1.8,,1.73,1.6,,1.88,1.4,,2.18,1.9,,2.07,,,,,,,,,,1.6,,2.46,1.7,,2.34,1.6,,2.12
Consumer Services,0.1,,1.3,0.1,,1.16,0.1,,1.1,0.1,,1.12,0.1,,1.13,0.1,763.21,1.09,0.1,833.03,1.19,0.1,432.65,1.32,0.2,132.94,1.43,,,,,,,,,,0.2,131.09,1.41,0.2,117.99,1.36,0.3,85.98,1.28
Diversified Financials,3.4,7.73,1.12,2.5,6.38,1,2.6,6.91,0.92,2.6,7.05,0.93,2.4,7.72,1.02,2.3,7.08,1.04,2.2,7.34,1.08,1.5,7.57,1.1,1.2,7.25,1.1,,,,,,,,,,1.1,7.7,1.17,1.2,7.6,1.17,1.5,7.92,1.12
Energy,3.2,7.99,1.07,3.4,7.5,1,3.4,8.66,0.97,3.4,8.77,0.99,3.3,8.94,1.01,3.4,8.73,0.93,3.1,9.39,1,3.2,9.31,0.99,3,11.8,1.07,,,,,,,,,,2.7,12.76,1.16,2.8,12.5,1.13,2.8,12.18,1.11
Food & Staples Retailing,3.5,15.87,2.71,3.5,15.36,2.78,3.4,16.04,2.9,3.3,16.48,2.98,2.8,19.1,3.45,2.5,21.45,3.76,2.4,22.48,3.94,2.1,25.45,4.78,2.1,25.26,4.95,,,,,,,,,,2.1,25.75,5.05,2.1,23.96,4.78,2.1,22.59,4.57
"Food, Beverage & Tobacco",5.5,7.57,1.91,5.7,7.57,1.8,5.9,7.33,1.7,5.7,7.55,1.75,5.3,8.11,1.88,5.4,7.28,1.87,5.1,7.59,1.95,4.8,8.27,2.11,4.2,8.44,2.16,,,,,,,,,,4.1,8.71,2.23,4.1,11.25,2.2,4.6,10.9,2.11
Health Care Equipment & Services,3.2,11.67,1.26,3.3,11.52,1.2,2.9,12.1,1.18,2.8,12.24,1.19,2.7,12.7,1.23,2.4,13.67,1.33,2.2,14.55,1.41,2.1,14.67,1.51,2.5,14.53,1.49,,,,,,,,,,2.2,16.04,1.65,0.5,13.57,1.59,0.5,12.58,1.56
Household & Personal Products,1.2,108.72,1.42,1.3,132.56,1.31,1.3,1542.41,1.31,1.3,1477.9,1.25,1.3,1518.95,1.29,1.4,,1.22,1.3,,1.29,1.3,159.09,1.28,1.3,262.38,1.29,,,,,,,,,,1.1,307.41,1.51,1.3,269.23,1.33,1.7,,1.31
Insurance,6.2,6.39,1.04,6.6,6.07,1.07,7.5,5.62,0.92,7.5,5.61,0.92,7.2,5.82,0.95,4.2,6.23,0.98,3.8,6.91,1.09,3.7,7.27,1.12,3.2,7.26,1.11,,,,,,,,,,2.9,8.02,1.23,3.7,7.38,1.14,4.1,8.33,1.14
Materials,4.1,8.73,1.49,4.5,9.42,1.4,4.3,8.83,1.34,4.2,9.15,1.39,3.9,9.68,1.47,3.5,10.54,1.51,3.3,11.17,1.6,3.2,11.32,1.69,2.5,11.8,1.73,,,,,,,,,,2.4,12.15,1.79,2.7,12,1.78,3.2,12.3,1.82
Real Estate,3.7,7.67,0.61,3.8,7.57,0.6,3.9,6.68,0.56,4,6.54,0.55,3.6,7.31,0.61,1.4,8.69,0.68,1.1,10.9,0.85,1,12.83,1,2.1,11.66,1.07,,,,,,,,,,2,12.54,1.15,2,12.1,1.1,2,10.6,1.07
Retailing,1.3,122.01,1.1,1.4,69.31,1.02,1.5,147.59,1.03,1.3,164.09,1.14,1.2,177.64,1.24,1.4,99.13,1.32,1,129.65,1.72,1,138.22,1.82,0.9,54.17,2.19,,,,,,,,,,0.8,62.13,2.51,0.8,59.45,2.41,1.1,26.78,2.22
Software & Services,9.9,,3.02,10.5,,3.08,10.8,,3,10.4,,3.13,10.4,,3.13,10.5,,3.09,9.8,,3.31,10,,3.23,0,,3.32,,,,,,,,,,0, N/A,3.32,0,,4.85,0,,4.97
Telecommunication Services,4.5,23.43,1.53,4.6,20.07,1.44,4.6,15.44,1.42,4.7,15.21,1.4,4,17.76,1.63,0,15.25,1.63,0,15.34,1.64,0,19.41,2.07,2.6,13.01,2.11,,,,,,,,,,2.5,13.85,2.25,2.3,14.96,2.43,2.3,13.89,2.33
Transportation,26.2,,0.23,27,,0.22,28.3,,0.22,28.7,,0.22,27,,0.23,26.4,,0.23,24.4,,0.25,16.9,,0.37,14,,0.44,,,,,,,,,,13.6,,0.45,13.7,,0.45,14.7,,0.45
Utilities,5.3,12.13,1.61,5.4,12.09,1.57,5.5,11.62,1.51,5.5,11.55,1.5,5.1,12.42,1.62,3.2,13.82,1.71,3,14.85,1.83,2.8,15.7,1.94,2.5,19.93,2.23,,,,,,,,,,1.9,27.11,3.03,2,24.77,2.77,1.7,26.1,2.57
** BASED ON DIVIDEND PAYING COMPANIES OF THE SECTOR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
