SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,119579,12900,97156384,36550713,8813411938,5517838791
BEV FOOD TOBACCO,34307,5313,43497242,43534407,1272902375,1014398614
CONSTRUCTION ENG,4544,815,4499560,4338330,137328965,157501112
CHEMICALS PHARMS,4019,202,2670728,659847,241956569,61655840
FOOTWEAR TEXTILE,17731,582,10359110,856863,381106536,52267287
HOTELS TRAVELS,38990,2847,38512019,22988511,1295380912,701842280
INVESTMENT TRUST,3934,126,2708338,286707,226689544,50467438
LAND PROPERTY,16889,1074,16815376,3089109,382301594,72891178
MANUFACTURING,93457,11353,81922229,39423773,4780213579,2703840476
MOTORS,5466,984,4303045,4302246,434284681,372530481
OIL PALMS,24,7,16693,6300,8069389,3214612
STORES SUPPLIES,668,35,1496404,29966,65667888,6709572
SERVICES,991,35,536664,62690,40222761,3304257
TRADING,8684,458,10919135,1375641,436025458,154924629
PLANTATIONS,0,0,0,0,0,0
DIVERSIFIED,13449,3430,17852818,13357435,2117007777,2929051394
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,1430,44,1710476,103967,66368056,3802778
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
