Sector Domestic & Foreign Analysis 2004,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",125500,5624,679622740,48040705,10950008195,2077313200
"BEVERAGE, FOOD & TOBACCO",29481,2564,91024403,23610299,2570678346,643206466
CONSTRUCTION & ENGINEERING,4627,217,6958451,622994,147126088,13565562
CHEMICALS & PHARMACEUTICALS,9798,879,10591070,1548061,443612808,92403201
FOOTWEAR & TEXTILES,12565,702,30053416,3314579,525683754,76495150
HOTELS & TRAVELS,107781,5153,334150278,33445018,6630496215,596037239
INVESTMENT TRUSTS,11765,456,12642600,1201708,471302204,35185201
LAND & PROPERTY,65190,2420,371034517,21411678,3277315896,287834820
MANUFACTURING,91276,3872,397614254,25276952,5352591319,673020390
MOTORS,3194,82,2554130,149962,105088778,7556974
OIL PALMS,5936,126,276994,2778,173411148,2256174
STORES & SUPPLIES,5624,265,24691172,597220,164887445,37565159
SERVICES,616,8,311522,18651,106520046,2462175
TRADING,15640,446,39770238,1569749,704244788,30266681
PLANTATIONS,22620,869,62250389,3312501,680555396,43030363
DIVERSIFIED HOLDINGS,45122,4263,149058932,44207686,10474612830,4678789109
POWER & ENERGY,11372,1184,23196900,6626700,1090570575,313068050
HEALTH CARE,22511,1829,106229605,14169100,2156074204,361921150
INFORMATION TECHNOLOGY,1113,52,2320500,121400,21181200,1163150
TELECOMMUNICATION,21290,2413,137337893,43290603,2477806571,748532408
_x000c_,,,,,,
