Sector Domestic & Foreign Analysis - 2007,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",144979,7920,331333449,118416662,13912279012,9708861636
"BEVERAGE, FOOD & TOBACCO",53743,3816,88931854,19287465,4324059252,1930751228
CONSTRUCTION & ENGINEERING,16099,971,23943620,6244155,886149067,226366960
CHEMICALS & PHARMACEUTICALS,45293,2040,53565759,5373295,2524154044,252651046
FOOTWEAR & TEXTILES,29774,1442,33289052,5313491,1579856342,264868380
HOTELS & TRAVELS,63830,1866,117118599,6994742,1942956419,150148256
INVESTMENT TRUSTS,18452,523,11981813,884070,911692558,54845089
LAND & PROPERTY,99614,3374,141251302,11088418,4066941958,379794762
MANUFACTURING,106111,6182,371874843,60005723,5998146882,1270466230
MOTORS,7313,468,7139183,769611,857486253,114424231
OIL PALMS,4516,142,633348,90717,549434497,83214773
STORES & SUPPLIES,2400,22,15910763,28828,696233139,9081985
SERVICES,2369,16,1086732,7050,75098018,544500
TRADING,43428,1211,160727421,10433223,1849050385,183810785
PLANTATIONS,51398,1903,69960944,11197302,1676788136,302693336
DIVERSIFIED HOLDINGS,43844,4151,92141146,78976462,11019807158,11793134298
POWER & ENERGY,20903,1669,99581098,9164550,1301319416,260810470
HEALTH CARE,31494,934,191361258,4870125,3229152284,63280296
INFORMATION TECHNOLOGY,7978,293,11688459,934250,276007393,21308062
TELECOMMUNICATION,38130,6317,186450696,527260004,6075623882,14035140819
,831668,45260,2009971339,877340143,63752236095,41106197142
