Sector Domestic & Foreign Analysis - 2017 ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,241394,12745,1899366937,195834112,40664146785,21596940622
BEV FOOD TOBACCO,45932,3346,149800849,27101463,7079080236,11133629936
CONSTRUCTION ENG,43538,2067,199410812,31421617,3661045501,781044398
CHEMICALS PHARMS,8762,252,53955938,458810,421940247,40920839
DIVERSIFIED,108244,13822,2004942043,494824226,27115392465,43438437290
FOOTWEAR TEXTILE,13508,268,33995419,875663,577753071,14336021
HOTELS TRAVELS,60247,1713,295749061,37761326,2255300241,314402124
HEALTH CARE,9044,244,67297834,33659059,969191923,870497843
INVESTMENT TRUST,20787,895,47280994,7882688,1211426904,277472360
IT,5694,92,49508349,765714,65166729,3131118
LAND PROPERTY,31212,1170,135677814,353368509,1757950480,674336438
MANUFACTURING,155407,10977,500292024,165272773,15043571631,10495889291
MOTORS,6607,199,20940703,15328486,1687714958,1198383724
OIL PALMS,1995,151,284601,215982,73568611,56745729
POWER & ENERGY,29639,1528,360030428,16089748,2247209402,224045234
PLANTATIONS,89313,2050,228013890,10740990,3902339619,239324945
STORES SUPPLIES,2238,93,119449,14339,76303004,6779582
SERVICES,26868,200,88421967,879909,441664230,2815278
TELECOM,7471,1395,69905920,413703334,866432184,5078570345
TRADING,19963,907,316197178,140882662,6562580046,7463755980
