Sector Domestic & Foreign Analysis - 2018 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INSURANCE,270240,13353,1784294649,342735940,50562578376,33754995855
BEV FOOD TOBACCO,36437,3085,143294040,58905043,4177468992,7544360462
CONSTRUCTION ENG,52958,2502,137257042,45260964,1752010733,821201067
CHEMICALS PHARMS,6891,103,18303912,145645,304808223,8630717
DIVERSIFIED,102179,12147,902768569,402442461,28663999641,38233628780
FOOTWEAR TEXTILE,8769,146,288737992,604493,6938210134,6920937
HOTELS TRAVELS,52480,1442,231233928,14479175,1494082443,130314084
HEALTH CARE,7370,201,18980548,1755363,394478045,65086419
INVESTMENT TRUST,17814,226,36625053,4444778,701638392,208461713
IT,2137,10,4397476,80794,14504430,349577
LAND PROPERTY,39921,978,179643854,54954381,2364437725,467712005
MANUFACTURING,110141,7309,285215431,103240452,5870876412,4194630235
MOTORS,5554,209,2683126,265501,246640441,23853525
OIL PALMS,1242,75,4499989,4449191,902589886,889820224
POWER & ENERGY,41350,1337,281273795,10486694,2512638973,211147965
PLANTATIONS,37803,949,76786416,4899084,974387017,91615662
STORES SUPPLIES,1630,36,233908,5814,120602926,4101630
SERVICES,12911,227,176172931,2257645,607060811,7101193
TELECOM,11247,2379,106153531,112586955,1389742744,1439731627
TRADING,19463,406,138545171,19635585,1124987168,847431268
