,Beta Values for the Period from 01st January to 31st March 2009,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAIC,1.20821869,AAIC,0.77850339
ABAN,0.693829424,ABAN,0.455700678
ACAP,1.96423424,ACAP,1.10301152
ACL,0.865802,ACL,0.569360675
ACME,0.663085724,ACME,0.43683707
AEC,0,AEC,0
AGAL,1.30411808,AGAL,0.783765234
AHPL,1.28459758,AHPL,0.811571898
AHUN,0.830210926,AHUN,0.498689738
ALLI,0,ALLI,0
ALUF,2.052011,ALUF,1.27559169
AMSL,0.71675619,AMSL,0.402770267
AMW,0,AMW,0
APLA,0.773832918,APLA,0.425855829
ARPI,0.394864404,ARPI,0.225053034
ASCO,0.83711079,ASCO,0.478079114
ASHA,0.606969736,ASHA,0.365417411
ASHO,0.026027337,ASHO,0.039120668
ASIR,0.131534128,ASIR,0.075454432
ASPH,-0.00113542,ASPH,0.023626305
ATL,0.502860386,ATL,0.267210182
AUTO,0.083540765,AUTO,0.060708789
BALA,1.98349272,BALA,1.09812403
BBH,1.17930914,BBH,0.629424732
BFL,1.79977291,BFL,1.21762821
BHR,2.09502598,BHR,1.30545734
BINN,1.19839294,BINN,0.487708497
BLUE,0.453338573,BLUE,0.401168836
BOGA,1.70029258,BOGA,1.01518239
BOPL,1.73287043,BOPL,0.908593652
BREW,0.063277872,BREW,-0.0255189
BRWN,1.09607406,BRWN,0.666528014
BUKI,1.00471636,BUKI,0.629362339
CABO,1.1207913,CABO,0.655026829
CARE,1.24520721,CARE,0.843662909
CARG,0.97034805,CARG,0.553304771
CARS,1.40931918,CARS,0.884717773
CCS,0.536660989,CCS,0.293145043
CDIC,0.282021048,CDIC,0.163221163
CERA,0.808812611,CERA,0.484401647
CFI,1.1719289,CFI,0.763466577
CFIN,0.290886064,CFIN,0.224117133
CFLB,1.62924145,CFLB,1.06757206
CFT,1.85912048,CFT,1.15456927
CFVF,1.84540809,CFVF,1.0018926
CHL,0.625616839,CHL,0.520402645
CHMX,0.661775623,CHMX,0.486606214
CHOT,1.80086466,CHOT,1.13219084
CHOU,1.35018996,CHOU,0.681731209
CIC,1.23529411,CIC,0.861798594
CIND,-0.02663871,CIND,-0.00592737
CINS,0.033276562,CINS,0.014475271
CINV,2.11227564,CINV,1.39341125
CIT,0.618367614,CIT,0.439166424
CLND,0.801257696,CLND,0.404870845
CLPL,0.980479496,CLPL,0.600598976
COCO,1.75483645,COCO,1.05553013
COLO,0.459190357,COLO,0.432365542
COMB,1.55329927,COMB,1.11378478
COMD,0.400454168,COMD,0.258475105
COML,0.004803703,COML,-0.0037852
CONN,1.13734224,CONN,0.679277068
CPRT,0,CPRT,0
CRL,1.97777195,CRL,1.17686452
CSD,1.75391938,CSD,0.998980907
