,Beta Values for the Period from 01st July to 30th September 2009,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAIC,0.255900202,AAIC,-0.05768645
ABAN,0.972016183,ABAN,0.677777777
ACAP,1.78860418,ACAP,1.29345509
ACL,2.04298718,ACL,1.64855403
ACME,1.295853,ACME,1.02039573
AGAL,0.128624409,AGAL,-0.04003044
AHPL,1.13705327,AHPL,0.989497716
AHUN,0.690660822,AHUN,0.510958904
ALLI,1.1264329,ALLI,0.783561643
ALUF,0.633850303,ALUF,0.273211567
AMSL,1.29281861,AMSL,0.960273972
APLA,0.739548213,APLA,0.416286149
ARPI,1.0443358,ARPI,0.950684931
ASCO,1.17481456,ASCO,0.945357686
ASHA,0.022083614,ASHA,-0.02724505
ASHO,0.589683074,ASHO,0.384170471
ASIR,0.432231962,ASIR,0.244596651
ASPH,0.070296695,ASPH,0.077168949
ATL,0.238031018,ATL,-0.11872146
AUTO,0.094740391,AUTO,0.236225266
BALA,0.469487525,BALA,0.361796042
BBH,0.833614295,BBH,0.304718417
BFL,1.31641942,BFL,0.961491628
BHR,0.74696561,BHR,0.497869101
BINN,0.166554281,BINN,0.155707762
BLUE,0.454989885,BLUE,0.163470319
BOGA,0.922960215,BOGA,0.540943683
BOPL,0.896493594,BOPL,0.584322678
BREW,0.456675657,BREW,0.457382039
BRWN,1.42565745,BRWN,1.30806697
BUKI,1.42093728,BUKI,1.44490106
CABO,0.915205664,CABO,0.367123287
CARE,-0.10384356,CARE,-0.03652968
CARG,1.3364801,CARG,1.26666666
CARS,1.09794335,CARS,0.807153729
CCS,0.514497639,CCS,0.640639269
CDIC,0.303270397,CDIC,0.124657534
CERA,0.271915037,CERA,0.2152207
CFI,1.39447066,CFI,1.5109589
CFIN,1.07636547,CFIN,0.935616438
CFLB,1.47252191,CFLB,0.980213089
CFT,1.39396493,CFT,1.1240487
CFVF,1.09339177,CFVF,0.84870624
CHL,1.09558327,CHL,0.784018264
CHMX,1.20920431,CHMX,0.715829528
CHOT,1.29281861,CHOT,0.804261796
CHOU,-0.37896156,CHOU,-0.24459665
CIC,1.18948078,CIC,0.745509893
CIND,0.386547538,CIND,0.422526636
CINS,-0.33530006,CINS,-0.41689497
CINV,1.92093728,CINV,1.77899543
CIT,0.464598786,CIT,0.500608828
CLND,1.56051921,CLND,1.37792998
CLPL,-0.47707349,CLPL,-0.40365296
COCO,1.20212407,COCO,0.964535768
COLO,1.22842211,COLO,0.766514459
COMB,1.11395819,COMB,0.903500761
COMD,0.659642616,COMD,0.2
CONN,1.33479433,CONN,0.88219178
CPRT,0,CPRT,0
CRL,0.816756574,CRL,0.458751902
CSD,0.695718138,CSD,0.058447488
CSEC,1.13536749,CSEC,0.554946727
CSF,1.73347943,CSF,1.21278538
CTC,0.284558327,CTC,0.44718417
CTCE,-0.12896156,CTCE,-0.49254185
CTEA,0.29281861,CTEA,0.353881278
CTHR,1.00421443,CTHR,0.568645357
CTLD,1.45178691,CTLD,1.19025875
CWM,0.559507754,CWM,0.279756468
