Beta Values for the Period from 01st October to 30th December 2009,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAIC,0.205742708,AAIC,0.242272442
ABAN,0.624689125,ABAN,0.283486081
ACAP,1.66048684,ACAP,1.38902487
ACL,1.81777074,ACL,1.52621392
ACME,0.828623106,ACME,0.700916491
AGAL,1.01175672,AGAL,0.746684123
AHPL,1.55143567,AHPL,1.20749131
AHUN,0.62190067,AHUN,0.474469175
ALLI,0.419926143,ALLI,0.510274947
ALUF,-0.25676388,ALUF,-0.26299311
AMSL,0.799532745,AMSL,0.741845505
APLA,2.32082297,APLA,2.01252348
ARPI,0.150048986,ARPI,0.058518813
ASCO,0.727409752,ASCO,0.688108385
ASHA,0.138669078,ASHA,0.115329879
ASHO,0.772552566,ASHO,0.468036659
ASIR,2.70186148,ASIR,2.85461376
ASPH,0,ASPH,0
ATL,0.905041826,ATL,0.728012751
AUTO,0.147109804,AUTO,0.252234302
BALA,1.18207852,BALA,0.992998235
BBH,0.300926972,BBH,0.27397962
BFL,1.06172281,BFL,0.899812147
BHR,0.654683849,BHR,0.523936927
BINN,0.023211997,BINN,0.018159048
BLUE,2.08561308,BLUE,1.79114248
BOGA,0.90926219,BOGA,0.778619001
BOPL,1.20363252,BOPL,0.848921272
BREW,0.692742482,BREW,0.351226731
BRWN,1.82756801,BRWN,1.51323504
BUKI,1.5084784,BUKI,1.37837991
CABO,1.26309443,CABO,1.03546422
CARE,0.05192554,CARE,0.029259406
CARG,1.26784233,CARG,1.0639836
CARS,2.18464089,CARS,1.79962429
CCS,0.193081618,CCS,0.142938464
CDIC,0.002486999,CDIC,0.019980645
CERA,0.795237018,CERA,0.613536745
CFI,1.80360238,CFI,1.35896852
CFIN,0.649182304,CFIN,0.522115329
CFLB,0.647976486,CFLB,0.511982694
CFT,0.188484437,CFT,0.193772414
CFVF,1.26814379,CFVF,1.19007229
CHL,0.250056522,CHL,0.304377526
CHMX,1.04876026,CHMX,0.850116696
CHOT,1.37802396,CHOT,1.02316844
CHOU,2.20280352,CHOU,1.70165651
CIC,1.31539678,CIC,1.07980873
CIND,-0.18042052,CIND,-0.12477941
CINS,-0.09691762,CINS,-0.12734103
CINV,0.852965558,CINV,0.629077247
CIT,0.199638254,CIT,0.235213753
CLND,1.64646921,CLND,1.39266807
CLPL,0.877986283,CLPL,0.655319633
COCO,1.19820634,COCO,0.944725906
COLO,-0.16919134,COLO,-0.18079353
COMB,1.08787399,COMB,0.945295155
COMD,0.130981988,COMD,0.02988558
CONN,1.31984324,CONN,1.05424944
CPRT,0,CPRT,0
CRL,1.38548496,CRL,1.13291967
CSD,1.29097897,CSD,1.07388854
CSEC,1.12962544,CSEC,1.03461034
CSF,2.04469063,CSF,1.49393749
CTC,0.448941141,CTC,0.439915751
CTCE,0.042731177,CTCE,0.08106108
CTEA,0.222247343,CTEA,0.154494222
CTHR,1.74692893,CTHR,1.36801958
CTLD,1.13934735,CTLD,0.860875505
CWM,1.35775114,CWM,1.11715147
DFCC,1.01914236,DFCC,0.887117891
DIAL,1.50727259,DIAL,1.4727045
DIMO,0.71098048,DIMO,0.366710309
DIPD,0.247494159,DIPD,0.164797631
DIST,1.30145451,DIST,1.19206466
DOCK,0.628909488,DOCK,0.52154608
DPL,1.82749265,DPL,1.5204645
EAST,1.41344487,EAST,1.20675129
EBCR,0.279448338,EBCR,0.291569419
ECL,1.17152762,ECL,0.904024591
EDEN,0.963147185,EDEN,0.71862014
ELPL,0.74233175,ELPL,0.51135652
EMER,-0.3854096,EMER,-0.19536631
EQIT,1.01333936,EQIT,0.773609608
ETWO,0.811440198,ETWO,0.716172368
GEST,0.904740372,GEST,0.678772698
GHLL,0.971286457,GHLL,0.817441794
GLAS,1.27259024,GLAS,1.14937097
GOOD,0.566734493,GOOD,0.512836568
GRAN,1.46665159,GRAN,1.2193317
GREG,2.24832315,GREG,1.69328855
GUAR,0.302509608,GUAR,0.265099333
HAPU,0.479689501,HAPU,0.327489041
HARI,0.011379908,HARI,0.003927819
HASU,1.43138141,HASU,1.14083224
HAYC,0.693646846,HAYC,0.51505664
HAYL,0.691385937,HAYL,0.630955769
HDEV,0.932624915,HDEV,0.550805487
HDFC,1.12186298,HDFC,0.92878693
HEXP,1.58874067,HEXP,1.18659987
HHL,0.172205893,HHL,0.129674958
HNB,0.846032104,HNB,0.795070302
HOPL,0.57954631,HOPL,0.350828257
HPWR,0.747984022,HPWR,0.439061877
HSIG,0.580149219,HSIG,0.441281949
HUEJ,2.24515788,HUEJ,1.85580918
HUNA,0.71761248,HUNA,0.646439346
HUNT,0.726731479,HUNT,0.403483804
IDL,0,IDL,0
INDO,1.06036626,INDO,0.997039904
JFIN,0.418117416,JFIN,0.351739056
JINS,0.245534704,JINS,0.250298855
JKH,1.12789207,JKH,0.990948938
JKL,0.915894189,JKL,0.754368987
KAHA,1.37063832,KAHA,1.08527352
KAPI,0.226693797,KAPI,0.132805829
KCAB,0.899163463,KCAB,0.699208743
KDL,1.34297987,KDL,1.09631695
KFP,0.634787851,KFP,0.463141116
KGAL,0.482854774,KGAL,0.391301872
KHC,0.216142889,KHC,0.089315193
KHL,1.38729369,KHL,1.13451357
KOTA,1.03888763,KOTA,0.767803267
KURU,0.37252242,KURU,0.276768941
KVAL,0.56251413,KVAL,0.478169294
KZOO,-0.71324138,KZOO,-0.56714293
LALU,0.358203331,LALU,0.245631012
LAMB,0.447283141,LAMB,0.391131098
LCEM,1.54156304,LCEM,1.26561165
LCEY,1.01100308,LCEY,0.800990493
LDEV,1.13844298,LDEV,0.876985256
LFIN,2.03828472,LFIN,1.66915238
LHCL,0.564247494,LHCL,0.441395798
LHL,0.284045519,LHL,0.259805316
LIOC,1.21787625,LIOC,0.98946889
