Beta Values for the Period from 01st January to 31st March 2010,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAIC,1.59245537,AAIC,0.803394204
ABAN,0.736106433,ABAN,0.310936879
ACAP,2.58285618,ACAP,1.99722111
ACL,1.00033681,ACL,0.590115125
ACME,0.833614011,ACME,0.661869789
AGAL,2.0197036,AGAL,1.31351726
AHPL,2.05692152,AHPL,1.49771734
AHUN,1.24890535,AHUN,0.689460103
ALLI,0.001010441,ALLI,-0.10281857
ALUF,-0.67228022,ALUF,-0.28930131
AMSL,0.369989895,AMSL,0.313418023
APLA,0.794206803,APLA,0.394104803
ARPI,-0.27669248,ARPI,-0.06302104
ASCO,0.96716066,ASCO,0.83346566
ASHA,-0.13742,ASHA,-0.03225486
ASHO,-0.03502862,ASHO,-0.07989281
ASIR,0.165038733,ASIR,-0.01746724
ASPH,0,ASPH,0
ATL,-0.05911081,ATL,-0.110262
AUTO,1.04530144,AUTO,0.692933703
BALA,2.41512293,BALA,1.4789599
BBH,0.424722128,BBH,0.31371576
BFL,1.81711013,BFL,1.03930131
BHR,0.985517009,BHR,0.730845573
BINN,0.341529134,BINN,0.169412465
BLUE,-0.2182553,BLUE,-0.50932909
BOGA,0,BOGA,-0.1300119
BOPL,0.140788144,BOPL,-0.21982929
BREW,0.33310879,BREW,0.08068678
BRWN,1.28460761,BRWN,0.837832473
BUKI,1.4265746,BUKI,0.508634378
CABO,0.832940383,CABO,0.509726081
CARE,0.020208824,CARE,-0.0777094
CARG,0.570730885,CARG,0.361552203
CARS,1.00538901,CARS,0.388844779
CCS,0.318625799,CCS,0.176756649
CDIC,0.284270798,CDIC,0.149364827
CERA,0.301111485,CERA,0.037018658
CFI,1.4413944,CFI,0.515482334
CFIN,0.986864264,CFIN,0.775704644
CFLB,0.777366116,CFLB,0.446903533
CFT,0.802121926,CFT,0.488685986
CFVF,0.186931626,CFVF,-0.60381103
CHL,-0.43583698,CHL,-0.46109567
CHMX,0.303805995,CHMX,0.181421198
CHOT,0.731054227,CHOT,0.315204446
CHOU,0.613169417,CHOU,0.184200079
CIC,1.10373863,CIC,0.698392219
CIND,1.10744358,CIND,0.631798332
CINS,0.883294038,CINS,0.566196903
CINV,1.55793196,CINV,0.841206828
CIT,0.518187942,CIT,-0.1313021
CLND,0.460929605,CLND,0.125148868
CLPL,2.97204445,CLPL,2.93687971
COCO,0.063826204,COCO,-0.04734021
COLO,0.80296396,COLO,0.540393013
COMB,0.380431121,COMB,0.285827709
COMD,1.14415628,COMD,0.645196506
CONN,0.770461434,CONN,0.470821754
CPRT,0,CPRT,0
CRL,0.353654429,CRL,0.470424771
CSD,1.62613674,CSD,1.18539102
CSEC,1.87622094,CSEC,0.485609368
CSF,1.58437184,CSF,0.983922191
CTBL,4.48821151,CTBL,3.69561333
CTC,1.8309195,CTC,1.11125446
CTCE,0.859380262,CTCE,0.353612544
CTEA,-0.36847423,CTEA,-0.51945216
CTHR,0.807174132,CTHR,0.582373957
CTLD,0.547153923,CTLD,0.310440651
CWM,0.853149208,CWM,0.665144898
DFCC,0.502694509,DFCC,0.315402937
DIAL,1.19450993,DIAL,1.29743946
DIMO,0.865611316,DIMO,0.136859865
DIPD,0.553553384,DIPD,-0.0579595
DIST,0.562478949,DIST,0.534140531
DOCK,0.764904008,DOCK,0.437078205
DPL,0.528629168,DPL,0.03394204
EAST,0.447457056,EAST,0.065601429
EBCR,2.07106769,EBCR,1.22647876
ECL,1.60441226,ECL,1.24166335
EDEN,1.78713371,EDEN,1.13636363
ELPL,0.988885146,ELPL,0.652739182
EMER,1.21606601,EMER,0.936581976
EQIT,0.830077467,EQIT,0.338427947
ETWO,0.245368811,ETWO,-0.25248114
GEST,1.23863253,GEST,0.877332274
GHLL,0.769114179,GHLL,0.332373957
GLAS,0.39070394,GLAS,0.171893608
GOOD,0.433142472,GOOD,0.290095275
GRAN,0.573593802,GRAN,0.076518459
GREG,6.80734253,GREG,7.1777491
GUAR,0.891377568,GUAR,0.338725684
HAPU,1.20764567,HAPU,0.849543469
HARI,0.183563489,HARI,0.214271536
HASU,1.33310879,HASU,0.987594283
HAYC,1.04260693,HAYC,0.636661373
HAYL,1.01650387,HAYL,0.668023025
HDEV,1.33142472,HDEV,0.793866613
HDFC,1.07578309,HDFC,0.567387852
HEXP,0.085045469,HEXP,-0.09825327
HHL,0.241495453,HHL,0.05905121
HNB,0.614011451,HNB,0.465958713
HOPL,1.72903334,HOPL,1.05349344
HPWR,0.337487369,HPWR,0.195911075
HSIG,0.387672617,HSIG,0.20067487
HUEJ,1.30144829,HUEJ,1.17546645
HUNA,0.310373863,HUNA,-0.22022628
HUNT,0.748400134,HUNT,0.55766177
IDL,0,IDL,0
INDO,0.816099696,INDO,0.517467248
JFIN,0.707982485,JFIN,0.501190948
JINS,1.30734253,JINS,0.460797935
JKH,0.44560458,JKH,0.354108773
JKL,1.33681374,JKL,0.912961492
KAHA,1.95874031,KAHA,1.20385073
KAPI,0.466655439,KAPI,1.3044859
KCAB,2.49983159,KCAB,2.47945613
KDL,0.842876389,KDL,0.8604605
KFP,-0.28662849,KFP,-0.43261214
KGAL,2.18373189,KGAL,1.50764192
KHC,0.830919501,KHC,0.288110361
KHL,3.19535197,KHL,2.55944819
KOTA,2.30683731,KOTA,1.27471218
KURU,2.21758167,KURU,1.99196109
KVAL,1.19181542,KVAL,0.74394601
KZOO,-0.33900303,KZOO,-0.38298928
LALU,1.0368811,LALU,0.439360857
LAMB,-0.1202425,LAMB,-0.59855101
LCEM,1.76119905,LCEM,1.19700277
LCEY,1.00117884,LCEY,0.381302104
LDEV,0.521387672,LDEV,0.304287415
LFIN,1.00690468,LFIN,0.507344184
LHCL,0.446951835,LHCL,0.336542278
LHL,1.4070394,LHL,1.12772925
LIOC,1.62428427,LIOC,1.01826121
LION,1.16369147,LION,0.5813815
LITE,1.31071067,LITE,1.07463279
LLUB,0.550690468,LLUB,0.294660579
LMF,0.319973054,LMF,0.39092894
LOLC,1.05321657,LOLC,0.787117903
LPRT,0.125463118,LPRT,0.252381897
LVEN,0.529976423,LVEN,0.413755458
LWL,1.09397103,LWL,0.607681619
MADU,2.23610643,MADU,1.4034339
MAL,2.41663859,MAL,1.69491861
MARA,1.13304142,MARA,0.876836046
MASK,1.69147861,MASK,1.17229059
MBSL,1.23088582,MBSL,0.617010718
MGT,-0.02559784,MGT,0.030170702
MIRA,0.63506231,MIRA,0.36115522
MORI,0.752441899,MORI,0.271437078
MPRH,2.77450319,MPRH,1.77699483
MRH,1.07713034,MRH,0.627927749
MSL,0.876557763,MSL,0.695017864
MULL,2.84927585,MULL,1.70563715
NAMU,2.1153587,NAMU,1.33852719
NDB,0.487201077,NDB,0.333763398
NEH,0.824688447,NEH,0.551806272
NEST,0.3627484,NEST,0.223600635
NHL,1.26103065,NHL,0.758038904
NTB,0.568541596,NTB,0.318082572
OFEQ,0,OFEQ,0
ONAL,-0.00218928,ONAL,-0.07929734
OSEA,0.726170427,OSEA,0.501984914
PABC,1.08386662,PABC,0.756550218
PALM,-0.05776355,PALM,-0.03324732
PARA,0,PARA,0
PARQ,1.04681711,PARQ,0.609269551
PDL,0.528965981,PDL,0.649861055
PEG,1.83277197,PEG,1.15174672
PHAR,0.19585719,PHAR,0.022231044
PMB,0.756988885,PMB,0.86184994
RAL,0.727012462,RAL,0.539797538
RCL,2.19147861,RCL,1.24900754
REEF,0.618726844,REEF,0.424473997
REG,0.988379925,REG,0.444620881
RENU,0.279218592,RENU,0.072250893
REXP,0.262209498,REXP,0.092497022
RGEM,0.812731559,RGEM,0.272131798
RHL,-3.3066689,RHL,-2.8204644
RHTL,1.89457729,RHTL,1.11135371
RICH,1.08016167,RICH,0.734219928
RPBH,0.146513977,RPBH,-0.00248114
SAMP,0.46177164,SAMP,0.372270742
SELI,1.46699225,SELI,1.21843985
SERV,0.652239811,SERV,0.411175069
SEYB,1.67345907,SEYB,1.19700277
SHAL,0,SHAL,0
SHAW,1.59936005,SHAW,0.778781262
SHOT,-0.69164701,SHOT,-0.34944422
SIGV,0.903502862,SIGV,0.453156014
SIL,-0.06736274,SIL,0.061929337
SING,-0.83950825,SING,-1.6544263
SINI,0.930279555,SINI,0.352421595
SINS,1.56113169,SINS,1.08525208
SIRA,-0.0171775,SIRA,-0.03900357
SLND,-0.0025261,SLND,0.002679634
SLTL,0.873694846,SLTL,0.343191742
SMLL,0.67867969,SMLL,0.613437872
SMOT,-0.11940047,SMOT,-0.29098848
SOY,-0.92219602,SOY,-0.34239777
SPEN,0.747052879,SPEN,0.751984914
STAF,1.72347591,STAF,1.14231838
SUGA,1.42707982,SUGA,1.16395394
SUN,-0.92674301,SUN,-1.230647
SWAD,0,SWAD,0
TAFL,0.13775682,TAFL,-0.24513695
TAJ,2.10239137,TAJ,1.48292973
TANG,0.01448299,TANG,-0.07235013
TESS,0.410912765,TESS,0.146288209
TFC,0.998315931,TFC,0.471417229
TILE,0.732906702,TILE,0.538805081
TKYO,-8.0651734,TKYO,-5.8257244
TPL,2.18423711,TPL,1.49573243
TRAN,0.181542606,TRAN,0.023124255
TSML,1.2771977,TSML,0.880607383
TWOD,2.62394745,TWOD,1.85400952
TYRE,0.907881441,TYRE,0.48928146
UAL,0.452509262,UAL,-0.02362048
UCAR,0.635230717,UCAR,0.471317983
UDPL,1.00707308,UDPL,0.635668916
UML,1.40249242,UML,0.630508138
VLL,0.126641966,VLL,0.292675664
VPEL,0.873189626,VPEL,0.545752282
WAPO,0.975917817,WAPO,0.906312028
WATA,1.15628157,WATA,0.655220325
YORK,0.730380599,YORK,0.365224295
