Beta Values for the Period from 01st April to 30th June 2010,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAIC,0.799299568,AAIC,0.529903653
ABAN,1.18830818,ABAN,0.523177604
ACAP,1.38200431,ACAP,0.841665151
ACL,1.63900862,ACL,0.95891656
ACME,0.041217672,ACME,-0.93037629
AGAL,0.21713362,AGAL,0.09889111
AHPL,1.02155172,AHPL,0.602254135
AHUN,0.984375,AHUN,0.585893473
ALLI,0.033135775,ALLI,-0.06744228
ALUF,0.582165948,ALUF,0.451190692
AMSL,0.278017241,AMSL,-0.0378113
APLA,0.799030172,APLA,0.774222868
ARPI,0.200431034,ARPI,-0.10652608
ASCO,1.48356681,ASCO,0.382657698
ASHA,-0.53394396,ASHA,-0.45428103
ASHO,1.55549568,ASHO,1.31430648
ASIR,0.559536637,ASIR,0.32957644
ASPH,0.136045258,ASPH,0.54571896
ATL,6.64547413,ATL,4.06944191
AUTO,0.119881465,AUTO,-0.10525359
BALA,0.824353448,BALA,0.416833303
BBH,0.105872844,BBH,0.156880567
BFL,2.25053879,BFL,1.7260498
BHR,-0.51697198,BHR,-0.89783675
BINN,0.341594827,BINN,0.28703872
BLUE,1.13631465,BLUE,0.600072714
BOGA,1.44746767,BOGA,0.645700781
BOPL,1.12580818,BOPL,0.628612979
BREW,0.994342672,BREW,0.801672423
BRWN,0.800646551,BRWN,0.557353208
BUKI,2.7260237,BUKI,0.831848754
CABO,-0.04310344,CABO,-0.2737684
CARE,0.050646551,CARE,-0.03163061
CARG,2.27155172,CARG,1.09925468
CARS,0.931303879,CARS,0.42701327
CCS,1.6794181,CCS,0.938738411
CDIC,-0.09832974,CDIC,-0.0965279
CERA,1.82920258,CERA,1.35066351
CFI,-0.30872844,CFI,-0.81221596
CFIN,0.198545258,CFIN,0.421196146
CFLB,-0.53582974,CFLB,-0.84093801
CFT,0.239762931,CFT,0.325031812
CFVF,2.38362068,CFVF,2.09361934
CHL,-0.60533405,CHL,-0.64824577
CHMX,0.274245689,CHMX,-0.26740592
CHOT,2.21928879,CHOT,1.39556444
CHOU,1.53340517,CHOU,1.15542628
CIC,1.01185344,CIC,0.860570805
CIND,0.447198275,CIND,0.550263588
CINS,0.490840517,CINS,0.223232139
CINV,1.85748922,CINV,1.10961643
CIT,-1.2887931,CIT,-1.2517724
CLND,0.333512931,CLND,0.081257953
CLPL,0.056573275,CLPL,0.160516269
COCO,1.05037715,COCO,0.731866933
COLO,0.751077586,COLO,0.648609343
COMB,-0.18345905,COMB,-0.23413924
COMD,0.198275862,COMD,0.253772041
CONN,0.6796875,CONN,0.650063624
CPRT,0,CPRT,0
CRL,1.62877155,CRL,1.10216324
CSD,0.520743534,CSD,0.117069623
CSEC,0.221443965,CSEC,0.028540265
CSF,1.65274784,CSF,1.15251772
CTBL,0.524515086,CTBL,0.489547355
CTC,0.867995689,CTC,0.924377385
CTCE,-0.17510775,CTCE,-0.17342301
CTEA,0.277478448,CTEA,0.395564442
CTHR,1.47979525,CTHR,0.774222868
CTLD,0.898706896,CTLD,0.044719141
CWM,-0.46201508,CWM,-0.85857116
DFCC,1.85452586,DFCC,1.72768587
DIAL,1.72036637,DIAL,1.83548445
DIMO,0.368803879,DIMO,0.409198327
DIPD,0.577586206,DIPD,0.352844937
DIST,0.921875,DIST,0.72041447
DOCK,0.579471982,DOCK,0.520087256
DPL,-3.7287176,DPL,-2.456826
EAST,0.433189655,EAST,0.274495546
EBCR,-0.87311422,EBCR,0.238683875
ECL,-0.41891163,ECL,-0.88729321
EDEN,1.22710129,EDEN,0.678785675
ELPL,0.359375,ELPL,0.452281403
EMER,0.769665948,EMER,0.766042537
EQIT,1.51454741,EQIT,0.829121977
ETWO,1.234375,ETWO,1.09507362
GEST,0.373653017,GEST,-0.2175968
GHLL,2.25889008,GHLL,1.18760225
GLAS,0.247036637,GLAS,-0.15124522
GOOD,-0.31142241,GOOD,-0.20959825
GRAN,1.38954741,GRAN,1.10179967
GREG,-0.03717672,GREG,0.149063806
GUAR,1.05145474,GUAR,0.394291946
HAPU,-0.64412715,HAPU,-0.25377204
HARI,0,HARI,0
HASU,1.10075431,HASU,0.687329576
HAYC,1.01373922,HAYC,0.647882203
HAYL,0.568426724,HAYL,0.173059443
HDEV,1.96174568,HDEV,1.37193237
HDFC,0.199353448,HDFC,0.431557898
HEXP,1.828125,HEXP,1.17305944
HHL,0.839170258,HHL,0.353753862
HNB,1.68884698,HNB,1.50918014
HOPL,0.842672413,HOPL,0.271586984
HPWR,0.925377155,HPWR,0.388656607
HSIG,0.749730603,HSIG,0.714597345
HUEJ,-0.0703125,HUEJ,-0.07907653
HUNA,0.662715517,HUNA,0.180149063
HUNT,0.022898706,HUNT,0.074350118
IDL,0,IDL,0
INDO,-1.1500538,INDO,-0.98782039
JFIN,0.807381465,JFIN,0.315942555
JINS,0.581357758,JINS,0.60170878
JKH,0.642510775,JKH,0.638429376
JKL,0.297144396,JKL,0.324304671
KAHA,-0.01050646,KAHA,-0.54590074
KAPI,-0.10560344,KAPI,-0.62115978
KCAB,0.183997844,KCAB,-0.04726413
KDL,0.21012931,KDL,0.13997455
KFP,1.04876077,KFP,0.670605344
KGAL,0.603717672,KGAL,0.429194691
KHC,2.07058189,KHC,1.04562806
KHL,1.15786637,KHL,1.04653699
KOTA,0.105334051,KOTA,-0.34720959
KURU,0.898976293,KURU,0.659880021
KVAL,-0.28232758,KVAL,-0.21959643
KZOO,-0.03394396,KZOO,-0.1808762
LALU,2.14224137,LALU,1.7371387
LAMB,0.532866379,LAMB,0.340483548
LCEM,1.19450431,LCEM,0.758407562
LCEY,0.508890086,LCEY,-0.01617887
LDEV,0.365032327,LDEV,0.620796218
LFIN,1.75053879,LFIN,1.45518996
LHCL,-0.16271551,LHCL,-0.02417742
LHL,0.844558189,LHL,0.583348482
LIOC,1.09078663,LIOC,0.953644791
LION,1.50242456,LION,1.12015997
LITE,-0.12526939,LITE,-0.86220687
LLUB,0.436961206,LLUB,0.226322486
LMF,0.649245689,LMF,0.437193237
LOLC,0.048221982,LOLC,0.124341028
LPRT,-0.25323275,LPRT,-0.31194328
LVEN,1.6400862,LVEN,1.49300127
LWL,1.60668103,LWL,1.03835666
MADU,-0.02209051,MADU,-0.23432103
MAL,0.269127155,MAL,0.161425195
MARA,0.564924568,MARA,0.414833666
MASK,0.156519396,MASK,-0.05471732
MBSL,3.27397629,MBSL,2.8520269
MGT,2.20851293,MGT,1.37593164
MIRA,-0.01616379,MIRA,-0.09143792
MORI,0.230872844,MORI,-0.00763497
MPRH,1.34509698,MPRH,0.957825849
MRH,2.16971982,MRH,0.837302308
MSL,-0.61907327,MSL,-0.30321759
MULL,0.367726293,MULL,0.545173604
NAMU,0.763739224,NAMU,0.503726595
NDB,1.22979525,NDB,1.16542446
NEH,0.845096982,NEH,0.130339938
NEST,-0.29094827,NEST,-0.85239047
NHL,1.19261853,NHL,0.514997273
NTB,1.04552801,NTB,1.31248863
OFEQ,0,OFEQ,0
ONAL,0.692079741,ONAL,0.474822759
OSEA,0.877693965,OSEA,0.70696237
PABC,3.04741379,PABC,2.89929103
PALM,0.990840517,PALM,0.39865479
PARA,0.086745689,PARA,0.079258316
PARQ,0.409752155,PARQ,0.352299581
PDL,-0.85748922,PDL,-0.85420832
PEG,0.4375,PEG,0.137065988
PHAR,-0.81788793,PHAR,-0.73313942
PMB,1.20150862,PMB,1.20632612
RAL,0.579471982,RAL,0.298854753
RCL,1.56627155,RCL,1.23068532
REEF,1.31276939,REEF,0.815306307
REG,-0.27559267,REG,-0.16524268
RENU,0.453933189,RENU,0.665697145
REXP,1.22144396,REXP,0.753862934
RGEM,-0.86853448,RGEM,-0.48554808
RHL,1.15921336,RHL,0.653153972
RHTL,1.76212284,RHTL,1.23068532
RICH,1.02559267,RICH,0.565897109
RPBH,0.214978448,RPBH,0.155608071
RWSL,-0.2341056,RWSL,1.20632612
SAMP,1.20662715,SAMP,1.44500999
SELI,-0.41298491,SELI,-0.77149609
SEMB,0.372306034,SEMB,-3.7907653
SERV,1.11610991,SERV,0.873295764
SEYB,1.31438577,SEYB,1.25558989
SFL,6.69827586,SFL,8.89365569
SHAL,-0.31654094,SHAL,-0.21777858
SHAW,0.32731681,SHAW,0.143428467
SHOT,1.52693965,SHOT,1.30012724
SIGV,2.02828663,SIGV,1.94891837
SIL,0.742726293,SIL,0.638247591
SING,0.931842672,SING,0.72823123
SINI,0.272898706,SINI,0.469369205
SINS,2.20716594,SINS,2.15233593
SIRA,-0.30926724,SIRA,-0.58116706
SLND,-0.27747844,SLND,-0.34811852
SLTL,0.792025862,SLTL,0.465188147
SMLL,0.783674568,SMLL,0.839665515
SMOT,0.129040948,SMOT,0.045628067
SOY,-0.78448275,SOY,-0.70768951
SPEN,0.706088362,SPEN,0.596982366
STAF,0.8046875,STAF,0.540265406
SUGA,0.376077586,SUGA,0.124341028
SUN,-4.7443426,SUN,0.131612434
SWAD,-0.31411637,SWAD,-0.27922195
TAFL,1.3356681,TAFL,1.52699509
TAJ,1.0466056,TAJ,0.491546991
TANG,1.9216056,TANG,1.02654062
TESS,1.86153017,TESS,1.54953644
TFC,1.53367456,TFC,1.19814579
TILE,1.61314655,TILE,0.871841483
TKYO,1.45716594,TKYO,1.15615342
TPL,0.276131465,TPL,-0.22159607
TRAN,1.3275862,TRAN,1.17669514
TSML,0.184536637,TSML,-0.06235229
TWOD,2.36826508,TWOD,1.69587347
TYRE,0.901131465,TYRE,0.447009634
UAL,1.09132543,UAL,0.635520814
UCAR,0.075969827,UCAR,-0.05817124
UDPL,-0.53151939,UDPL,-0.40356298
UML,0.386314655,UML,0.122341392
VFIN,-2.2273706,VFIN,-0.00890747
VLL,1.60048491,VLL,0.651881476
VPEL,0.350484913,VPEL,-0.28758407
WAPO,-0.35021551,WAPO,-0.77549536
WATA,0.086206896,WATA,-0.31939647
YORK,0.645474137,YORK,0.716960552
