Beta Values for the Period 01st July to 30th September 2010,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAIC,0.922029239,AAIC,0.93900228
ABAN,1.50137448,ABAN,0.855898005
ACAP,1.43802324,ACAP,1.20814082
ACL,0.878857928,ACL,0.881221124
ACME,0.920092465,ACME,0.831803029
AGAL,1.01718105,AGAL,0.922860986
AHPL,0.888729226,AHPL,0.875197379
AHUN,1.06160189,AHUN,0.686063512
ALLI,0.478882918,ALLI,0.42809521
ALUF,0.113020117,ALUF,0.284051698
AMSL,0.756028989,AMSL,0.766419088
APLA,0.790890915,APLA,0.93800807
ARPI,0.752967637,ARPI,0.713667465
ASCO,0.356803698,ASCO,0.471548043
ASHA,0.307697113,ASHA,0.700274869
ASHO,-0.41990503,ASHO,-0.24533598
ASIR,0.780582281,ASIR,0.674308439
ASPH,0.585218043,ASPH,0.580794198
ATL,0.902161689,ATL,0.938183519
AUTO,0.544295889,AUTO,0.097023217
BALA,1.01974259,BALA,1.16521434
BBH,0.848494314,BBH,0.676179893
BFL,0.474634512,BFL,0.419556699
BHR,0.721104585,BHR,0.526346569
BINN,0.046857428,BINN,-0.07667115
BLUE,1.93977258,BLUE,1.79881864
BOGA,0.334124703,BOGA,0.168430902
BOPL,1.67243533,BOPL,1.77513304
BREW,1.1869299,BREW,0.936838411
BRWN,0.584968136,BRWN,0.802444587
BUKI,1.66256403,BUKI,0.898473594
CABO,0.264525802,CABO,0.185683373
CARE,0.719042858,CARE,0.597929703
CARG,1.11127077,CARG,0.8490555
CARS,1.82693989,CARS,1.04754664
CCS,0.942396601,CCS,0.537926194
CDIC,0.260402349,CDIC,0.373589098
CERA,1.23953517,CERA,1.15761155
CFI,0.510058727,CFI,0.847359494
CFIN,0.699862551,CFIN,0.682554535
CFLB,0.785767837,CFLB,0.715948301
CFT,-0.87154816,CFT,-1.6183987
CFVF,1.12920154,CFVF,1.1217615
CHL,0.321192052,CHL,-0.09760804
CHMX,0.651693115,CHMX,0.661325223
CHOT,1.02411595,CHOT,0.763904321
CHOU,1.1037111,CHOU,0.868939704
CIC,1.34330875,CIC,1.61880811
CIND,0.874547044,CIND,0.702438739
CINS,0.869174059,CINS,1.0991286
CINV,1.54704485,CINV,1.27405111
CIT,0.893290016,CIT,1.58594069
CLND,1.4018493,CLND,1.33592607
CLPL,2.12126702,CLPL,1.40557927
COCO,0.943333749,COCO,0.773203111
COLO,0.63701112,COLO,0.265220188
COMB,0.856178932,COMB,0.988595824
COMD,0.669686367,COMD,0.621322884
CONN,1.00962139,CONN,0.79992982
CPRT,-0.0231788,CPRT,-0.16685186
CRL,1.07447207,CRL,0.905900929
CSD,1.24740722,CSD,1.24627171
CSEC,1.2594652,CSEC,1.31703608
CSF,1.28376858,CSF,1.18474764
CTBL,0.706297638,CTBL,0.685010819
CTC,0.286767462,CTC,0.151646295
CTCE,1.18886667,CTCE,1.03368618
CTEA,1.62551543,CTEA,0.937072343
CTHR,1.26615019,CTHR,1.0576057
CTLD,1.35830313,CTLD,1.30504707
CWM,1.25771585,CWM,0.998011579
DFCC,1.03767337,DFCC,1.33621849
DIAL,0.643696113,DIAL,0.677291069
DIMO,0.31431963,DIMO,0.236446575
DIPD,0.591840559,DIPD,0.431136323
DIST,0.8469324,DIST,0.860050295
DOCK,0.671248281,DOCK,0.655418445
DPL,0.765275521,DPL,0.608866015
EAST,0.948644258,EAST,0.731036902
EBCR,-0.06047732,EBCR,0.018597578
ECL,1.26415094,ECL,1.096029
EDEN,1.28170685,EDEN,1.01690157
ELPL,0.484005997,ELPL,0.264050529
EMER,0.077283518,EMER,0.174103748
EQIT,-0.80538548,EQIT,-0.8102813
ETWO,0.887292265,ETWO,0.67097491
GEST,0.07597151,GEST,-0.10369027
