Beta Values for the Period from 01st April to 30th June 2012,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAF,2.21098598,AAF,2.38895526
AAIC,0.56262928,AAIC,0.616089207
ABAN,1.3580786,ABAN,1.173636
ACAP,1.48689956,ACAP,1.75919288
ACL,0.311767409,ACL,0.393601486
ACME,2.83440588,ACME,2.87481746
AEL,2.11847851,AEL,1.89074737
AFSL,3.06216961,AFSL,3.1380592
AGAL,0.968857733,AGAL,1.02615159
AGST,-0.13468168,AGST,-0.24279835
AHPL,0.458974948,AHPL,0.340634541
AHUN,0.636175591,AHUN,0.631886366
ALLI,1.34348425,ALLI,1.70529669
ALUF,1.7689037,ALUF,2.09000398
AMCL,0,AMCL,0
AMF,0.713169386,AMF,0.889419885
AMSL,0.864858653,AMSL,0.689366786
APLA,-0.15180418,APLA,0.309836718
ARPI,1.46518041,ARPI,1.53551042
ASCO,0.894851758,ASCO,0.863268286
ASHA,0.899908067,ASHA,1.23523164
ASHO,0.841185934,ASHO,1.08150803
ASIR,0.585727418,ASIR,0.962299216
ASPH,3.0435532,ASPH,3.12783751
ATL,0.811422661,ATL,1.06265763
AUTO,0.18880717,AUTO,0.235895393
BALA,1.82188002,BALA,2.02641709
BBH,0.28131464,BBH,0.328421611
BERU,0,BERU,0
BFL,1.38336014,BFL,1.33174034
BHR,1.60813606,BHR,1.47457852
BIL,2.97839577,BIL,3.17244125
BINN,4.4779361,BINN,4.70197796
BLI,-0.93955412,BLI,0.283685118
BLUE,3.7982073,BLUE,3.71087216
BOGA,2.34141576,BOGA,2.70516394
BOPL,0.934497816,BOPL,1.22925793
BREW,1.38933578,BREW,1.25275454
BRWN,1.14525396,BRWN,1.18385769
BUKI,1.59767869,BUKI,1.1202708
CABO,0.566306596,CABO,0.941457586
CALF,1.13491151,CALF,0.644895791
CARE,2.59262238,CARE,1.95566175
CARG,0.767524706,CARG,0.548121598
CARS,0.496092852,CARS,0.307447232
CCS,0.737531601,CCS,0.678481348
CDB,1.28752011,CDB,1.19514137
CDIC,1.63916341,CDIC,1.04964821
CERA,1.5235578,CERA,2.09372096
CFI,3.52826936,CFI,2.41125713
CFIN,0.887956791,CFIN,0.854506836
CFL,0.999885083,CFL,1.20443382
CFLB,2.6719145,CFLB,2.90561529
CFT,2.91886922,CFT,3.31288995
CFVF,2.33831303,CFVF,2.55608655
CHL,0.995633187,CHL,0.882384176
CHMX,0.289473684,CHMX,0.206690561
CHOT,1.95024132,CHOT,1.8864994
CHOU,2.53619857,CHOU,3.18106995
CIC,0.709606986,CIC,0.609849993
CIFL,3.4579407,CIFL,3.64821452
CIND,0.70121811,CIND,0.653258993
CINS,0.315904389,CINS,0.277047656
CINV,1.44024362,CINV,1.39811496
CIT,2.2468398,CIT,2.49608389
CITK,3.06446793,CITK,3.32258064
CITW,1.44150769,CITW,1.63706358
CLC,6.64640312,CLC,8.93986459
CLND,1.7032866,CLND,1.8169388
CLPL,0.582279935,CLPL,0.851188105
COCO,1.23304987,COCO,1.52329749
COCR,1.06871983,COCR,1.04579848
COLO,1.41059526,COLO,1.63865657
COMB,0.443461273,COMB,0.427452542
COMD,1.04022063,COMD,1.91915571
CONN,1.61388186,CONN,1.82264701
CPRT,0,CPRT,0
CRL,1.48678464,CRL,1.12465153
CSD,1.86175591,CSD,1.86353378
CSEC,2.30590668,CSEC,2.66640116
CSF,2.23730176,CSF,2.50484534
CTBL,2.44242702,CTBL,1.94212133
CTC,1.16272121,CTC,0.574804194
CTCE,0.72810848,CTCE,0.630426125
CTEA,0.13858883,CTEA,0.236160892
CTHR,0.468398069,CTHR,0.190362405
CTLD,2.09193288,CTLD,2.02163812
CWM,0.946219259,CWM,1.1030134
DFCC,0.312801654,DFCC,0.46422408
DIAL,0.959089864,DIAL,0.945307314
DIMO,1.06757067,DIMO,0.950219036
DIPD,0.448632498,DIPD,0.546661356
DIST,0.626637554,DIST,0.68511881
DOCK,0.61376695,DOCK,0.537899907
DPL,3.70501034,DPL,3.74857294
EAST,0.753619857,EAST,1.25448028
EBCR,-0.74212824,EBCR,-0.44882516
ECL,2.34762123,ECL,2.19315013
EDEN,0.229717306,EDEN,0.442851453
ELPL,3.65249367,ELPL,3.75308641
EMER,2.20753849,EMER,1.87269348
EQIT,1.20719374,EQIT,0.881322182
ESL,2.81441048,ESL,3.0768618
ETWO,1.65823948,ETWO,1.16314881
EXPO,1.21489312,EXPO,1.11894331
FLCH,2.09055389,FLCH,2.46183459
GEST,2.19133532,GEST,1.01407141
GHLL,1.88508388,GHLL,1.97676888
GLAS,1.26212364,GLAS,1.41245187
GOOD,-0.09963226,GOOD,-0.01473516
GRAN,3.00459664,GRAN,3.02097437
GREG,2.46621466,GREG,2.75799814
GUAR,0.855320615,GUAR,0.688304792
HAPU,0.208457825,HAPU,0.298420284
HARI,1.27763732,HARI,1.46687906
HASU,1.58572741,HASU,1.5548918
HAYC,0.505975637,HAYC,0.673702376
HAYL,0.182486784,HAYL,0.290455329
HDFC,2.28016547,HDFC,2.09597769
HEXP,2.27189151,HEXP,1.85543608
HHL,1.54769018,HHL,1.41829284
HNB,0.604688577,HNB,0.810699588
HOPL,1.80406803,HOPL,1.60626576
HPFL,1.80740059,HPFL,1.9822116
HPWR,1.18432544,HPWR,1.14403292
HSIG,0.613996782,HSIG,0.630426125
HUEJ,2.98368191,HUEJ,3.7638391
HUNA,0.452884394,HUNA,0.900438072
HUNT,0.64065732,HUNT,0.764237355
HVA,3.78935876,HVA,4.0431435
IDL,0.339462192,IDL,0.281030134
INDO,0.312571822,INDO,0.642771804
JFIN,-0.37324752,JFIN,-0.23987787
JINS,1.09020914,JINS,1.05270144
JKH,0.75499885,JKH,1.05827691
JKL,0.60756148,JKL,0.384043541
KAHA,1.14927602,KAHA,1.5386964
KAPI,3.30843484,KAPI,3.80326563
KCAB,0.548839347,KCAB,1.06517987
KDL,2.77993564,KDL,3.08310102
KFP,1.7775224,KFP,2.00597371
KGAL,1.15237876,KGAL,1.36691889
KHC,2.26717995,KHC,2.0420815
KHL,0.840611353,KHL,0.803531129
KOTA,0.846816823,KOTA,0.884508164
KURU,0.824408182,KURU,0.719766361
KVAL,0.923695702,KVAL,0.831939466
KZOO,1.45667662,KZOO,1.03823178
LALU,3.309584,LALU,4.21518651
LAMB,2.13261319,LAMB,2.35868843
LCEM,3.06975407,LCEM,3.52887295
LCEY,1.40324063,LCEY,1.42293906
LDEV,3.58595725,LDEV,3.5548918
LFIN,1.2810848,LFIN,1.14921014
LGL,2.4030108,LGL,2.62936413
LHCL,2.72282233,LHCL,2.87455197
LHL,0.814755228,LHL,0.689234036
LIOC,1.24879338,LIOC,1.15226337
LION,0.77154677,LION,0.86260454
LITE,1.57159273,LITE,1.7554759
LLUB,0.325097678,LLUB,0.444046196
LMF,1.08503792,LMF,0.474313022
LOFC,2.90151689,LOFC,3.20005309
LOLC,2.01850149,LOLC,2.44577193
LPRT,1.04010572,LPRT,1.91955396
LVEN,1.20742358,LVEN,1.61861144
LWL,1.69317398,LWL,1.75149342
MADU,2.62548839,MADU,2.64370104
MAL,1.10480349,MAL,1.32802336
MARA,2.67455757,MARA,2.77233505
MASK,-0.47058147,MASK,-0.66507367
MBSL,2.5264307,MBSL,2.57214921
MEL,1.46311192,MEL,1.36041417
MERC,0,MERC,0
MFL,3.1227304,MFL,3.51812027
MGT,1.04113996,MGT,1.19699986
MIRA,-0.2532751,MIRA,-0.11097836
MORI,0.654906917,MORI,0.668923403
MPRH,3.1961618,MPRH,3.04022301
MRH,1.77154677,MRH,1.94504181
MSL,2.07722362,MSL,2.76105137
MULL,2.64950586,MULL,2.69520775
NAMU,1.58837048,NAMU,1.46754281
NDB,0.839692024,NDB,0.939200849
NEH,-0.60859572,NEH,0.414044869
NEST,1.61755918,NEST,1.04792247
NHL,0.910710181,NHL,1.04632948
NIFL,3.29809239,NIFL,2.96614894
NTB,0.770397609,NTB,0.79649542
ODEL,1.75833141,ODEL,1.8684455
OFEQ,1.15823948,OFEQ,0.938802601
OGL,2.89956331,OGL,3.18266294
ONAL,1.20409101,ONAL,1.10460639
ORIN,1.49436911,ORIN,2.12651002
OSEA,0.677200643,OSEA,0.883578919
PABC,1.12123649,PABC,0.979291119
PALM,1.66961618,PALM,0.907208283
PAP,1.27913123,PAP,1.57891942
PARA,0.62261549,PARA,0.853046594
PARQ,2.83429096,PARQ,2.67941059
PCH,2.80648126,PCH,2.83247046
PCHH,-0.50390714,PCHH,-0.80552236
PCP,1.90990576,PCP,1.8940661
PDL,1.72167317,PDL,1.09982742
PEG,1.21339921,PEG,1.31368644
PHAR,2.64858653,PHAR,2.56524624
PLC,0.691105492,PLC,0.707155183
PMB,0.624569064,PMB,0.755077658
RAL,0.82532751,RAL,0.856498075
RCL,0.818317628,RCL,0.942917828
REEF,2.1169846,REEF,2.64609053
REG,1.03861181,REG,1.0601354
RENU,0.748333716,RENU,0.164741802
REXP,1.93829004,REXP,2.04805522
RFL,1.75155136,RFL,2.22607195
RGEM,3.54504711,RGEM,3.60639851
RHL,0.976327281,RHL,1.6683924
RHTL,2.39037002,RHTL,2.53497942
RICH,1.59503562,RICH,1.7026417
RPBH,0.362445414,RPBH,0.625116155
RWSL,2.68662376,RWSL,2.93959909
SAMP,0.412089174,SAMP,0.526748971
SCAP,1.82015628,SCAP,2.07062259
SDB,-14.351528,SDB,-18.531395
SELI,0.3894507,SELI,0.154121863
SEMB,0.507584463,SEMB,0.652595247
SERV,1.93599172,SERV,2.05655117
SEYB,0.724431165,SEYB,0.645028541
SFCL,0,SFCL,0
SFIN,1.66329579,SFIN,1.52674897
SFL,2.28924385,SFL,1.60069029
SFS,0.852447713,SFS,0.870303995
SHAL,-0.54182946,SHAL,-0.05575467
SHAW,-0.05837738,SHAW,0.250896057
SHL,1.31820271,SHL,1.53511217
SHOT,0.95299931,SHOT,1.33492632
SIGV,1.75741208,SIGV,2.02880658
SIL,2.28786485,SIL,2.21531926
SING,3.26855895,SING,3.55356431
SINI,2.06148011,SINI,2.0078322
SINS,1.41898414,SINS,1.57613168
SIRA,2.49977016,SIRA,2.49064117
SLND,-0.43576189,SLND,0.003716978
SLTL,1.1847851,SLTL,1.042878
SMLL,0.757182256,SMLL,1.01354042
SMOT,0.71362905,SMOT,0.956989247
SOY,2.44047345,SOY,2.23682463
SPEN,0.494139278,SPEN,0.520509757
STAF,2.14801195,STAF,2.12743926
SUN,0.985865318,SUN,0.742068233
SWAD,0,SWAD,0
TAFL,3.59572512,TAFL,3.76158237
TAJ,1.44495518,TAJ,1.48944643
TANG,1.71925994,TANG,1.88012743
TAP,0.686508848,TAP,1.1299615
TESS,3.22247759,TESS,3.31063321
TFC,2.23925534,TFC,2.09956192
TFIL,2.28947368,TFIL,2.24744457
TILE,0.820730866,TILE,0.899376078
TJL,0.96541025,TJL,0.935882118
TKYO,1.3324523,TKYO,1.28049913
TPL,2.7953344,TPL,2.65498473
TRAN,1.49689726,TRAN,1.66613566
TSML,-1.734199,TSML,-1.8535775
TWOD,2.48379682,TWOD,2.57984866
TYRE,2.81211215,TYRE,2.9738484
UAL,1.2789014,UAL,1.48280897
UBC,1.8752011,UBC,1.94490906
UCAR,-0.14364513,UCAR,0.195274127
UDPL,2.10307975,UDPL,2.90070357
UML,0.847391404,UML,0.511881056
VFIN,1.7689037,VFIN,1.81162883
VLL,0.575959549,VLL,0.954201513
VONE,1.6569754,VONE,1.78295499
VPEL,1.71512296,VPEL,1.87999469
WAPO,4.44070328,WAPO,4.69706624
WATA,1.69420822,WATA,2.08641975
YORK,3.10572282,YORK,3.34435151
