Beta Values for the Period from 01st July to 30th September 2012,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAF,1.2654331,AAF,0.966549295
AAIC,0.428360897,AAIC,0.15
ABAN,1.36400851,ABAN,0.609507042
ACAP,0.497625675,ACAP,0.354225352
ACL,1.23743245,ACL,0.989700704
ACME,1.70869494,ACME,1.42605633
AEL,1.72621581,AEL,1.33292253
AFSL,1.21958408,AFSL,0.455545774
AGAL,0.990830194,AGAL,0.856954225
AGST,0.389225478,AGST,0.222007042
AHPL,0.741444244,AHPL,0.604049295
AHUN,0.946127394,AHUN,0.666637323
ALLI,0.719665957,ALLI,0.436179577
ALUF,2.51874897,ALUF,1.67297535
AMCL,0,AMCL,0
AMF,0.644015064,AMF,0.455985915
AMSL,0.589323726,AMSL,0.264260563
APLA,1.06910103,APLA,0.761443661
ARPI,1.12166366,ARPI,0.588644366
ASCO,-0.04945144,ASCO,-0.08943661
ASHA,0.754052726,ASHA,0.702728873
ASHO,1.36711969,ASHO,1.03873239
ASIR,0.337481578,ASIR,0.163292253
ASIY,0.386933027,ASIY,0.451672535
ASPH,1.58785,ASPH,1.11540492
ATL,1.40248894,ATL,1.15466549
AUTO,0.691174062,AUTO,0.563644366
BALA,2.34861634,BALA,1.78767605
BBH,0.897658424,BBH,0.557218309
BERU,2.37006713,BERU,2.56302816
BFL,1.38218437,BFL,1.0328345
BIL,2.46045521,BIL,1.71461267
BINN,1.89962338,BINN,1.05308098
BLI,2.3597511,BLI,1.39797535
BLUE,2.34976256,BLUE,1.65924295
BOGA,1.64434255,BOGA,1.15519366
BOPL,2.62321925,BOPL,1.87799295
BREW,2.18667103,BREW,1.15660211
BRWN,2.31029965,BRWN,1.78177816
BUKI,0.909284427,BUKI,0.389084507
CABO,1.46258392,CABO,1.00757042
CALF,0.5811364,CALF,0.1875
CARE,2.54724087,CARE,1.58433098
CARG,1.04912395,CARG,0.76822183
CARS,0.835925986,CARS,0.40528169
CCS,0.399705256,CCS,0.349559859
CDB,1.62682168,CDB,1.07411971
CDIC,2.29490748,CDIC,1.06364436
CERA,0.654167348,CERA,0.149911971
CFI,2.01833961,CFI,1.48934859
CFIN,1.32765678,CFIN,0.94181338
CFL,1.31095464,CFL,1.08670774
CFLB,2.69739643,CFLB,2.08635563
CFT,1.40314393,CFT,0.75
CFVF,1.20844932,CFVF,1.23873239
CHL,0.076960864,CHL,0.344630281
CHMX,0.020468315,CHMX,-0.43257042
CHOT,1.79842803,CHOT,1.59480633
CHOU,3.44342557,CHOU,2.30202464
CIC,1.83789094,CIC,1.21822183
CIFL,2.71639102,CIFL,1.73362676
CIND,1.14033076,CIND,0.795246478
CINS,-0.06369739,CINS,-0.1703345
CINV,2.48960209,CINV,1.45176056
CIT,1.99083019,CIT,1.5515845
CITK,2.26133944,CITK,1.90660211
CITW,1.36499099,CITW,1.0953345
CLC,1.46700507,CLC,0.852640845
CLND,1.82429998,CLND,1.59419014
CLPL,0.807597838,CLPL,0.519630281
COCO,0.623710496,COCO,0.434683098
COCR,1.23186507,COCR,0.798239436
COLO,1.95169477,COLO,1.69621478
COMB,0.771573604,COMB,0.581602112
COMD,1.34910758,COMD,1.12447183
CONN,0.511380383,CONN,0.460387323
CPRT,4.21041427,CPRT,3.95448943
CRL,1.31029965,CRL,1.12711267
CSD,2.30751596,CSD,1.85017605
CSEC,1.24725724,CSEC,0.871919014
CSF,2.66677583,CSF,1.81522887
CTBL,1.21565416,CTBL,0.813732394
CTC,0.232520058,CTC,0.081866197
CTCE,1.00507614,CTCE,0.314964788
CTEA,0.724087113,CTEA,0.551584507
CTHR,1.17193384,CTHR,0.419102112
CTLD,0.937285082,CTLD,0.823151408
CWM,2.05321761,CWM,1.39216549
DFCC,0.444080563,DFCC,0.350264084
DIAL,1.08187326,DIAL,0.598327464
DIMO,0.941869985,DIMO,0.483538732
DIPD,0.459308989,DIPD,0.257834507
DIST,1.11200261,DIST,0.65334507
DOCK,1.04159161,DOCK,0.700616197
DPL,2.05108891,DPL,1.68107394
