Beta Values for the Period from 01st October to 30th December  2012,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,2.79962013,AAF,2.78796077
AAIC,1.06386514,AAIC,1.00980723
ABAN,1.90123456,ABAN,1.99966181
ACAP,0.50759734,ACAP,0.361853229
ACL,0.865384615,ACL,1.10517416
ACME,3.09829059,ACME,3.01995265
AEL,1.2191358,AEL,1.2211701
AFSL,0.946106362,AFSL,0.781535339
AGAL,1.76092117,AGAL,1.92762935
AGST,0.489791073,AGST,0.021643557
AHPL,1.3568376,AHPL,1.38992221
AHUN,0.89031339,AHUN,0.867771389
ALLI,0.939221272,ALLI,0.869124112
ALUF,2.62013295,ALUF,2.574907
AMCL,0,AMCL,0
AMF,0.883903133,AMF,1.3709841
AMSL,0.288461538,AMSL,0.319242475
APLA,0.255935422,APLA,0.409536692
ARPI,-0.35636277,ARPI,-0.39567128
ASCO,-0.40835707,ASCO,-0.75380453
ASHA,0.232193732,ASHA,-0.1393304
ASHO,1.22174738,ASHO,1.38654041
ASIR,0.635090218,ASIR,0.582008792
ASIY,-0.11016144,ASIY,-0.05444707
ASPH,2.58903133,ASPH,2.50896178
ATL,2.51377018,ATL,3.02062901
AUTO,0.84354226,AUTO,1.20155563
BALA,1.24430199,BALA,1.26141359
BBH,2.03466286,BBH,1.90192762
BERU,1.38081671,BERU,1.32330064
BFL,2.13057929,BFL,2.06628339
BIL,2.75213675,BIL,2.59857964
BINN,3.62773029,BINN,3.80419343
BLI,3.25522317,BLI,2.92898207
BLUE,1.59496676,BLUE,1.54582346
BOGA,1.39482431,BOGA,2.10720324
BOPL,1.09947768,BOPL,0.818735204
BREW,0.044871794,BREW,-0.01251268
BRWN,1.61277302,BRWN,1.47446736
BUKI,0.395299145,BUKI,0.670273926
CABO,1.96201329,CABO,1.88569496
CALF,2.13936372,CALF,2.12174501
CARE,-0.12416904,CARE,0.152181264
CARG,0.642450142,CARG,0.744673655
CARS,0.188271604,CARS,0.343591477
CCS,0.310303893,CCS,0.340209671
CDB,0.527065527,CDB,0.63848495
CDIC,1.53822412,CDIC,1.11971592
CERA,0.977920227,CERA,0.929320257
CFI,-0.02754036,CFI,-0.10280689
CFIN,0.889363722,CFIN,1.15725397
CFL,1.25094966,CFL,1.26175177
CFLB,2.32336182,CFLB,2.06797429
CFT,2.26614434,CFT,1.98714913
CFVF,2.59710351,CFVF,2.01082177
CHL,-0.55674264,CHL,-0.63138315
CHMX,0.82668566,CHMX,0.463645586
CHOT,1.81077872,CHOT,1.72133919
CHOU,2.25759734,CHOU,1.9127494
CIC,1.21082621,CIC,1.0923233
CIFL,3.55460588,CIFL,3.04835982
CIND,0.690408357,CIND,0.6898884
CINS,0.24762583,CINS,0.036861684
CINV,2.41547958,CINV,2.32160973
CIT,-0.01258309,CIT,-0.60568143
CITH,-0.36111111,CITH,-0.9458911
CITK,2.0702754,CITK,2.07270882
CITW,1.92640075,CITW,2.01082177
CLC,2.61775878,CLC,2.08623605
CLND,1.56339031,CLND,1.59485965
CLPL,0.452991452,CLPL,0.704091985
COCO,2.41500474,COCO,2.84883327
COCR,1.05223171,COCR,1.16266486
COLO,1.04843304,COLO,1.01251268
COMB,0.720322886,COMB,1.03855258
COMD,-1.6025641,COMD,-1.3466351
CONN,1.11752136,CONN,0.886033141
CPRT,0.282763532,CPRT,0.606357795
CRL,-0.0422602,CRL,0.007778153
CSD,2.55318138,CSD,2.4284748
CSEC,0.933760683,CSEC,1.46060196
CSF,2.96794871,CSF,2.8082516
CTBL,1.24264007,CTBL,1.09097057
CTC,0.608262108,CTC,0.904294893
CTCE,1.39957264,CTCE,1.04193439
CTEA,0.338081671,CTEA,0.671964829
CTHR,1.46533713,CTHR,1.49137639
CTLD,0.855175688,CTLD,0.56340886
CWM,0.234805318,CWM,0.40852215
DFCC,0.885565052,DFCC,1.11329049
DIAL,0.986467236,DIAL,0.812309773
DIMO,1.12440645,DIMO,1.08691241
DIPD,0.164292497,DIPD,0.229286438
DIST,0.67094017,DIST,0.877240446
DOCK,0.343304843,DOCK,0.257017247
DPL,4.48812915,DPL,4.50287453
EAST,2.55365622,EAST,2.5522489
EBCR,3.41524216,EBCR,3.26141359
ECL,1.32882241,ECL,1.19208657
EDEN,1.28110161,EDEN,1.61887047
ELPL,0.919278252,ELPL,1.01082177
EMER,1.54510921,EMER,1.13459587
EQIT,-1.1915954,EQIT,-2.685492
ESL,3.96747388,ESL,5.21474467
ETWO,1.06386514,ETWO,1.70747379
EXPO,1.1925451,EXPO,1.04633074
FLCH,2.42640075,FLCH,2.30233344
GEST,-0.46462488,GEST,0.135610415
GHLL,1.83926875,GHLL,1.65471761
GLAS,0.65337132,GLAS,0.75887724
GOOD,0.491927825,GOOD,0.862022319
GRAN,2.09757834,GRAN,2.20121745
GREG,2.12939221,GREG,2.27798444
GSF,3.42592592,GSF,2.45789651
GUAR,1.22150997,GUAR,1.01014541
HAPU,0.445156695,HAPU,0.661819411
HARI,-0.91832858,HARI,-1.0659452
HASU,1.67901234,HASU,1.64558674
HAYC,-0.57383665,HAYC,-0.53567805
HAYL,0.126780626,HAYL,0.13797768
HDFC,1.65716999,HDFC,1.59553601
