Beta Values for the Period from 01st January to 31st March 2013,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,2.73372465,AAF,2.13348082
AAIC,0.890608324,AAIC,0.870943952
ABAN,0.529882604,ABAN,0.54719764
ACAP,0.36339381,ACAP,0.210914454
ACL,-0.05763073,ACL,-0.36725663
ACME,1.52134471,ACME,1.57669616
AEL,0.624332977,AEL,0.612831858
AFSL,1.38153681,AFSL,0.77138643
AGAL,1.19156883,AGAL,0.036135693
AGST,2.0240128,AGST,0.123156342
AHPL,1.19477054,AHPL,0.958702064
AHUN,0.90715048,AHUN,0.940265486
ALLI,0.802561366,ALLI,0.814159292
ALUF,1.35058697,ALUF,-0.18879056
AMCL,0,AMCL,0
AMF,1.00106723,AMF,2.79941002
AMSL,-0.12753468,AMSL,-0.1039823
APLA,1.74546424,APLA,1.51401179
ARPI,0.82977588,ARPI,-0.10840707
ASCO,3.16915688,ASCO,1.83849557
ASHA,-1.2299893,ASHA,-2.4461651
ASHO,1.44770544,ASHO,0.745575221
ASIR,0.431163287,ASIR,0.573746312
ASIY,2.27854855,ASIY,1.73303834
ASPH,1.18356456,ASPH,1.55309734
ATL,1.49519743,ATL,1.00368731
AUTO,-0.29082177,AUTO,0.848082595
BALA,0.275880469,BALA,0.039823008
BBH,1.56616862,BBH,0.624631268
BERU,3.42796157,BERU,2.56047197
BFL,1.52027748,BFL,1.33112094
BIL,0.853788687,BIL,0.487463126
BINN,0.529348986,BINN,0.934365781
BLI,1.24653148,BLI,0.105457227
BLUE,1.06616862,BLUE,1.24631268
BOGA,2.67395944,BOGA,1.29867256
BOPL,-1.9268943,BOPL,-2.1415929
BREW,-0.49252934,BREW,-1.6777286
BRWN,1.63607257,BRWN,1.61430678
BUKI,0.179829242,BUKI,0.699852507
CABO,2.67556029,CABO,2.19247787
CALF,-0.85752401,CALF,0.030973451
CARE,3.05229455,CARE,1.86578171
CARG,0.737459978,CARG,0.742625368
CARS,0.805763073,CARS,1.09734513
CCS,0.751334044,CCS,1.03834808
CDB,-0.1520811,CDB,0.278761061
CDIC,0.209711846,CDIC,0.196902654
CERA,1.01227321,CERA,0.260324483
CFI,1.37139807,CFI,0.066371681
CFIN,0.881003201,CFIN,0.701327433
CFL,0.286552828,CFL,-0.79719764
CFLB,2.79082177,CFLB,2.24410029
CFT,3.11899679,CFT,3.17772861
CFVF,2.0240128,CFVF,1.42035398
CHL,0.340981856,CHL,0.112831858
CHMX,-0.26520811,CHMX,0.474926253
CHOT,2.33084311,CHOT,1.77064896
CHOU,2.38580576,CHOU,1.23967551
CIC,0.478121664,CIC,0.783923303
CIFL,3.34258271,CIFL,2.72345132
CIND,0.003735325,CIND,-0.33775811
CINS,0.328175026,CINS,0.883480825
CINV,2.80149413,CINV,2.09070796
CIT,2.79722518,CIT,2.57964601
CITH,1.03041622,CITH,0.192477876
CITK,1.42849519,CITK,0.727138643
CITW,0.27054429,CITW,-1.25
CLC,0.762540021,CLC,0.383480825
CLND,2.44397011,CLND,1.79424778
CLPL,0.416221985,CLPL,0.71238938
COCO,2.24866595,COCO,3.71165191
COCR,2.01227321,COCR,1.71976401
COLO,4.56883671,COLO,5.72640117
COMB,0.276414087,COMB,1.02507374
COMD,2.85272145,COMD,2.44174041
CONN,1.25186766,CONN,1.56047197
CPRT,-0.54962646,CPRT,-1.0951327
CRL,0.823906083,CRL,0.138643067
CSD,2.3185699,CSD,1.95870206
CSEC,2.55709711,CSEC,2.23008849
CSF,2.83778014,CSF,2.42256637
CTBL,2.01173959,CTBL,1.32890855
CTC,2.69903948,CTC,2.49483775
CTCE,-0.42102454,CTCE,0.34439528
CTEA,0.340448239,CTEA,0.475663716
CTHR,-0.76307363,CTHR,-1.0066371
CTLD,2.65048025,CTLD,1.57522123
CWM,0.448772678,CWM,-0.60471976
DFCC,1.29082177,DFCC,1.46091445
DIAL,1.04695837,DIAL,1.20501474
DIMO,1.1221985,DIMO,0.883480825
DIPD,1.69743863,DIPD,1.37168141
DIST,1.08164354,DIST,1.41740412
DOCK,-0.08591248,DOCK,-0.28687315
DPL,3.86766275,DPL,3.46533923
EAST,2.45517609,EAST,2.38053097
EBCR,-0.31696905,EBCR,-0.36061946
ECL,1.71558164,ECL,2.06120943
EDEN,-0.51974386,EDEN,-1.0405604
ELPL,0.879402347,ELPL,0.783923303
EMER,1.55016008,EMER,0.682890855
EQIT,1.72465314,EQIT,0.570058997
ESL,1.82337246,ESL,1.42035398
ETWO,1.87193169,ETWO,0.452064896
EXPO,0.701707577,EXPO,0.640117994
FLCH,1.7561366,FLCH,1.85619469
GEST,0.202774813,GEST,-0.47861356
GHLL,2.33671291,GHLL,1.51696165
GLAS,0.386872998,GLAS,0.443952802
GOOD,-0.26254002,GOOD,-0.88421828
GRAN,2.5357524,GRAN,1.71312684
GREG,2.97598719,GREG,2.58480825
GSF,-0.51867662,GSF,-1.9100294
GUAR,1.94023479,GUAR,2.37979351
HAPU,1.28975453,HAPU,1.35029498
HARI,-0.95517609,HARI,-1.1039823
HASU,0.648879402,HASU,1.16887905
HAYC,0.596051227,HAYC,0.527286135
HAYL,0.964247598,HAYL,1.03687315
HDFC,1.26840981,HDFC,1.19026548
HEXP,2.88900747,HEXP,2.36504424
HHL,1.72465314,HHL,1.51696165
HNB,0.658484525,HNB,0.976401179
HOPL,-0.0597652,HOPL,-0.8738938
HPFL,2.5149413,HPFL,1.42920353
HPWR,1.13340448,HPWR,1.28097345
HSIG,-0.26147278,HSIG,-0.5339233
HUEJ,1.4258271,HUEJ,2.27286135
HUNA,1.81430096,HUNA,1.60619469
HUNT,1.93116328,HUNT,1.66887905
HVA,3.05442902,HVA,2.43362831
IDL,2.07097118,IDL,0.253687315
INDO,-1.8062966,INDO,-2.4933628
JFIN,0.445037353,JFIN,0.457227138
JINS,1.20864461,JINS,1.33775811
JKH,0.313767342,JKH,0.366519174
JKL,2.24759871,JKL,2.30457227
KAHA,2.45304162,KAHA,0.92699115
KAPI,2.50747065,KAPI,2.37979351
KCAB,1.47705442,KCAB,2.14601769
KDL,0.235325506,KDL,-0.63274336
KFP,0.133404482,KFP,0.04498525
KGAL,0.11579509,KGAL,0.171828908
KHC,-0.16862326,KHC,-0.33407079
KHL,0.405549626,KHL,0.479351032
KOTA,3.45037353,KOTA,3.1519174
KURU,2.46531483,KURU,1.91887905
KVAL,1.01334044,KVAL,0.993362831
KZOO,2.0357524,KZOO,2.39601769
LALU,3.35645677,LALU,3.66961651
LAMB,0.228922091,LAMB,-0.0058997
LCEM,2.24866595,LCEM,2.289823
LCEY,1.83030949,LCEY,2.07448377
LDEV,2.58964781,LDEV,2.34660766
LFIN,0.298292422,LFIN,-0.02212389
LGL,3.01547491,LGL,2.46460176
LHCL,2.03361792,LHCL,1.63053097
LHL,1.75453575,LHL,1.33407079
LIOC,1.78495197,LIOC,1.51032448
LION,1.14247598,LION,0.311209439
LITE,1.88740661,LITE,1.21755162
LLUB,1.09178228,LLUB,1.18067846
LMF,2.31483457,LMF,1.78834808
LOFC,2.42849519,LOFC,1.53244837
LOLC,1.22572038,LOLC,0.299410029
LPRT,0.262006403,LPRT,1.01327433
LVEN,0.209178228,LVEN,-0.44247787
LWL,1.68409818,LWL,1.39233038
MADU,1.7828175,MADU,0.3679941
