Beta Values for the Period from 01st April to 30th June 2013,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,1.75073227,AAF,1.45377483
AAIC,1.35471587,AAIC,0.771390728
ABAN,2.17193907,ABAN,2.27046357
ACAP,1.81429408,ACAP,1.15947019
ACL,1.12360867,ACL,0.874966887
ACME,1.37463386,ACME,0.953642384
AEL,1.29086115,AEL,1.08927152
AFSL,-0.50966608,AFSL,-0.24503311
AGAL,-0.48769771,AGAL,-0.68556291
AGST,0.479496192,AGST,0.380662251
AHPL,1.05799648,AHPL,0.858807947
AHUN,1.09050966,AHUN,0.875496688
ALLI,0.626830697,ALLI,0.701456953
ALUF,0.941417691,ALUF,0.44
AMCL,0,AMCL,0
AMF,-0.15905096,AMF,-0.15205298
AMSL,0.631517281,AMSL,0.486357615
APLA,1.81693028,APLA,1.38728476
ARPI,0.424721734,ARPI,-0.09748344
ASCO,0.249853544,ASCO,0.36423841
ASHA,-0.40714704,ASHA,-0.47152317
ASHO,-0.14118336,ASHO,-0.00423841
ASIR,0.672524897,ASIR,0.435761589
ASIY,0.647041593,ASIY,0.590463576
ASPH,0.566198008,ASPH,0.329006622
ASPM,0,ASPM,0
ATL,0.545108377,ATL,0.179602649
AUTO,0.892794376,AUTO,0.84
BALA,0.517574692,BALA,0.134039735
BBH,1.1956649,BBH,1.31788079
BERU,0.661980082,BERU,-0.50754966
BFL,0.87082601,BFL,0.353112582
BIL,1.39132981,BIL,1.04715231
BINN,-1.099297,BINN,-0.20476821
BLI,1.74545987,BLI,1.15417218
BLUE,2.23462214,BLUE,1.44821192
BOGA,1.32308142,BOGA,1.20503311
BOPL,0.21880492,BOPL,0.032582781
BREW,0.893966022,BREW,0.549933774
BRWN,0.654364381,BRWN,0.506754966
BUKI,0.218512009,BUKI,0.163708609
CABO,1.15905096,CABO,1.34225165
CALF,1.99443468,CALF,1.29509933
CARE,-0.18512009,CARE,-0.13033112
CARG,1.56971294,CARG,1.46622516
CARS,0.286467486,CARS,0.276556291
CCS,1.93087287,CCS,1.72953642
CDB,1.57410661,CDB,0.813245033
CDIC,1.13151728,CDIC,-0.1213245
CERA,3.35354422,CERA,2.86781456
CFI,1.47803163,CFI,0.663046357
CFIN,0.742237844,CFIN,0.491390728
CFL,0.410954891,CFL,-0.08900662
CFLB,1.83655536,CFLB,1.29536423
CFT,1.18014059,CFT,0.795231788
CFVF,0.541300527,CFVF,0.343311258
CHL,0.300234329,CHL,0.360529801
CHMX,0.462800234,CHMX,0.439470198
CHOT,1.96280023,CHOT,1.37615894
CHOU,1.60456942,CHOU,1.37986754
CIC,1.00644405,CIC,0.56423841
CIFL,1.77709431,CIFL,0.809536423
CIND,1.27914469,CIND,1.1223841
CINS,0.344756883,CINS,0.322119205
CINV,2.37697715,CINV,1.87682119
