Beta Values for the Period from 01st October to 31st December  2013,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,1.31045241,AAF,0.591036414
AAIC,-0.18876755,AAIC,0.136134453
ABAN,1.36661466,ABAN,0.985434173
ABL,0,ABL,0
ACAP,0.374414976,ACAP,0.238095238
ACL,1.14976599,ACL,0.280112044
ACME,2.16536661,ACME,0.973669467
AEL,1.19656786,AEL,0.698039215
AFSL,-0.16926677,AFSL,-0.0605042
AGAL,0.354914196,AGAL,-0.03585434
AGST,1.04134165,AGST,0.756302521
AHPL,3.04056162,AHPL,2.28291316
AHUN,0.867394695,AHUN,0.323809523
ALHP,2.34477379,ALHP,1.36414565
ALLI,0.893135725,ALLI,0.346778711
ALUF,1.80343213,ALUF,0.634733893
AMCL,0,AMCL,0
AMF,2.10608424,AMF,1.44761904
AMSL,-0.07722308,AMSL,0.114285714
APLA,0.772230889,APLA,0.321568627
ARPI,2.14820592,ARPI,2.04817927
ASCO,0.528861154,ASCO,1.09355742
ASHA,0.851794071,ASHA,0.659383753
ASHO,1.34477379,ASHO,0.478991596
ASIR,0.394695787,ASIR,0.029131652
ASIY,1.47425897,ASIY,1.05434173
ASPH,0.789391575,ASPH,1.31036414
ASPM,0,ASPM,0
ATL,0.067862714,ATL,0.126610644
AUTO,-0.81747269,AUTO,-0.46778711
BALA,2.53354134,BALA,1.21288515
BBH,1.50936037,BBH,0.682352941
BERU,1.67472698,BERU,0.4302521
BFL,3.13650546,BFL,2.1372549
BIL,2.16614664,BIL,1.36918767
BINN,1.64430577,BINN,1.29187675
BLI,2.47347893,BLI,1.32717086
BLUE,1.73244929,BLUE,-0.56358543
BOGA,2.99141965,BOGA,1.73053221
BOPL,2.66614664,BOPL,2.05994397
BREW,0.18876755,BREW,-0.1815126
BRWN,1.11856474,BRWN,0.523809523
BUKI,0.103744149,BUKI,0.714845938
CABO,1.00390015,CABO,0.478431372
CALF,0.921996879,CALF,0.917647058
CARE,-0.28237129,CARE,0.096358543
CARG,0.211388455,CARG,0.262745098
CARS,1.86427457,CARS,2.01736694
CCS,1.60452418,CCS,1.85994397
CDB,0.442277691,CDB,0.611204481
CDIC,1.16926677,CDIC,0.207282913
CERA,1.61856474,CERA,1.37535014
CFI,-1.0639625,CFI,-0.53165266
CFIN,0.754290171,CFIN,0.108123249
CFL,2.91575663,CFL,1.14453781
CFLB,1.72698907,CFLB,0.907563025
CFT,1.06786271,CFT,0.332773109
CFVF,0.898595943,CFVF,0.385434173
CHL,0.211388455,CHL,0.03977591
CHMX,2.32995319,CHMX,2.80168067
CHOT,1.4602184,CHOT,0.446498599
CHOU,2.38845553,CHOU,0.145658263
CIC,0.913416536,CIC,0.974229691
CIFL,1.81357254,CIFL,-0.4117647
CIND,0.031201248,CIND,-0.02016806
CINS,0.485959438,CINS,-1.2969187
CINV,1.70670826,CINV,1.18487394
CIT,0.913416536,CIT,-0.15574229
CITH,0.922776911,CITH,0.414565826
CITK,2.15834633,CITK,0.670588235
CITW,0.633385335,CITW,1.13109243
CLC,2.02340093,CLC,-0.3955182
CLND,2.82995319,CLND,1.59271708
CLPL,0.615444617,CLPL,-0.13613445
COCO,0.983619344,COCO,0.569747899
COCR,0.942277691,COCR,0.524929971
COLO,0.40951638,COLO,0.071148459
COMB,0.382215288,COMB,0.665546218
COMD,-0.36817472,COMD,0.634733893
CONN,1.72776911,CONN,1.30084033
CPRT,1.2675507,CPRT,-0.0420168
CRL,0.723088923,CRL,0.070588235
CSD,0.716848673,CSD,0.319887955
CSEC,1.67082683,CSEC,0.263305322
CSF,0.796411856,CSF,0.075630252
CTBL,1.31903276,CTBL,0.511484593
CTC,2.1552262,CTC,1.66722689
CTCE,-0.09360374,CTCE,-0.47563025
CTEA,0.2925117,CTEA,0.310924369
CTHR,1.15132605,CTHR,0.871148459
CTLD,1.00780031,CTLD,0.527731092
CWM,2.63806552,CWM,1.16358543
DFCC,1.43837753,DFCC,1.35574229
