Beta Values for the Period from 01st October to 31st December  2014 ,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,2.62057142,AAF,2.08180535
AAIC,1.82628571,AAIC,1.50433205
ABAN,0.089142857,ABAN,0.129357243
ABL,0.4,ABL,0.425750554
ACAP,1.78377142,ACAP,1.39915373
ACL,1.3232,ACL,1.06105178
ACME,1.22217142,ACME,0.905500705
AEL,2.66925714,AEL,2.15434213
AFSL,1.26788571,AFSL,1.38162401
AGAL,0.682742857,AGAL,0.491638122
AGST,1.88114285,AGST,1.76647189
AHPL,0.672914285,AHPL,0.480757606
AHUN,0.437714285,AHUN,0.462623413
AINS,0,AINS,0
AINV,1.9168,AINV,1.47229498
ALHP,0.958857142,ALHP,0.303244005
ALLI,0.579428571,ALLI,0.509772315
ALUF,2.60868571,ALUF,2.20955067
ALUM,1.68434285,ALUM,1.17630465
AMCL,0,AMCL,0
AMF,0.1104,AMF,0.053798105
AMSL,1.92411428,AMSL,1.61293572
APLA,1.3424,APLA,1.31996776
ARPI,0.493942857,ARPI,0.32943784
ASCO,1.40457142,ASCO,1.48055611
ASHO,-0.24342857,ASHO,-0.42937739
ASIR,1.20045714,ASIR,1.03123111
ASIY,0.986057142,ASIY,0.995768688
ASPH,2.17211428,ASPH,1.95688091
ASPM,0,ASPM,0
ATL,1.96,ATL,1.58734636
AUTO,0.296685714,AUTO,0.431593794
BALA,1.75634285,BALA,1.13499899
BBH,1.90765714,BBH,1.63973403
BERU,1.72022857,BERU,1.20229699
BFL,0.816228571,BFL,0.6336893
BIL,1.61874285,BIL,1.42776546
BLI,1.02308571,BLI,0.718315534
BLUE,1.44411428,BLUE,0.879911343
BOGA,1.67314285,BOGA,1.21579689
BOPL,2.58102857,BOPL,1.85210558
BREW,-0.19497142,BREW,-0.17086439
BRR,0.467885714,BRR,0.26133387
BRWN,1.88388571,BRWN,1.59500302
BUKI,-0.33851428,BUKI,-0.41849687
CABO,1.84914285,CABO,1.59399556
CALF,0.165714285,CALF,-0.1436631
CARE,0.465371428,CARE,0.327422929
CARG,0.456,CARG,0.373161394
CARS,0.8112,CARS,0.932701994
CCS,0.486857142,CCS,0.143058633
CDB,1.22902857,CDB,0.99617167
CERA,1.49942857,CERA,1.18436429
CFI,2.06605714,CFI,2.06266371
CFIN,1.35794285,CFIN,1.23413258
CFL,0.6608,CFL,0.192020955
CFLB,1.38605714,CFLB,1.17267781
CFT,1.30491428,CFT,0.853919
CFVF,3.21897142,CFVF,2.65303244
CHL,1.66582857,CHL,1.93088857
CHMX,1.06125714,CHMX,0.664114446
CHOT,1.84617142,CHOT,1.66673383
CHOU,2.62857142,CHOU,2.04392504
CIC,1.66422857,CIC,1.41728793
CIFL,3.57691428,CIFL,3.18778964
CIND,1.55611428,CIND,1.45758613
CINS,0.218514285,CINS,0.016320773
CINV,2.04274285,CINV,1.68869635
CIT,1.90057142,CIT,1.63751763
CITH,1.9264,CITH,1.74330042
CITK,1.648,CITK,1.37316139
CITW,2.02697142,CITW,1.4269595
CLC,1.65668571,CLC,1.28672174
CLND,2.09988571,CLND,1.50594398
CLPL,1.248,CLPL,0.975216602
COCO,2.38994285,COCO,2.02256699
COCR,1.30628571,COCR,1.14688696
COLO,2.54057142,COLO,2.39048962
COMB,1.82422857,COMB,2.00765665
COMD,0.727314285,COMD,0.572637517
CONN,1.10628571,CONN,1.00967156
CPRT,-0.74788571,CPRT,-0.33588555
CRL,3.20868571,CRL,2.93411243
CSD,2.0528,CSD,1.81624017
CSEC,3.42605714,CSEC,2.8470683
CSF,1.55565714,CSF,1.28168446
CTBL,1.32777142,CTBL,1.00523876
CTC,0.057828571,CTC,-0.03989522
CTCE,1.37302857,CTCE,1.08825307
CTEA,0.7504,CTEA,0.575861374
CTHR,1.02697142,CTHR,0.772718114
CTLD,1.57028571,CTLD,1.26395325
CWM,0.115657142,CWM,0.049365303
DFCC,2.056,DFCC,1.96292564
DIAL,1.11702857,DIAL,1.17348377
DIMO,0.408914285,DIMO,0.346161595
DIPD,0.609142857,DIPD,0.54986903
DIST,0.648228571,DIST,0.574047954
DOCK,0.644342857,DOCK,0.573846463
DPL,2.75108571,DPL,2.35784807
EAST,1.18194285,EAST,0.905500705
EBCR,-0.18285714,EBCR,-0.10719322
ECL,1.69302857,ECL,1.29095305
EDEN,1.90948571,EDEN,1.81684465
ELPL,1.54605714,ELPL,1.25468466
EMER,0.600457142,EMER,0.400564174
EQIT,1.30171428,EQIT,1.18033447
ESL,3.03314285,ESL,2.49284706
ETWO,1.72982857,ETWO,1.43965343
EXPO,0.539885714,EXPO,0.425952045
FLCH,1.00662857,FLCH,1.0088656
GEST,1.28205714,GEST,1.2403788
GHLL,2.00822857,GHLL,1.7279871
GLAS,1.57782857,GLAS,1.1976627
GOOD,-0.11337142,GOOD,-0.67096514
GRAN,1.34285714,GRAN,1.03324602
GREG,1.66971428,GREG,1.40197461
GSF,2.8544,GSF,2.38343743
GUAR,1.16731428,GUAR,0.948619786
HAPU,0.689142857,HAPU,0.071932299
HARI,1.30971428,HARI,1.08120088
HASU,1.54171428,HASU,1.41547451
HAYC,0.674285714,HAYC,0.658271206
HAYL,1.14194285,HAYL,1.11968567
HDFC,1.98742857,HDFC,1.66350997
HEXP,0.265828571,HEXP,0.093894821
HHL,1.58445714,HHL,1.58069715
HNB,1.39177142,HNB,1.41708643
HOPL,0.653028571,HOPL,0.677614346
HPFL,0.589257142,HPFL,0.423534152
HPWR,0.296914285,HPWR,0.423937134
HSIG,-0.2672,HSIG,-0.09631271
HUEJ,0.018742857,HUEJ,-0.15091678
HUNA,1.80457142,HUNA,1.42494458
