Beta Values for the Period from 02nd January to 31st March  2015 ,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,1.58009331,AAF,1.16958921
AAIC,1.34790046,AAIC,0.923932456
ABAN,0.774961119,ABAN,0.431807111
ABL,0.600777604,ABL,0.382773177
ACAP,1.12457231,ACAP,0.830654327
ACL,0.783670295,ACL,0.429696379
ACME,0.771384136,ACME,0.499675271
AEL,1.58646967,AEL,1.09709368
AFSL,0.339346811,AFSL,0.228283812
AGAL,0.646811819,AGAL,0.318882935
AGST,1.48646967,AGST,0.956648806
AHPL,0.258786936,AHPL,0.200032472
AHUN,0.645878693,AHUN,0.350949829
AINS,0.546811819,AINS,0.515018671
AINV,0.486625194,AINV,0.228040266
ALHP,0.789580093,ALHP,0.485387238
ALLI,0.247900466,ALLI,0.128998213
ALUF,0.003110419,ALUF,-0.10545543
ALUM,0.739502332,ALUM,0.486767332
AMCL,0,AMCL,0
AMF,0.471228615,AMF,0.391053742
AMSL,0.474805598,AMSL,0.280808572
APLA,0.106531881,APLA,-0.08800129
ARPI,1.0785381,ARPI,0.533771716
ASCO,1.78631415,ASCO,1.42872219
ASHO,0.301244167,ASHO,0.250121773
ASIR,0.897822706,ASIR,0.621042377
ASIY,0.590357698,ASIY,0.40915733
ASPH,1.8852255,ASPH,1.157006
ASPM,0,ASPM,0
ATL,1.73390357,ATL,1.17608377
AUTO,0.174027993,AUTO,0.131758402
BALA,1.35847589,BALA,0.851924013
BBH,0.844479004,BBH,0.551225848
BERU,1.05847589,BERU,0.74598149
BFL,0.203110419,BFL,0.165692482
BIL,1.38771384,BIL,1.09132976
BLI,0.798600311,BLI,0.545380743
BLUE,0.130326594,BLUE,-0.08678356
BOGA,1.17993779,BOGA,0.687611625
BOPL,0.487869362,BOPL,0.44025004
BREW,1.50793157,BREW,1.07736645
BRR,0.674805598,BRR,0.61633382
BRWN,0.982426127,BRWN,0.714807598
BUKI,0.605287713,BUKI,0.539779184
CABO,0.26562986,CABO,0.237051469
CALF,1.64090202,CALF,1.17835687
CARE,1.84199066,CARE,1.23518428
CARG,0.168584758,CARG,0.061698327
