Beta Values for the Period from 01st July to 30th September 2015,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,2.28675958,AAF,1.78591264
AAIC,-8.1543554,AAIC,-5.7904569
ABAN,2.93937282,ABAN,2.38273163
ABL,-0.01951219,ABL,0.04216107
ACAP,0.67979094,ACAP,0.728098964
ACL,2.5609756,ACL,1.83110325
ACME,1.5087108,ACME,1.32895733
AEL,2.14599303,AEL,1.73011865
AFSL,1.19477351,AFSL,0.90406463
AGAL,0.222996515,AGAL,-0.14137843
AGST,1.16829268,AGST,0.962383236
AHPL,1.30836236,AHPL,0.91921232
AHUN,0.640418118,AHUN,0.326937642
AINS,1.08013937,AINS,0.941933855
AINV,2.48885017,AINV,2.15551628
ALHP,0.303832752,ALHP,0.543044685
ALLI,0.79337979,ALLI,0.559202221
ALUF,1.60975609,ALUF,1.27720272
ALUM,0.982229965,ALUM,0.833880333
AMCL,0,AMCL,0
AMF,-0.03693379,AMF,0.014642766
AMSL,0.770034843,AMSL,0.555162837
APLA,2.52473867,APLA,1.86670032
ARPI,-0.64947735,ARPI,-0.62585205
ASCO,0.963066202,ASCO,0.909618783
ASHO,-0.46864111,ASHO,-0.41024993
ASIR,1.27038327,ASIR,0.905579399
ASIY,0.753658536,ASIY,0.801817722
ASPH,0.355400696,ASPH,0.144155516
ASPM,0,ASPM,0
ATL,-0.14912891,ATL,-0.03685937
AUTO,-0.84982578,AUTO,-1.2976521
BALA,0.474216027,BALA,0.089876293
BBH,1.22125435,BBH,0.912900782
BERU,1.08815331,BERU,1.16813935
BFL,2.58571428,BFL,1.78439787
BIL,1.51951219,BIL,0.945973239
BLI,1.0358885,BLI,0.79298157
BLUE,2.08675958,BLUE,1.63569805
BOGA,0.638675958,BOGA,0.444837162
BOPL,0.398954703,BOPL,0.150971976
BREW,0.032055749,BREW,-0.0209543
BRR,1.87212543,BRR,1.73516788
BRWN,1.85540069,BRWN,1.47563746
BUKI,0.270383275,BUKI,0.30143903
CABO,1.16829268,CABO,0.75435496
CALF,1.54181184,CALF,1.19717243
CARE,0.573170731,CARE,0.466801312
CARG,1.31254355,CARG,0.83337541
CARS,0.17804878,CARS,0.119919212
CCS,1.55783972,CCS,0.859378944
CDB,1.64216027,CDB,1.21408735
CERA,0.406620209,CERA,0.232012118
CFI,0.473170731,CFI,0.405453168
CFIN,0.688850174,CFIN,0.509972229
CFL,0.399303135,CFL,0.288563494
CFLB,1.46445993,CFLB,1.06134814
CFT,2.18222996,CFT,1.85761171
CFVF,1.51045296,CFVF,1.09719767
CHL,0.402439024,CHL,0.053269376
CHMX,1.7358885,CHMX,1.35849532
CHOT,0.28815331,CHOT,-0.0406463
CHOU,1.77038327,CHOU,1.01792476
CIC,2.03205574,CIC,1.74981065
CIFL,0.634494773,CIFL,0.732895733
CIND,1.63344947,CIND,1.3382984
CINS,0.331010452,CINS,0.154758899
CINV,1.24703832,CINV,0.952537238
CIT,0.268292682,CIT,0.395354708
CITH,0.521951219,CITH,0.260287806
CITK,1.52195121,CITK,1.47437515
CITW,1.84703832,CITW,1.60565513
CLC,0.580487804,CLC,0.481191618
CLND,2.57909407,CLND,2.13405705
CLPL,0.749825783,CLPL,0.669275435
COCO,1.15017421,COCO,0.859883867
COCR,2.15121951,COCR,1.46250946
COLO,0.90348432,COLO,0.60944206
COMB,1.15017421,COMB,1.02650845
COMD,0.84076655,COMD,0.799293107
CONN,0.114982578,CONN,0.083564756
CPRT,0.499651567,CPRT,0.121938904
CRL,1.63170731,CRL,1.26735672
CSD,1.09477351,CSD,0.839182024
CSEC,1.41533101,CSEC,0.952284776
CSF,0.625087108,CSF,0.388285786
CTBL,0.422299651,CTBL,0.292602878
CTC,0.565853658,CTC,0.458975006
CTCE,0.040069686,CTCE,0.141630901
CTEA,-0.09268292,CTEA,-0.16309012
