Beta Values for the Period from 01st October to 31st December 2015,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,4.29561671,AAF,3.68315412
AAIC,0.467889908,AAIC,0.558422939
ABAN,0.961264016,ABAN,0.488172043
ABL,2.5412844,ABL,2.09605734
ACAP,1.16004077,ACAP,1.3204301
ACL,2.14373088,ACL,1.47240143
ACME,2.13455657,ACME,1.52759856
AEL,1.17227319,AEL,0.711111111
AFSL,3.43017329,AFSL,1.65448028
AGAL,5.13149847,AGAL,3.10394265
AGST,1.4108053,AGST,1.32831541
AHPL,1.67074413,AHPL,1.25089605
AHUN,0.627930682,AHUN,0.746953405
AINS,-0.30071355,AINS,-0.25017921
AINV,2.16004077,AINV,0.86594982
ALHP,1.08460754,ALHP,0.708960573
ALLI,0.493374108,ALLI,0.027956989
ALUF,2.10703363,ALUF,1.23799283
ALUM,1.5698267,ALUM,0.982795698
AMCL,0,AMCL,0
AMF,3.23853211,AMF,2.12329749
AMSL,1.72375127,AMSL,1.45878136
APLA,1.3659531,APLA,0.62078853
ARPI,2.1335372,ARPI,1.59784946
ASCO,4.09480122,ASCO,2.03727598
ASHO,0.159021406,ASHO,0.098924731
ASIR,0.754332313,ASIR,0.74767025
ASIY,0.884811416,ASIY,0.718279569
ASPH,0.453618756,ASPH,-0.20215053
ASPM,0,ASPM,0
ATL,1.98776758,ATL,1.48673835
AUTO,0.795107033,AUTO,0.390681003
BALA,2.82262996,BALA,1.45304659
BBH,-0.19775739,BBH,0.097491039
BERU,0.489296636,BERU,0.756989247
BFL,1.40265035,BFL,1.15555555
BIL,-0.61264016,BIL,-1.925448
BLI,7.03058103,BLI,7.53476702
BLUE,-1.3863404,BLUE,-3.8215053
BOGA,4.79816513,BOGA,4.39498207
BOPL,2.85830784,BOPL,1.74121863
BREW,0.099898063,BREW,0.017921146
BRR,2.11416921,BRR,1.91684587
BRWN,0.871559633,BRWN,0.493189964
BUKI,2.40163098,BUKI,2.14982078
CABO,1.76350662,CABO,1.49820788
