Beta Values for the Period from 04th Januaryto 31st March 2016,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,1.4570466,AAF,1.20118343
AAIC,3.13456859,AAIC,2.77067007
ABAN,1.61856634,ABAN,1.41931872
ABL,1.85944226,ABL,1.74140412
ACAP,-0.12464907,ACAP,-0.10490964
ACL,2.10275126,ACL,1.78970094
ACME,2.48586936,ACME,2.08379977
AEL,2.31985775,AEL,2.12218135
AFSL,0.906419614,AFSL,0.961618423
AGAL,0.777653003,AGAL,0.395010395
AGST,2.2824256,AGST,1.7474812
AHPL,1.78064757,AHPL,1.38045738
AHUN,1.56578701,AHUN,1.2649928
AINS,0.799925135,AINS,0.655525347
AINV,2.6020962,AINV,2.31888693
ALHP,1.55792625,ALHP,1.45849992
ALLI,-0.39565787,ALLI,-0.40924356
ALUF,6.15029009,ALUF,5.2560371
ALUM,2.09058581,ALUM,1.82424436
AMCL,0,AMCL,0
AMF,0.247239378,AMF,0.213017751
AMSL,2.07842036,AMSL,1.82952182
APLA,1.69474078,APLA,1.50391811
ARPI,0.986898746,ARPI,0.766671997
ASCO,-0.14542391,ASCO,-0.40172717
ASHO,-0.06850084,ASHO,-0.10139133
ASIR,0.303200449,ASIR,0.377578762
ASIY,1.68781583,ASIY,1.46105869
ASPH,0.419240127,ASPH,0.286262593
ASPM,0,ASPM,0
ATL,0.221411192,ATL,0.449064449
AUTO,-1.8609395,AUTO,-0.45897968
BALA,2.43065693,BALA,2.00783623
BBH,2.59966311,BBH,2.15544538
BERU,1.11454239,BERU,1.11002718
BFL,3.24817518,BFL,2.7322885
BFN,0.421673217,BFN,0.156245002
BIL,1.74115665,BIL,1.11946265
BLI,4.97042859,BLI,4.58148088
BLUE,3.52442448,BLUE,3.0674876
BOGA,-0.02227213,BOGA,-0.08731808
BOPL,1.57158899,BOPL,1.13193667
BREW,0.659180235,BREW,0.88341596
BRR,0.038367958,BRR,0.100111946
BRWN,1.24312184,BRWN,1.18295218
BUKI,0.595171252,BUKI,0.472093395
CABO,0.686318547,CABO,0.616823924
CALF,0.669848399,CALF,0.753078522
CARE,0.402769979,CARE,0.341596033
CARG,0.89818454,CARG,0.898768591
CARS,0.923825566,CARS,0.285143131
CCS,1.03462474,CCS,0.952342875
CDB,1.53808721,CDB,1.35950743
CERA,1.40145985,CERA,1.33663841
CFI,1.08721691,CFI,0.883735806
CFIN,0.937301141,CFIN,0.763473532
CFL,2.41587123,CFL,1.93635055
CFLB,1.77072805,CFLB,1.35918758
CFT,2.57551937,CFT,2.19638573
CFVF,4.9322478,CFVF,4.28434351
CHL,-0.39228897,CHL,-0.16440108
CHMX,2.73142429,CHMX,2.31888693
CHOT,0.555493168,CHOT,0.59587398
CHOU,3.64345873,CHOU,3.48904525
CIC,0.801983904,CIC,0.738045738
CIFL,-0.53247239,CIFL,-1.3983687
CIND,2.46921205,CIND,2.18167279
CINS,-0.03668351,CINS,0.048776587
CINV,2.36253041,CINV,1.95841995
CIT,1.21542204,CIT,1.03662242
CITH,0.209807224,CITH,0.243403166
CITK,3.87198203,CITK,3.46969454
CITW,3.07879468,CITW,2.67551575
CLC,1.22740033,CLC,0.869502638
CLND,2.18697361,CLND,1.80793219
CLPL,1.87123338,CLPL,1.83479929
COCO,2.52180422,COCO,2.18167279
COCR,1.36009732,COCR,0.925475771
COLO,0.825940482,COLO,0.629138013
COMB,1.08459666,COMB,1.14968814
COMD,1.18229459,COMD,1.05245482
CONN,0.399213924,CONN,0.34783304
CPRT,1.03125584,CPRT,1.16616024
CRL,1.74003368,CRL,1.79737725
CSD,2.74658431,CSD,2.40012793
CSEC,3.39865244,CSEC,2.68351191
CSF,2.93917274,CSF,3.01231408
CTBL,1.68575706,CTBL,1.54277946
CTC,0.375257346,CTC,0.295538141
CTCE,0.217855137,CTCE,0.320326243
CTEA,0.474639715,CTEA,0.518631057
CTHR,-0.13550439,CTHR,0.158164081
CTLD,1.70110424,CTLD,1.25027986
CWM,0.604716451,CWM,0.599392291
