Beta Values for the Period from 01st  April  to 30th June 2016,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,-0.52651048,AAF,-0.84280701
AAIC,2.41800246,AAIC,2.10245614
ABAN,1.76078914,ABAN,1.2414035
ABL,0.835593916,ABL,0.997543859
ACAP,3.18783394,ACAP,2.40315789
ACL,0.907932593,ACL,0.768421052
ACME,1.8865598,ACME,1.48035087
AEL,1.48170982,AEL,1.23368421
AFSL,2,AFSL,0.878245614
AGAL,0.42622277,AGAL,0.774385964
AGST,2.54747225,AGST,2.04385964
AHPL,1.93752568,AHPL,1.65263157
AHUN,1.81216605,AHUN,1.36982456
AINS,1.42786683,AINS,0.644561403
AINV,2.87135224,AINV,2.26771929
ALHP,1.29716399,ALHP,0.889824561
ALLI,0.116728318,ALLI,-0.03052631
ALUF,1.78175092,ALUF,1.49438596
ALUM,1.12823674,ALUM,1.03614035
AMCL,0,AMCL,0
AMF,0.809288943,AMF,0.630526315
AMSL,2.27414714,AMSL,1.69473684
APLA,0.979449239,APLA,0.698245614
ARPI,1.79325935,ARPI,1.20982456
ASCO,1.26880394,ASCO,0.752631578
ASHO,0.215371968,ASHO,0.209473684
ASIR,0.181668721,ASIR,0.447017543
ASIY,1.29264282,ASIY,0.788771929
ASPH,0.781750924,ASPH,1.08210526
ASPM,0,ASPM,0
ATL,3.17098232,ATL,2.50771929
AUTO,-0.72092067,AUTO,-0.1568421
BALA,0.651048088,BALA,0.23122807
BBH,1.7488697,BBH,1.30771929
BERU,3.71311138,BERU,2.56105263
BFL,2.02096177,BFL,1.38526315
BFN,2.36909165,BFN,2.27964912
BIL,1.70119194,BIL,1.37614035
BLI,1.9839704,BLI,1.16421052
BLUE,0.557747636,BLUE,0.64245614
BOGA,3.16276202,BOGA,2.8
BOPL,0.876284422,BOPL,0.823859649
BREW,0.690916563,BREW,0.589473684
BRR,0.321413892,BRR,-0.20070175
BRWN,2.00041101,BRWN,1.56771929
BUKI,1.73366214,BUKI,1.49403508
CABO,0.720509658,CABO,0.469473684
CALF,1.47924373,CALF,1.85929824
CARE,1.02260583,CARE,1.07368421
CARG,0.789149198,CARG,0.881052631
CARS,1.0891903,CARS,0.669824561
CCS,0.593916974,CCS,0.509473684
CDB,0.801890669,CDB,0.557543859
CERA,0.930949445,CERA,1.62947368
CFI,0.551582408,CFI,0.665614035
CFIN,1.25811755,CFIN,0.849473684
CFL,2.47266748,CFL,1.8845614
CFLB,2.7866831,CFLB,2.22245614
CFT,2.75010275,CFT,2.0522807
CFVF,2.51253596,CFVF,2.14561403
CHL,0.402794903,CHL,0.285964912
CHMX,2.11261816,CHMX,1.76315789
CHOT,0.498561446,CHOT,0.145614035
CHOU,2.22893547,CHOU,1.87719298
CIC,0.801890669,CIC,0.661754385
CIFL,1.83888203,CIFL,1.15122807
CIND,1.49445129,CIND,1.26947368
CINS,0.131524866,CINS,0.139649122
CINV,3.19646526,CINV,2.8168421
CIT,1.18824496,CIT,1.66210526
CITH,2.40320591,CITH,-0.01578947
CITK,4.60624743,CITK,2.59368421
CITW,3.73366214,CITW,2.32385964
CLC,2.11261816,CLC,1.19157894
CLND,3.46814632,CLND,2.56631578
CLPL,2.76325524,CLPL,2.23263157
COCO,1.55815865,COCO,1.15403508
COCR,0.645293875,COCR,0.172280701
COLO,0.989724619,COLO,1.03087719
COMB,1.06617344,COMB,1.29614035
COMD,0.886559802,COMD,0.65614035
CONN,1.50924784,CONN,0.67614035
CPRT,1.54747225,CPRT,1.4414035
CRL,0.671187833,CRL,0.351578947
CSD,1.43814221,CSD,0.797543859
CSEC,3.40320591,CSEC,2.71929824
CSF,1.74393752,CSF,1.91649122
CTBL,2.57994245,CTBL,2.55192982
CTC,0.756267981,CTC,0.484210526
CTCE,1.18413481,CTCE,0.842807017
CTEA,1.32387998,CTEA,1.0814035
CTHR,0.461570078,CTHR,0.422105263
CTLD,0.995478832,CTLD,1.30561403
CWM,-0.20591861,CWM,-0.8214035
DFCC,1.20674064,DFCC,1.11157894
DIAL,0.856144677,DIAL,0.663859649
DIMO,1.00698725,DIMO,0.395438596
DIPD,2.29551993,DIPD,1.63894736
DIST,0.506370735,DIST,0.642807017
DOCK,-0.11796136,DOCK,0.047017543
DPL,2.81298808,DPL,2.25052631
EAST,2.2379778,EAST,1.56491228
EBCR,0.209617755,EBCR,-0.05333333
ECL,2.42046855,ECL,2.32491228
EDEN,0.950678175,EDEN,0.581403508
ELPL,-0.51541307,ELPL,-0.31649122
EMER,2.92396218,EMER,1.89298245
ETWO,0.115084258,ETWO,0.395789473
EXPO,1.47883271,EXPO,0.994035087
FLCH,0.473489519,FLCH,-0.03754385
GEST,0.106041923,GEST,0.067017543
GHLL,2.92314015,GHLL,1.89929824
GLAS,1.03000411,GLAS,0.949824561
GOOD,-0.1056309,GOOD,-0.15578947
GRAN,1.86970817,GRAN,1.55333333
GREG,1.70612412,GREG,1.1722807
GSF,2.01315248,GSF,1.47263157
GUAR,1.9136868,GUAR,1.00175438
HAPU,1.16029593,HAPU,0.806315789
HARI,0,HARI,0
HASU,1.95602137,HASU,1.51192982
HAYC,1.19153308,HAYC,1.22877192
HAYL,1.11138512,HAYL,0.675438596
HDFC,1.75339087,HDFC,1.32
HEXP,3.61939991,HEXP,2.56280701
HHL,1.84792437,HHL,1.5122807
HNB,0.547061241,HNB,0.800701754
HOPL,1.81216605,HOPL,1.35649122
HPFL,2.81422112,HPFL,2.27789473
HPWR,1.30579531,HPWR,0.671578947
HSIG,-0.10398684,HSIG,-0.12350877
HUEJ,0.642416769,HUEJ,0.041403508
HUNA,0.206740649,HUNA,0.096842105
HUNT,0.021783806,HUNT,0.027368421
HVA,4.39868475,HVA,3.87017543
IDL,3.2651048,IDL,1.48947368
INDO,0,INDO,0
JINS,2.71763255,JINS,2.27789473
JKH,1.24496506,JKH,1.52035087
JKL,0.52651048,JKL,0.287368421
KAHA,0.282778462,KAHA,1.04491228
KAPI,3.1487875,KAPI,2.66982456
KCAB,0.116728318,KCAB,-0.05614035
KDL,0.303329223,KDL,0.269473684
KFP,0.726263871,KFP,0.835438596
KGAL,1.16687217,KGAL,0.637894736
KHC,1.90300041,KHC,1.33508771
KHL,1.10439786,KHL,0.712982456
KOTA,2.07151664,KOTA,1.46561403
