Beta Values for the Period from 01st  October  to 31st December 2016,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,1.28471528,AAF,0.505304299
AAIC,2.82817182,AAIC,2.12897822
ABAN,0.252747252,ABAN,-0.1228364
ABL,0.461538461,ABL,0.110552763
ACAP,1.64435564,ACAP,1.42936906
ACL,1.31968031,ACL,0.726968174
ACME,1.89710289,ACME,1.21161362
AEL,1.94105894,AEL,1.5360134
AFSL,0.695304695,AFSL,0.165829145
AGAL,0.579420579,AGAL,0.222780569
AGST,1.89510489,AGST,1.99385817
AHPL,0.507492507,AHPL,0.00614182
AHUN,1,AHUN,0.458961474
AINS,0.015984015,AINS,-0.14126186
AINV,0.386613386,AINV,-0.18816303
ALHP,1.86713286,ALHP,1.58626465
ALLI,32.7872127,ALLI,19.5583472
ALUF,2.59840159,ALUF,1.71300949
ALUM,1.8011988,ALUM,1.28866554
AMCL,0,AMCL,0
AMF,-0.02897102,AMF,-0.01451702
AMSL,0.752247752,AMSL,0.628140703
APLA,1.39260739,APLA,1.04801786
ARPI,-0.17582417,ARPI,-0.0083752
ASCO,2.31668331,ASCO,1.49413735
ASHO,-0.4095904,ASHO,-0.53713009
ASIR,2.28471528,ASIR,1.50195421
ASIY,2.39560439,ASIY,1.62144053
ASPH,0.894105894,ASPH,0.692908989
ASPM,0,ASPM,0
ATL,0.824175824,ATL,0.865996649
ATLL,0.146853146,ATLL,0.01228364
AUTO,0.671328671,AUTO,0.07816862
BALA,3.48451548,BALA,2.18760469
BBH,0.093906093,BBH,-0.06476828
BERU,3.82117882,BERU,2.60971524
BFL,1.07592407,BFL,0.666666666
BFN,1.33566433,BFN,1.14963707
BIL,-1.02997,BIL,-0.92908989
BLI,2.14285714,BLI,1.55443886
BLUE,2.4075924,BLUE,1.75544388
BOGA,1.4095904,BOGA,0.724176437
BOPL,1.15084915,BOPL,0.782244556
BREW,0.036963036,BREW,0.017867113
BRR,1.42657342,BRR,1.17029592
BRWN,0.874125874,BRWN,0.561139028
BUKI,0.876123876,BUKI,0.207146845
CABO,0.164835164,CABO,0.023450586
CALF,-0.45754245,CALF,0.16080402
CARE,1.35964035,CARE,0.742601898
CARG,0.903096903,CARG,0.722501395
CARS,0.189810189,CARS,-0.0603015
CCS,1.69730269,CCS,1.33445002
CDB,0.835164835,CDB,0.491903964
CERA,-0.01198801,CERA,-0.00111669
CFI,-0.83516483,CFI,-1.0340591
CFIN,0.722277722,CFIN,0.460636515
CFL,2.38061938,CFL,1.9670575
CFLB,-0.12687312,CFLB,0.290340591
CFT,3.07692307,CFT,2.50809603
CFVF,4.42357642,CFVF,2.6387493
CHL,0.203796203,CHL,0.159687325
CHMX,0.557442557,CHMX,0.535455053
CHOT,1.57142857,CHOT,0.86990508
CHOU,-0.13986013,CHOU,0.030150753
CIC,-0.03496503,CIC,-0.24232272
CIND,2.07192807,CIND,1.55555555
CINS,1.15984015,CINS,0.044109436
CINV,2.87512487,CINV,1.78336125
CIT,-0.05494505,CIT,-0.13400335
CITH,1.83216783,CITH,0.645449469
CITK,2.74125874,CITK,2.25963149
CITW,1.54745254,CITW,1.32328308
CLC,1.11288711,CLC,0.809603573
CLND,1.57442557,CLND,0.909547738
CLPL,1.4035964,CLPL,1.00502512
COCO,2.04395604,COCO,1.36404243
COCR,6.00999,COCR,1.98548297
COLO,-0.32167832,COLO,-0.11613623
COMB,1.81218781,COMB,1.83417085
COMD,-0.91508491,COMD,-0.3495254
CONN,0.008991008,CONN,-0.1228364
CPRT,1.52347652,CPRT,0.353433835
CRL,0.42057942,CRL,0.114461194
CSD,0.25074925,CSD,0.321049692
CSEC,4.66533466,CSEC,2.89000558
CSF,4.5044955,CSF,3.14628699
CTBL,0.575424575,CTBL,1.02121719
CTC,0.53046953,CTC,-0.09715242
CTCE,-0.66533466,CTCE,-0.28922389
CTEA,0.242757242,CTEA,0.158012283
CTHR,0.897102897,CTHR,0.254048017
CTLD,0.053946053,CTLD,-0.33054159
CWM,-0.58341658,CWM,-0.35008375
DFCC,1.37162837,DFCC,0.984924623
DIAL,1.45354645,DIAL,1.26409826
DIMO,1.61338661,DIMO,1.10217755
DIPD,0.332667332,DIPD,0.278056951
DOCK,0.863136863,DOCK,0.89056393
DPL,1.23976023,DPL,0.64321608
EAST,-0.9080919,EAST,-0.9480737
EBCR,0.391608391,EBCR,0.152987158
ECL,3.36363636,ECL,1.69960915
EDEN,3.34465534,EDEN,2.5963149
ELPL,1.59540459,ELPL,0.902847571
EMER,3.26273726,EMER,1.7816862
ETWO,0.146853146,ETWO,-0.15968732
EXPO,1.008991,EXPO,0.575656058
FLCH,3.37062937,FLCH,0.643774427
GEST,1.85114885,GEST,0.989949748
GHLL,1.61538461,GHLL,1.59575656
GLAS,1.24675324,GLAS,1.01116694
GOOD,-1.097902,GOOD,-1.1920714
GRAN,2.57642357,GRAN,1.88888888
GREG,1.87312687,GREG,0.996649916
GSF,3.34365634,GSF,1.76884422
GUAR,2.17882117,GUAR,1.69290898
HAPU,0.445554445,HAPU,0.546063651
HARI,0.168831168,HARI,0.06588498
HASU,0.716283716,HASU,0.303740926
HAYC,1.06893106,HAYC,0.759352317
HAYL,0.477522477,HAYL,0.224455611
HDFC,0.961038961,HDFC,0.847571189
HEXP,0.882117882,HEXP,0.787269681
HHL,0.57042957,HHL,0.347292015
HNB,1.08591408,HNB,1.21384701
HOPL,1.07892107,HOPL,0.658291457
HPFL,0.519480519,HPFL,0.548855388
HPWR,0.189810189,HPWR,0.471245114
HSIG,-0.02897102,HSIG,-0.14740368
HUEJ,0.824175824,HUEJ,0.737576772
HUNA,0.502497502,HUNA,0.061976549
HUNT,0.335664335,HUNT,0.333333333
HVA,2.25474525,HVA,1.23562255
IDL,3.13086913,IDL,1.84589614
INDO,0,INDO,0
JINS,1.64435564,JINS,1.03350083
JKH,1.32167832,JKH,1.16471245
JKL,0.903096903,JKL,0.65549972
KAHA,-0.41758241,KAHA,-0.28084868
KAPI,2.37562437,KAPI,1.64098269
KCAB,-1.3576423,KCAB,-0.61976549
KDL,3.7072927,KDL,2.28196538
KFP,-0.02497502,KFP,0.136236739
KGAL,0.317682317,KGAL,-0.01842546
KHC,0.571428571,KHC,0.032384142
KHL,2.37862137,KHL,1.6895589
KOTA,0.978021978,KOTA,0.33389168
KVAL,-0.42557442,KVAL,-0.37688442
KZOO,-1.012987,KZOO,-0.08821887
LALU,0.744255744,LALU,0.504745951
LAMB,0,LAMB,0
LCEM,2.2037962,LCEM,1.54829704
LCEY,0.071928071,LCEY,0.202680067
LDEV,2.67432567,LDEV,1.97599106
LFIN,1.2077922,LFIN,0.69681742
LGL,1.62137862,LGL,1.3813512
LHCL,1.69830169,LHCL,0.959798994
LHL,0.766233766,LHL,0.44946957
LIOC,1.74025974,LIOC,0.935790061
LION,-0.03196803,LION,-0.03350083
LITE,1.86513486,LITE,1.17643774
LLMP,2.42857142,LLMP,2.16136236
LLUB,1.21478521,LLUB,0.799553322
LMF,0.703296703,LMF,0.255723059
LOFC,1.52247752,LOFC,0.565047459
LOLC,1.85414585,LOLC,1.01172529
LPRT,0.336663336,LPRT,0.496370742
LVEN,1.92307692,LVEN,1.44667783
LWL,0.807192807,LWL,0.606365159
MADU,1.7002997,MADU,0.887772194
MAL,0.465534465,MAL,-0.21105527
MARA,2.57142857,MARA,1.64712451
MASK,2.3086913,MASK,1.17197096
MBSL,2.84315684,MBSL,1.71133445
MEL,1.51848151,MEL,0.241764377
MELS,0.482517482,MELS,0.184812953
MERC,-0.45854145,MERC,-0.3590173
MFL,2.61138861,MFL,2.27303182
MGT,1.25174825,MGT,0.853154662
MHDL,2.76423576,MHDL,2.76828587
MORI,0.395604395,MORI,0.310999441
MRH,1.79420579,MRH,0.976549413
MSL,0.659340659,MSL,1.02512562
MULL,-3.078921,MULL,-2.7297599
NAMU,0.843156843,NAMU,1.10720268
NDB,1.35764235,NDB,0.920156337
NEH,0,NEH,0
NEST,0.311688311,NEST,0.036292573
NHL,-0.58741258,NHL,-0.09045226
NIFL,0,NIFL,0
NTB,0.79020979,NTB,0.335566722
ODEL,1.81318681,ODEL,0.532663316
OFEQ,-0.57342657,OFEQ,0.01228364
ONAL,-0.04795204,ONAL,-0.13065326
OSEA,0.577422577,OSEA,0.350083752
PABC,0.179820179,PABC,-0.00446677
PALM,2.95904095,PALM,1.360134
PAP,-0.4015984,PAP,-0.62144053
PARA,1.4045954,PARA,1.21887213
PARQ,1.15984015,PARQ,0.567839195
PCHH,0.738261738,PCHH,-0.77833612
PDL,-0.76823176,PDL,-0.15577889
PEG,2.45054945,PEG,1.92629815
PHAR,1.54745254,PHAR,1.56058068
PINS,0.81018981,PINS,0.567280848
PLC,1.01898101,PLC,0.642099385
PMB,1.62737262,PMB,1.3590173
RAL,2.95404595,RAL,1.64489112
RCL,1.08891108,RCL,0.860971524
REEF,2.46553446,REEF,1.04410943
REG,1.3096903,REG,0.573422668
RENU,-0.35664335,RENU,-0.1535455
REXP,0.465534465,REXP,0.436069235
RFL,-0.24375624,RFL,-0.37018425
RGEM,-0.25374625,RGEM,0.580122836
RHL,1.52547452,RHL,1.11948632
RHTL,1.13586413,RHTL,1.13623673
RICH,1.16783216,RICH,0.842546063
RPBH,1.53146853,RPBH,1.02847571
RWSL,1.38861138,RWSL,1.65047459
SAMP,1.07492507,SAMP,0.768844221
SCAP,1.95504495,SCAP,0.932439977
SDB,1.45054945,SDB,0.728084868
SELI,0,SELI,0
SEMB,0.862137862,SEMB,0.590731434
SERV,2.11388611,SERV,1.03182579
SEYB,0.263736263,SEYB,0.389168062
SFCL,-1.088911,SFCL,-1.5136795
