Beta Values for the Period from 01st  January  to 31st March 2017,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.101075268,AAF,0
AAIC,0.209677419,AAIC,0.275058275
ABAN,0.556989247,ABAN,0.418997668
ABL,0.827956989,ABL,0.579254079
ACAP,3.05806451,ACAP,2.38636363
ACL,1.36989247,ACL,0.846736596
ACME,2.98924731,ACME,1.66958041
AEL,1.03118279,AEL,0.896853146
AFSL,2.35591397,AFSL,1.48484848
AGAL,-0.74838709,AGAL,-0.76981351
AGST,1.21827956,AGST,0.533799533
AHPL,1.54838709,AHPL,1.06410256
AHUN,-0.21290322,AHUN,-0.42599067
AINS,-1.1946236,AINS,-1.3041958
AINV,0.943010752,AINV,1.94580419
ALHP,-0.86559139,ALHP,0.25
ALLI,0.537634408,ALLI,0.477272727
ALUF,3.01075268,ALUF,1.58508158
ALUM,1.53978494,ALUM,1.11771561
AMCL,0,AMCL,0
AMF,0,AMF,0
AMSL,-0.35376344,AMSL,-0.20571095
APLA,1.03118279,APLA,0.522144522
ARPI,-0.05806451,ARPI,-0.70920745
ASCO,2.44301075,ASCO,1.53205128
ASHO,0.010752688,ASHO,0.023892773
ASIR,1.5688172,ASIR,0.923076923
ASIY,0.643010752,ASIY,0.297785547
ASPH,-0.00645161,ASPH,0.023310023
ASPM,0,ASPM,0
ATL,8.7344086,ATL,4.33682983
ATLL,4.04086021,ATLL,1.9044289
AUTO,-0.07419354,AUTO,-0.32634032
BALA,1.09139784,BALA,0.634032634
BBH,1.23978494,BBH,0.373543123
BERU,2.07096774,BERU,0.763403263
BFL,0.392473118,BFL,0.229020979
BFN,0.994623655,BFN,0.322843822
BIL,1.96129032,BIL,-0.16083916
BLI,1.60107526,BLI,1.4562937
BLUE,-0.98172043,BLUE,1.10081585
BOGA,-0.54086021,BOGA,-0.56934731
BOPL,-0.64301075,BOPL,-0.09557109
BPPL,0,BPPL,0
BREW,0.304301075,BREW,0.044871794
BRR,1.87311827,BRR,1.21620046
BRWN,1.11182795,BRWN,0.463869463
BUKI,0.182795698,BUKI,-0.17773892
CABO,-0.66666666,CABO,-0.53554778
CALF,1.20430107,CALF,0.824592074
CARE,3.16021505,CARE,1.60198135
CARG,1.12150537,CARG,0.625291375
CARS,-0.52150537,CARS,-1.1620046
CCS,0.701075268,CCS,0.384032634
CDB,2.53978494,CDB,1.46794871
CERA,0.20860215,CERA,-0.41783216
CFI,0.696774193,CFI,0.321678321
CFIN,0.85376344,CFIN,0.53088578
CFLB,1.88817204,CFLB,1.60198135
CFT,0.823655913,CFT,-0.05944055
CFVF,3.02473118,CFVF,2.08449883
CHL,-0.31505376,CHL,0.122960372
CHMX,0.095698924,CHMX,0.16025641
CHOT,0.015053763,CHOT,-0.13403263
CHOU,0.402150537,CHOU,-0.34615384
CIC,1.74193548,CIC,1.26806526
CIFL,5.54731182,CIFL,3.61888111
CIND,0.213978494,CIND,0.06002331
CINS,0.910752688,CINS,-0.66025641
CINV,2.96666666,CINV,1.63869463
CIT,0.154838709,CIT,0.072261072
CITH,-4.3537634,CITH,-2.5984848
CITK,3.62903225,CITK,1.72494172
CITW,3.51612903,CITW,2.42074592
CLC,1.10537634,CLC,0.877622377
CLND,2.67204301,CLND,1.30361305
CLPL,1.95268817,CLPL,1.06759906
COCO,0.815053763,COCO,0.315850815
COCR,1.98387096,COCR,1.03205128
COLO,0.812903225,COLO,0.803613053
COMB,0.836559139,COMB,0.858391608
