Beta Values for the Period from 01st  July  to 30th September 2017,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,-3.0968208,AAF,-2.8532563
AAIC,-0.1734104,AAIC,-0.35366859
ABAN,0.975433526,ABAN,0.83594394
ABL,-0.54624277,ABL,-0.81945589
ACAP,2.80202312,ACAP,1.64715581
ACL,1.62861271,ACL,1.09892827
ACME,2.81069364,ACME,1.48062654
AEL,1.34393063,AEL,0.976092333
AFSL,1.4017341,AFSL,1.77988458
AGAL,2.97254335,AGAL,1.16075845
AGST,0.830924855,AGST,-0.143446
AHPL,1.13150289,AHPL,0.797197032
AHUN,-0.45809248,AHUN,-0.83759274
AINS,1.02456647,AINS,0.840890354
AINV,-4.1806358,AINV,-8.7023907
ALHP,-1.8106936,ALHP,-1.5622423
ALLI,1.03323699,ALLI,0.966199505
ALUF,0.923410404,ALUF,0.314921681
ALUM,0.510115606,ALUM,0.004946413
AMCL,0,AMCL,0
AMF,0,AMF,0
AMSL,0.91184971,AMSL,0.5358615
APLA,1.32803468,APLA,-0.11294311
ARPI,0.112716763,ARPI,-0.00659521
ASCO,-1.8280346,ASCO,-1.8384171
ASHO,0.969653179,ASHO,0.418796372
ASIR,1.92919075,ASIR,0.522671063
ASIY,1.60115606,ASIY,0.179719703
ASPH,-0.01878612,ASPH,-0.38004946
ASPM,0,ASPM,0
ATL,6.1950867,ATL,5.66529266
ATLL,1.46242774,ATLL,0.774938169
AUTO,0.523121387,AUTO,0.322341302
BALA,-0.42196531,BALA,-0.35614179
BBH,-0.29768786,BBH,-0.05028854
BERU,4.87283236,BERU,3.92168178
BFL,0.050578034,BFL,0.16817807
BFN,2.5650289,BFN,0.591920857
BIL,4.15606936,BIL,2.02473206
BLI,0.336705202,BLI,-0.43858202
BLUE,2.62427745,BLUE,2.68342951
BOGA,1.32803468,BOGA,0.847485572
BOPL,0.119942196,BOPL,-0.62077493
BPPL,0.40317919,BPPL,0.207749381
BREW,0.50433526,BREW,-0.12860676
BRR,2.24855491,BRR,1.52019785
BRWN,2.69942196,BRWN,1.7147568
BUKI,-0.34537572,BUKI,-0.43610882
CABO,0.163294797,CABO,-0.22753503
CALF,1.06358381,CALF,0.22176422
CARE,0.721098265,CARE,0.794723825
CARG,0.043352601,CARG,-0.0016488
CARS,1.09537572,CARS,0.371805441
CCS,2.7384393,CCS,1.69826875
CDB,0.189306358,CDB,0.066776586
CERA,0.027456647,CERA,-0.94723825
CFI,0.557803468,CFI,0.056883759
CFIN,0.693641618,CFIN,0.26793075
CFLB,3.14884393,CFLB,2.31244847
CFT,1.41040462,CFT,0.756801319
CFVF,1.60115606,CFVF,0.958779884
CHL,-0.28468208,CHL,-0.04369332
CHMX,1.45520231,CHMX,0.610057708
CHOT,1.43063583,CHOT,0.299258037
CHOU,1.25433526,CHOU,0.997526793
CIC,1.13872832,CIC,0.789777411
CIFL,-3.4234104,CIFL,-0.07831821
CIND,1.30924855,CIND,0.046166529
CINS,0.239884393,CINS,0.099752679
CINV,3.55057803,CINV,1.84830997
CIT,-0.13439306,CIT,-0.45836768
CITH,4.02890173,CITH,1.69744435
CITW,2.27890173,CITW,1.55317394
CLC,2.9450867,CLC,0.197856553
CLND,0.764450867,CLND,0.414674361
COCO,0.229768786,COCO,-0.19868095
COCR,2.40317919,COCR,0.466611706
COLO,1.47109826,COLO,1.36108821
COMB,1.01300578,COMB,0.882110469
COMD,0.637283236,COMD,-0.53503709
CONN,-0.94219653,CONN,-1
CPRT,1.13439306,CPRT,0.923330585
CRL,2.10982658,CRL,0.764220939
CSD,1.08381502,CSD,0.388293487
CSEC,2.81936416,CSEC,1.95877988
CSF,-0.04624277,CSF,-0.84089035
CTBL,1.10260115,CTBL,-1.0857378
CTC,0.38583815,CTC,0.366859027
CTCE,-0.61127167,CTCE,-0.53338829
CTEA,0.664739884,CTEA,-0.06430338
CTHR,0.843930635,CTHR,0.563891178
CTLD,0.976878612,CTLD,0.710634789
CWM,-0.61994219,CWM,0.20032976
DFCC,0.985549132,DFCC,0.821929101
DIAL,1.51734104,DIAL,0.851607584
DIMO,2.10404624,DIMO,1.3231657
DIPD,2.03468208,DIPD,0.340478153
DOCK,3.40317919,DOCK,1.19373454
DPL,4.18497109,DPL,2.0387469
EAST,0.888728323,EAST,0.847485572
EBCR,0.242774566,EBCR,-0.12448474
ECL,1.20953757,ECL,0.042044517
EDEN,0.988439306,EDEN,0.493816982
ELPL,0.832369942,ELPL,0.254740313
EMER,3.50144508,EMER,2.1805441
ETWO,0.800578034,ETWO,-0.19950535
EXPO,0.64884393,EXPO,0.098103874
FLCH,2.79046242,FLCH,1.70156636
GEST,-0.88294797,GEST,-0.95795548
GHLL,0.848265895,GHLL,0.4286892
GLAS,0.397398843,GLAS,-0.08985985
GOOD,0,GOOD,0
GRAN,1.18930635,GRAN,1.13685078
GREG,2.96387283,GREG,1.14014839
GSF,2.09826589,GSF,1.09233305
GUAR,1.86705202,GUAR,0.958779884
HAPU,0.527456647,HAPU,0.193734542
HARI,-0.31069364,HARI,-0.36685902
HASU,0.092485549,HASU,0.324814509
HAYC,-0.06936416,HAYC,0.059356966
HAYL,0.502890173,HAYL,0.324814509
HDFC,1.07947976,HDFC,0.20032976
HEXP,1.76445086,HEXP,0.652926628
HHL,0.968208092,HHL,0.963726298
HNB,0.628612716,HNB,0.945589447
HOPL,0.868497109,HOPL,0.020610057
HPFL,0.553468208,HPFL,-0.10634789
HPWR,0.832369942,HPWR,0.8573784
HSIG,0.686416184,HSIG,0.605111294
HUEJ,1.33526011,HUEJ,0.67518549
HUNA,5.67774566,HUNA,5.38664468
HUNT,0.39017341,HUNT,0.215169002
HVA,4.30491329,HVA,2.19785655
IDL,2.46242774,IDL,2.68837592
INDO,0,INDO,0
JINS,0.683526011,JINS,0.430338004
JKH,1.89450867,JKH,1.55976916
JKL,0.169075144,JKL,-0.09233305
KAHA,0.936416184,KAHA,1.215169
KAPI,1.80924855,KAPI,0.862324814
KCAB,1.68208092,KCAB,0.957131079
KDL,1.79624277,KDL,0.526793075
KFP,1.13728323,KFP,0.833470733
KGAL,0.778901734,KGAL,0.354492992
KHC,1.43352601,KHC,1.43281121
KHL,0.843930635,KHL,0.25721352
KOTA,0.89884393,KOTA,0.837592745
KVAL,0.625722543,KVAL,-0.26628194
KZOO,7.10260115,KZOO,1.19291014
LALU,1.04479768,LALU,0.897774113
LAMB,-0.04046242,LAMB,0.639736191
LCEM,8.68786127,LCEM,5.67353668
LCEY,3.97254335,LCEY,2.95465787
LDEV,0.528901734,LDEV,4.53091508
LFIN,0.939306358,LFIN,0.660346248
LGL,1.29479768,LGL,0.708985985
LHCL,1.85693641,LHCL,1.26545754
LHL,0.400289017,LHL,0.052761747
