Beta Values for the Period from 01st Octomber to 29th December 2017,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,-2.0543933,AAF,-1.118451
AAIC,0.60041841,AAIC,-0.24210868
ABAN,-0.21652719,ABAN,-0.18288317
ABL,0.061715481,ABL,-0.07972665
ACAP,4.3169456,ACAP,1.93068662
ACL,1.04811715,ACL,0.500488122
ACME,0.271966527,ACME,0.074194598
AEL,0.408995815,AEL,0.354702245
AFSL,1.333682,AFSL,-0.05271721
AGAL,-1.0564853,AGAL,-1.1080377
AGST,0.461297071,AGST,0.149040026
AHPL,1.25732217,AHPL,0.229417507
AHUN,1.53138075,AHUN,0.164985356
AINS,0.490585774,AINS,0.346566872
AINV,-2.8912133,AINV,-2.9118125
ALHP,0.747907949,ALHP,-0.10250569
ALLI,2.08682008,ALLI,1.09892613
ALUF,-0.05334728,ALUF,0.052066384
ALUM,0.235355648,ALUM,0.106736088
AMCL,0,AMCL,0
AMF,0,AMF,0
AMSL,1.52301255,AMSL,0.676863
APLA,2.17259414,APLA,1.56231695
ARPI,0.217573221,ARPI,-0.21900423
ASCO,0.634937238,ASCO,-0.37227465
ASHO,0.007322175,ASHO,0.061503416
ASIR,0.05125523,ASIR,-0.60104132
ASIY,1.95083682,ASIY,1.12691181
ASPH,0.742677824,ASPH,-0.04783599
ASPM,0,ASPM,0
ATL,1.71548117,ATL,1.8669053
ATLL,-1.1537656,ATLL,-1.1366742
AUTO,0.360878661,AUTO,0.430198503
BALA,4.40376569,BALA,1.12918971
BBH,0.523012552,BBH,0.037097299
BERU,0.876569037,BERU,1.06475756
BFL,0.180962343,BFL,-0.0676863
BFN,4.11820083,BFN,2.52521965
BIL,0.796025104,BIL,0.014969085
BLI,2.13702928,BLI,0.519362186
BLUE,-2.5334728,BLUE,-0.82167263
BOGA,1.43096234,BOGA,0.88057273
BOPL,1.97698744,BOPL,0.954116498
BPPL,0.908995815,BPPL,0.018223234
BREW,0.414225941,BREW,-0.66417181
