Beta Values for the Period from 01st January to 31st  March 2018,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,2.54210028,AAF,1.96622369
AAIC,1.15894039,AAIC,1.29955703
ABAN,-2.2715231,ABAN,-1.7192691
ABL,0.193945127,ABL,-0.213732
ACAP,4.45695364,ACAP,2.61018826
ACL,0.703878902,ACL,0.585825027
ACME,2.42289498,ACME,1.04263565
AEL,1.25638599,AEL,0.978959025
AFSL,1.22516556,AFSL,1.18770764
AGAL,1.71617786,AGAL,2.05703211
AGST,1.26490066,AGST,0.705980066
AHPL,1.54020813,AHPL,1.24086378
AHUN,1.45033112,AHUN,0.739202657
AINS,-0.86660359,AINS,-1.0592469
ALHP,-2.8514664,ALHP,-3.2065337
ALLI,0.665089877,ALLI,0.644518272
ALUF,1.26490066,ALUF,0.671650055
ALUM,-0.08987701,ALUM,-0.10188261
AMCL,0,AMCL,0
AMF,-0.76064333,AMF,-0.6688815
AMSL,-0.1333964,AMSL,0.22812846
APLA,1.21192052,APLA,0.636766334
ARPI,0.125827814,ARPI,-0.06090808
ASCO,-1.2071901,ASCO,-0.69545957
ASHO,0.98013245,ASHO,0.119047619
ASIR,0.742667928,ASIR,0.822259136
ASIY,0.592242194,ASIY,0.362126245
ASPH,-0.18732261,ASPH,0.696566998
ASPM,0,ASPM,0
ATL,-0.36045411,ATL,-0.98449612
ATLL,1.38221381,ATLL,0.746400885
AUTO,0.074739829,AUTO,0.19047619
BALA,2.95458845,BALA,1.73754152
BBH,-1.8609271,BBH,-1.4623477
BERU,5.01608325,BERU,4.23754152
BFL,0.311258278,BFL,0.094130675
BFN,2.82876064,BFN,2.27297895
BIL,0.108798486,BIL,-1.4435215
BLI,0.62346263,BLI,0.858803986
BLUE,2.02081362,BLUE,1.95791805
BOGA,0.833491012,BOGA,0.368770764
BOPL,0.267738883,BOPL,-0.95293466
BPPL,-0.42194891,BPPL,-0.37375415
BREW,1.86754966,BREW,0.681063122
BRR,-0.78429517,BRR,-1.6661129
BRWN,1.35288552,BRWN,0.732004429
BUKI,2.29328287,BUKI,-0.44739756
CABO,0.424787133,CABO,0.168327796
CALF,1.35572374,CALF,-0.78737541
CARE,0.436140018,CARE,1.48062015
CARG,0.903500473,CARG,0.469545957
CARS,2.41438032,CARS,0.61461794
CCS,0.701986754,CCS,0.65337763
CDB,1.12109744,CDB,0.962347729
CERA,-1.2242194,CERA,-0.69933554
CFI,1.4257332,CFI,0.374307862
CFIN,0.560075685,CFIN,0.451827242
CFLB,0.620624408,CFLB,-0.43964562
CFT,2.5846736,CFT,1.50442967
CFVF,1.33396404,CFVF,0.676079734
CHL,-0.51655629,CHL,0.287375415
CHMX,1.54966887,CHMX,1.74418604
CHOT,0.319772942,CHOT,-0.33056478
CHOU,3.94039735,CHOU,1.18715393
CIC,-0.10785241,CIC,-0.31561461
CIND,1.49006622,CIND,1.12015503
CINS,1.27152317,CINS,0.292358803
CINV,2.44938505,CINV,1.39534883
CIT,0.021759697,CIT,0.929678848
CITH,-0.51182592,CITH,-0.49058693
CITW,3.33964049,CITW,1.66943521
CLC,1.61210974,CLC,1.06090808
CLND,4.25922421,CLND,2.97452934
COCO,2.83443708,COCO,1.41140642
COCR,0.177861873,COCR,0.100221483
COLO,-0.25070955,COLO,-0.29180509
COMB,0.761589403,COMB,0.916943521
COMD,-0.1333964,COMD,-0.01550387
CONN,0.655629139,CONN,-0.24972314
CPRT,-1.5052034,CPRT,-1.7065337
CRL,0.929990539,CRL,0.248062015
CSD,1.54304635,CSD,0.655038759
CSEC,3.73131504,CSEC,2.30232558
CSF,2.16367076,CSF,0.986157253
CTBL,2.487228,CTBL,1.71040974
CTC,1.23746452,CTC,0.657807308
CTCE,1.75496688,CTCE,-0.05813953
CTEA,-0.43897824,CTEA,-0.09856035
CTHR,1.13434247,CTHR,0.143964562
CTLD,3.04257332,CTLD,2.91196013
CWM,-0.86281929,CWM,-0.42414174
DFCC,1.24124881,DFCC,0.991140642
DIAL,0.543992431,DIAL,0.549280177
DIMO,-0.34058656,DIMO,-0.09468438
DIPD,-0.2885525,DIPD,-0.90974529
DIST,0,DIST,0
DOCK,0.160832544,DOCK,0.008305647
DPL,1.2346263,DPL,0.557585825
EAST,2.53358561,EAST,-0.1184939
EBCR,0.000946073,EBCR,0
ECL,3.16083254,ECL,1.91085271
EDEN,1.09176915,EDEN,-0.11184939
ELPL,0.966887417,ELPL,0.155592469
EMER,4.52601702,EMER,2.1184939
ETWO,1.73699148,ETWO,1.50941306
EXPO,0.910122989,EXPO,-0.07364341
FLCH,1.02554399,FLCH,0.700442967
GEST,-0.04541154,GEST,-0.02325581
GHLL,1.48155156,GHLL,0.580287929
GLAS,0.291390728,GLAS,0.431893687
GOOD,0,GOOD,0
GRAN,0.578051087,GRAN,0.335548172
GREG,1.31125827,GREG,0.300664451
GSF,0.545884578,GSF,-0.78073089
GUAR,2.15042573,GUAR,0.911406423
HAPU,0.238410596,HAPU,0.083056478
HARI,0.000946073,HARI,-0.0005537
HASU,-0.31504257,HASU,-0.30232558
HAYC,0.170293282,HAYC,-0.26356589
HAYL,0.440870387,HAYL,-0.00830564
HDFC,1.7038789,HDFC,1.54761904
HEXP,0.073793755,HEXP,-0.05426356
HHL,1.45316934,HHL,1.1910299
HNB,0.439924314,HNB,0.548726467
HOPL,0.924314096,HOPL,0.222037652
HPFL,1.30274361,HPFL,0.469545957
HPL,0.350993377,HPL,0.726467331
HPWR,2.5269631,HPWR,1.36046511
HSIG,0.473036896,HSIG,1.78405315
HUEJ,-0.44654683,HUEJ,-0.01439645
HUNA,2.87890255,HUNA,2.07807308
HUNT,2.02932828,HUNT,0.794019933
HVA,3.41059602,HVA,1.64950166
IDL,0.640491958,IDL,-0.45348837
INDO,0,INDO,0
JETS,1.4039735,JETS,1.19933554
JINS,5.15326395,JINS,1.78626799
JKH,2.16083254,JKH,1.97065337
JKL,2.73415326,JKL,1.80177187
KAHA,0.781456953,KAHA,0.083610188
KAPI,3.90917691,KAPI,1.92857142
KCAB,0.546830652,KCAB,0.703765227
KDL,-0.5231788,KDL,-0.35714285
KFP,-0.01702932,KFP,-0.40365448
KGAL,0.194891201,KGAL,0.017165005
KHC,0.360454115,KHC,-0.16500553
KHL,1.1731315,KHL,0.388704318
KOTA,4.15799432,KOTA,2.01052048
KVAL,1.49006622,KVAL,0.668327796
KZOO,1.34153263,KZOO,0.782945736
LALU,0.016083254,LALU,-0.29844961
LAMB,0.896877956,LAMB,0.551495016
LCEM,5.77010406,LCEM,2.9667774
LCEY,2.76631977,LCEY,0.646179401
LDEV,2.10501419,LDEV,1.05537098
LFIN,0.784295175,LFIN,0.554263565
LGL,1.42194891,LGL,0.502214839
LHCL,1.85998107,LHCL,0.684385382
LHL,-4.6461684,LHL,-3.8754152
LIOC,2.21475875,LIOC,1.1517165
LION,0.690633869,LION,0.253599114
LITE,0.540208136,LITE,0.658361018
LLMP,1.01229895,LLMP,-0.09080841
LLUB,0.543046357,LLUB,0.286821705
LMF,0.83065279,LMF,1.06035437
LOFC,1.34247871,LOFC,0.952380952
LOLC,1.0719016,LOLC,0.758028792
LPRT,-0.01040681,LPRT,0.012181616
LVEF,0.263954588,LVEF,-0.1124031
LVEN,-0.26206244,LVEN,0.001661129
LWL,2.10312204,LWL,1.25526024
