Beta Values for the Period from 01st April to 30th June 2018,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,3.55735805,AAF,3.33010492
AAIC,3.76129779,AAIC,3.14205004
ABAN,1.77056778,ABAN,1.88619854
ABL,0.508690614,ABL,0.538337368
ACAP,1.40672074,ACAP,1.05730427
ACL,0.993047508,ACL,1.54802259
ACME,-0.0764774,ACME,0.1937046
AEL,1.31402085,AEL,1.11380145
AFSL,0.41599073,AFSL,0.101694915
AGAL,-1.2560834,AGAL,-0.75544794
AGST,1.30938586,AGST,0.129943502
AHPL,0.601390498,AHPL,0.183212267
AHUN,1.37659327,AHUN,1.48022598
AINS,0.144843568,AINS,0.397901533
AINV,-15.794901,AINV,-7.6981436
ALHP,3.55156431,ALHP,1.07183212
ALLI,-0.13093858,ALLI,0.163841807
ALUF,-0.72653534,ALUF,-1.1694915
ALUM,1.19235225,ALUM,0.844229217
AMSL,0.443800695,AMSL,0.406779661
APLA,2.1575898,APLA,1.65617433
ARPI,-0.56662804,ARPI,-0.26876513
ASCO,0.288528389,ASCO,1.40435835
ASHO,0.032444959,ASHO,0.152542372
ASIR,0.090382387,ASIR,-0.06860371
ASIY,0.610660486,ASIY,0.560936238
ATL,2.62340672,ATL,0.589991928
ATLL,0.509849362,ATLL,0.17756255
AUTO,-0.89918887,AUTO,-1.4826472
BALA,1.68018539,BALA,1.52865213
BBH,3.46118192,BBH,2.77320419
BERU,5.80533024,BERU,3.24697336
BFL,-0.22479721,BFL,-0.04196933
BFN,2.38933951,BFN,2.08232445
BIL,0.830822711,BIL,0.227602905
BLI,-0.4322132,BLI,-0.72800645
BLUE,-1.1019698,BLUE,-3.8765133
BOGA,-0.1147161,BOGA,0.069410815
BOPL,-2.9571263,BOPL,-1.716707
BPPL,1.49594438,BPPL,0.909604519
BREW,0.232908458,BREW,-0.02340597
BRR,0.22363847,BRR,0.518159806
BRWN,1.48203939,BRWN,0.385794995
BUKI,0.424101969,BUKI,0.547215496
CABO,-0.54461181,CABO,-0.0968523
CALF,4.04866743,CALF,4.46811945
CARE,-1.1622247,CARE,-1.0460048
CARG,0.944380069,CARG,0.27118644
CARS,0.966396292,CARS,0.744955609
CCS,0.761297798,CCS,0.284907183
CDB,0.378910776,CDB,0.320419693
CERA,0.068366164,CERA,0.471347861
CFI,0.13557358,CFI,0.30992736
CFIN,0.758980301,CFIN,0.385794995
CFLB,0.304750869,CFLB,-0.29943502
CFT,0.662804171,CFT,0.060532687
CFVF,0.574739281,CFVF,0.699757869
CHL,0.568945538,CHL,0.866828087
CHMX,-0.10196987,CHMX,-0.40597255
CHOT,2.20625724,CHOT,1.0968523
CHOU,-0.63151796,CHOU,-0.95238095
CIC,0.470451911,CIC,0.657788539
CIND,2.12746234,CIND,2.69087974
CINS,1.88064889,CINS,0.503631961
CINV,1.69177288,CINV,1.12025827
CIT,-0.37427578,CIT,-0.51977401
CITH,1.12282734,CITH,0.620661824
CITW,1.80648899,CITW,1.65536723
CLC,0.337195828,CLC,-0.10815173
CLND,0.962920046,CLND,1.10815173
COCO,-0.18887601,COCO,0.082324455
COCR,1.30822711,COCR,1.07425343
COLO,-0.3198146,COLO,-0.84422921
COMB,0.340672074,COMB,0.485068603
COMD,1.40672074,COMD,1.39790153
CONN,-0.90150637,CONN,-1.2469733
CPRT,1.40787949,CPRT,1.41646489
CRL,0.673232908,CRL,0.111380145
CSD,0.873696407,CSD,0.973365617
CSEC,1.4750869,CSEC,1.82405165
CSF,4.47392815,CSF,1.18563357
CTBL,-0.34530706,CTBL,0.076674737
CTC,1.17381228,CTC,0.698143664
CTCE,2.04634994,CTCE,1.76432606
CTEA,-0.45538818,CTEA,-0.2606941
CTHR,0.206257242,CTHR,0.0645682
CTLD,-0.04287369,CTLD,-0.29539951
CWM,1.10081112,CWM,1.60694108
DFCC,0.434530706,DFCC,0.406779661
DIAL,0.56778679,DIAL,0.150121065
DIMO,0.47161066,DIMO,0.824051654
DIPD,0.821552723,DIPD,0.497982243
DIST,-3.2665121,DIST,0.088781275
DOCK,-0.00115874,DOCK,-0.35431799
DPL,1.10544611,DPL,1.62389023
EAST,-0.53070683,EAST,-0.81033091
EBCR,-0.6732329,EBCR,-0.47699757
ECL,0.099652375,ECL,-0.27522195
EDEN,1.89687137,EDEN,1.18079096
ELPL,1.06720741,ELPL,1.54398708
EMER,1.44959443,EMER,1.14850686
ETWO,-1.3371958,ETWO,-2.2058111
EXPO,0.531865585,EXPO,1.06860371
FLCH,2.02201622,FLCH,0.590799031
GEST,-0.1170336,GEST,-0.23728813
GHLL,1.59791425,GHLL,1.20016142
GLAS,0.658169177,GLAS,0.944309927
GRAN,0.228273464,GRAN,0.30347054
