Beta Values for the Period from 01st July to 30th September 2018,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,2.08272251,AAF,1.49260958
AAIC,1.40052356,AAIC,0.834607543
ABAN,1.06492146,ABAN,0.527522935
ABL,-0.4104712,ABL,-0.20591233
ACAP,3.22565445,ACAP,1.50050968
ACL,0.583769633,ACL,0.534658511
ACME,3.35602094,ACME,1.07976554
AEL,2.03141361,AEL,1.41284403
AFSL,1.05549738,AFSL,0.479357798
AGAL,-0.48534031,AGAL,-0.53109072
AGST,2.93350785,AGST,1.19393476
AHPL,2.0235602,AHPL,0.467635066
AHUN,1.16073298,AHUN,0.64296636
AINS,0.713612565,AINS,0.263761467
AINV,-7.8937172,AINV,-5.8751274
ALHP,3.34031413,ALHP,0.564220183
ALLI,0.896858638,ALLI,0.569062181
ALUF,2.00890052,ALUF,1.61213047
ALUM,0.555497382,ALUM,0.398827726
AMCL,0,AMCL,0
AMF,0,AMF,0
AMSL,0.530366492,AMSL,0.43756371
APLA,1.58167539,APLA,1.19597349
ARPI,0.389005235,ARPI,0.112640163
ASCO,2.13298429,ASCO,1.3216106
ASHO,0.064397905,ASHO,-0.02624872
ASIR,1.25968586,ASIR,0.882517838
ASIY,1.38010471,ASIY,0.036952089
ASPH,-0.34973821,ASPH,-0.13124362
ASPM,0,ASPM,0
ATL,0.812565445,ATL,3.65494393
ATLL,4.6,ATLL,4.6304791
AUTO,0.617801047,AUTO,0.271661569
BALA,1.59162303,BALA,1.74668705
BBH,-0.42879581,BBH,-0.56829765
BERU,3.1513089,BERU,1.82110091
BFL,0.12617801,BFL,0.541284403
BFN,4.59685863,BFN,2.60524974
BIL,2.38848167,BIL,1.16819571
BLI,-1.0518324,BLI,-1.2693679
BLUE,-1.4712041,BLUE,-1.8909276
BOGA,2.01099476,BOGA,1.7196738
BOPL,0.328795811,BOPL,0.202599388
BPPL,-0.05549738,BPPL,-0.16437308
BREW,0.059685863,BREW,0.006116207
BRR,0.006282722,BRR,0.501783893
BRWN,0.355497382,BRWN,0.426605504
BUKI,-0.22513089,BUKI,-0.19036697
CABO,0.179057591,CABO,-0.44317023
CALF,2.29319371,CALF,1.82900101
CARE,-1.5638743,CARE,-1.0542813
CARG,-0.04712041,CARG,-0.0970948
CARS,0.293717277,CARS,0.104485219
CCS,0.442408376,CCS,-0.37895005
CDB,1.06282722,CDB,0.395769622
CERA,-0.1513089,CERA,-0.16946992
CFI,0.504712041,CFI,0.808103975
CFIN,1.04136125,CFIN,0.599643221
CFLB,3.7209424,CFLB,1.90621814
CFT,4.31937172,CFT,0.998980632
CFVF,1.66230366,CFVF,0.73470948
CHL,0.309947643,CHL,0.258154943
CHMX,1.36020942,CHMX,1.04255861
CHOT,-0.78691099,CHOT,-0.38379204
CHOU,-0.8183246,CHOU,-0.49006116
CIC,0.346073298,CIC,0.701070336
CIND,1.47748691,CIND,0.926350662
CINS,0.765445026,CINS,1.15316004
CINV,2.98900523,CINV,1.80479102
CIT,-1.0204188,CIT,-0.96636085
CITH,3.58219895,CITH,1.35040774
CITW,1.61780104,CITW,0.559633027
CLC,3.87172774,CLC,2.11365953
CLND,1.88376963,CLND,1.04714576
COCO,1.89790575,COCO,0.935524974
COCR,0.686910994,COCR,0.783639143
COLO,0.956020942,COLO,0.591488277
COMB,0.754450261,COMB,0.782619775
COMD,-0.39528795,COMD,-0.36493374
CONN,0.314136125,CONN,-0.05912334
CPRT,-0.04450261,CPRT,1.05861365
CRL,-0.0748691,CRL,0.448521916
CSD,1.42931937,CSD,0.744138634
CSEC,1.71884816,CSEC,1.29485219
CSF,6.76649214,CSF,2.69648318
CTBL,1.36335078,CTBL,0.616972477
CTC,0.95078534,CTC,0.166156982
CTCE,3.93193717,CTCE,0.145005096
CTEA,0.20209424,CTEA,0.209989806
CTHR,0.160732984,CTHR,0.141437308
CTLD,-0.46649214,CTLD,-0.18960244
CWM,2.8643979,CWM,2.08154943
DFCC,1.77643979,DFCC,1.16743119
DIAL,1.02565445,DIAL,0.738277268
DIMO,0.103141361,DIMO,0.067278287
DIPD,0.402617801,DIPD,0.255606523
DIST,1.97068062,DIST,0.713557594
DOCK,1.26282722,DOCK,0.92099898
DPL,2.64188481,DPL,1.30351681
EAST,1.14240837,EAST,0.816768603
EBCR,-0.01884816,EBCR,0.119011213
ECL,2.42408376,ECL,1.43297655
EDEN,3.55026178,EDEN,2.0588685
ELPL,-0.72460732,ELPL,-0.41513761
EMER,1.66649214,EMER,0.942150866
ETWO,0.584293193,ETWO,0.253567787
EXPO,-0.26544502,EXPO,0.082059123
FLCH,1.26492146,FLCH,0.277268093
GEST,0.290052356,GEST,0.19393476
GHLL,2.47382198,GHLL,1.23776758
GLAS,0.937696335,GLAS,0.510193679
GOOD,0.487958115,GOOD,0.309378185
GRAN,0.885863874,GRAN,0.407747196
GREG,2.68010471,GREG,1.25331294
GSF,1.1670157,GSF,0.74362895
GUAR,1.0670157,GUAR,0.42991845
HAPU,0.918324607,HAPU,0.406727828
HARI,0.053926701,HARI,0.117737003
HASU,1.52303664,HASU,1.09021406
HAYC,-0.46806282,HAYC,-0.37742099
HAYL,0.188481675,HAYL,0.13277268
HDFC,1.87015706,HDFC,1.24209989
HEXP,1.26020942,HEXP,1.07262996
HHL,0.773298429,HHL,0.573139653
HNB,0.999476439,HNB,0.783129459
HOPL,0.617277486,HOPL,-0.01936799
HPFL,-0.28743455,HPFL,0.110856269
HPL,1.63821989,HPL,1.08460754
HPWR,-0.57329842,HPWR,-0.69495412
HSIG,1.34450261,HSIG,0.9617737
HUEJ,2.12251308,HUEJ,1.13914373
HUNA,2.0617801,HUNA,1.24133537
HUNT,-2.0314136,HUNT,-1.0792558
HVA,2.6643979,HVA,1.69546381
IDL,1.02774869,IDL,0.713302752
INDO,0,INDO,0
JETS,0.370680628,JETS,0.263251783
JINS,2.6,JINS,1.73012232
JKH,2.03193717,JKH,1.78542303
JKL,0.97748691,JKL,0.175586136
KAHA,0.636649214,KAHA,-0.04153924
