Beta Values for the Period from 01st October to 31st December 2018,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.513633834,AAF,0.202931596
AAIC,-0.05620478,AAIC,0.000217155
ABAN,-0.16471897,ABAN,0.001737242
ABL,0.284641068,ABL,0.294679695
ACAP,2.84696716,ACAP,1.66145494
ACL,1.33416805,ACL,0.684690553
ACME,4.30884808,ACME,2.58968512
AEL,4.04312743,AEL,2.36644951
AFSL,1.54451864,AFSL,0.809337676
AGAL,0.011407902,AGAL,0.017046688
AGST,0.786588759,AGST,0.256026058
AHPL,0.863661658,AHPL,0.497719869
AHUN,2.52810239,AHUN,1.38740499
AINS,1.286867,AINS,0.733876221
ALHP,2.07011686,ALHP,0.917372421
ALLI,1.43683917,ALLI,0.899022801
ALUF,3.41875347,ALUF,1.73800217
ALUM,2.59738452,ALUM,1.42920738
AMCL,0,AMCL,0
AMF,0,AMF,0
AMSL,1.01558152,AMSL,0.589576547
APLA,1.57456872,APLA,0.988382193
ARPI,0.767111853,ARPI,0.36188925
ASCO,2.28213689,ASCO,1.36134636
ASHO,0.002782415,ASHO,0.002931596
ASIR,0.142737896,ASIR,0.052985884
ASIY,0.303283249,ASIY,0.159283387
ASPH,-0.37423483,ASPH,-0.21172638
ASPM,0,ASPM,0
ATL,3.22426265,ATL,1.94408251
ATLL,1.80829159,ATLL,0.87383279
AUTO,0.539788536,AUTO,0.093376764
BALA,1.29215358,BALA,0.593376764
BBH,1.58375069,BBH,1.03213897
BERU,2.86227045,BERU,1.21324647
BFL,1.21368948,BFL,0.715743756
BFN,2.06065664,BFN,1.42345276
BIL,4.41847523,BIL,2.3868621
BLI,0.215915414,BLI,0.417915309
BLUE,1.66249304,BLUE,0.693811074
BOGA,1.77490261,BOGA,1.05559174
BOPL,0.149693934,BOPL,0.165798045
BPPL,1.23177518,BPPL,0.748534201
BREW,0.039510294,BREW,-0.01737242
BRR,1.07289927,BRR,0.75320304
BRWN,1.80077907,BRWN,1.03713355
BUKI,0.401502504,BUKI,0.170358306
CABO,1.8539232,CABO,1.0766558
CALF,0.208959376,CALF,-0.04712269
CARE,-0.7621035,CARE,-0.11422366
CARG,0.257095158,CARG,0.187730727
CARS,2.32554257,CARS,1.30836047
CCS,0.208402893,CCS,0.157111834
CDB,0.789371174,CDB,0.409446254
CERA,-0.44351697,CERA,-0.08143322
CFI,1.34891485,CFI,0.833876221
CFIN,0.976071229,CFIN,0.604994571
CFLB,1.81469115,CFLB,1.07991313
CFVF,2.31914301,CFVF,1.39142236
CHL,-0.04451864,CHL,-0.09652551
CHMX,0.17473567,CHMX,0.491965255
CHOT,1.05787423,CHOT,0.810423452
CHOU,3.99860879,CHOU,2.16069489
CIC,2.27601558,CIC,1.38360477
CIND,1.71730662,CIND,1.07296416
CINS,0.059821925,CINS,0.019869706
CINV,3.01892042,CINV,1.67535287
CIT,0.03311074,CIT,0.047882736
CITH,3.87145242,CITH,2.25841476
CITW,4.4752365,CITW,2.13116178
CLC,0.76293823,CLC,0.889359391
CLND,2.60378408,CLND,1.14799131
COCO,2.21257651,COCO,1.70912052
COCR,1.2687813,COCR,0.738219326
COLO,0.183361157,COLO,-0.0261672
COMB,1.40205898,COMB,0.977415852
COMD,0.157206455,COMD,0.022584147
CONN,0.354479688,CONN,0.219761129
CPRT,0.522537562,CPRT,0.370466883
CRL,2.61268781,CRL,1.13626492
CSD,2.35141903,CSD,1.35570032
CSEC,0.565386755,CSEC,0.166883821
CSF,3.59181969,CSF,1.43018458
CTBL,0.974680022,CTBL,0.599022801
CTC,0.289649415,CTC,0.029750271
CTCE,-0.16277128,CTCE,-0.60673181
CTEA,0.442960489,CTEA,-0.04429967
CTHR,-0.03867557,CTHR,-0.09891422
CTLD,0.380912632,CTLD,0.163083604
CWM,-0.69699499,CWM,-0.5519001
DFCC,2.14579855,DFCC,1.4732899
DIAL,0.809126321,DIAL,0.473181324
DIMO,0.239287701,DIMO,0.073941368
DIPD,0.622148024,DIPD,0.152551574
DIST,1.83416805,DIST,1.00998914
DOCK,1.05370061,DOCK,0.471226927
DPL,1.83472454,DPL,1.13669923
EAST,1.89593767,EAST,1.15722041
EBCR,0.045909849,EBCR,0.042019543
ECL,2.32804674,ECL,1.35418023
EDEN,1.60072342,EDEN,1.3228013
ELPL,0.890372843,ELPL,0.334744842
EMER,1.97996661,EMER,0.997176981
ETWO,1.30328324,ETWO,1.45906623
EXPO,0.897328881,EXPO,0.567643865
FLCH,2.29243183,FLCH,1.38208469
GEST,-0.46215915,GEST,-0.24668838
GHLL,2.01085141,GHLL,1.1247557
GLAS,0.782136894,GLAS,0.456351791
GOOD,0,GOOD,0
GRAN,2.0703951,GRAN,1.34147665
GREG,0.918196994,GREG,0.613246471
GSF,0.941569282,GSF,0.41509229
GUAR,2.40845854,GUAR,1.32888165
HAPU,0.656649972,HAPU,0.502605863
HARI,0.08458542,HARI,0.072638436
HASU,0.829994435,HASU,0.468186753
HAYC,-0.10767946,HAYC,-0.02247557
HAYL,1.4243183,HAYL,0.756243213
HDFC,3.85920979,HDFC,2.5941368
HEXP,1.28992765,HEXP,0.908469055
HHL,1.80690038,HHL,1.11824104
HNB,1.37145242,HNB,0.926710097
HOPL,1.67417918,HOPL,0.635939196
HPFL,1.06900389,HPFL,0.578935939
HPL,1.32804674,HPL,0.656243213
HPWR,0.107401224,HPWR,0.22062975
HSIG,-0.04841402,HSIG,-0.16807817
HUNA,-0.06399554,HUNA,-0.31813246
HUNT,-0.30578742,HUNT,-0.50466883
HVA,5.46243739,HVA,3.00597176
IDL,1.35420144,IDL,0.676872964
INDO,0,INDO,0
JETS,0.76293823,JETS,0.394245385
JINS,1.61853088,JINS,1.23995656
JKH,1.52114635,JKH,1.07079261
JKL,0.750695603,JKL,0.27611292
KAHA,-0.17751808,KAHA,-0.09424538
KAPI,7.91124095,KAPI,5.01129207
KCAB,0.580690038,KCAB,0.14082519
KDL,0.637729549,KDL,0.070684039
KFP,0.755147468,KFP,0.461780673
KGAL,0.736505286,KGAL,0.432356134
KHC,1.68196994,KHC,0.637459283
KHL,0.905397885,KHL,0.451465798
KOTA,1.79660545,KOTA,1.2990228
KVAL,-0.22175848,KVAL,-0.11465798
KZOO,0.887312186,KZOO,0.453420195
LALU,0.907345575,LALU,0.56145494
LAMB,-0.06844741,LAMB,-0.02421281
LCEY,0.829994435,LCEY,0.629967426
LDEV,3.95659432,LDEV,2.38599348
LFIN,1.49610461,LFIN,0.757003257
LGL,2.30996104,LGL,1.37600434
LHCL,0.74095715,LHCL,0.399131378
LHL,-0.26099053,LHL,-0.21824104
LIOC,0.646355036,LIOC,0.366449511
LION,-0.5261547,LION,-0.37480998
LITE,1.70589872,LITE,1.23040173
LLUB,1.34446299,LLUB,0.830401737
LMF,0.486366165,LMF,0.225515743
LOFC,1.16388425,LOFC,0.77567861
LOLC,2.647468,LOLC,1.50173724
LPRT,-0.35002782,LPRT,-0.29630836
