Beta Values 2019 (January to March),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,5.78974804,AAF,0.383508914
AAIC,2.97654213,AAIC,0.777350081
ABAN,-0.07558644,ABAN,-0.00486223
ABL,-0.8575152,ABL,-0.51134521
ACAP,2.56820156,ACAP,1.11750405
ACL,-0.17289313,ACL,-0.10149918
ACME,3.7419635,ACME,1.87864667
AEL,0.941789748,AEL,0.382901134
AFSL,0.897480451,AFSL,0.201985413
AGAL,1.45786272,AGAL,0.585899513
AGST,0.469157254,AGST,-0.35940032
AHPL,2.58905299,AHPL,1.08650729
AHUN,3.97827975,AHUN,1.5980551
AINS,0.970460469,AINS,0.233184764
ALHP,-0.32406602,ALHP,-1.362034
ALLI,0.848827106,ALLI,0.328808752
ALUF,0.483927019,ALUF,0.076985413
ALUM,2.00260642,ALUM,0.592990275
AMCL,0,AMCL,0
AMF,1.91833188,AMF,0.42200162
AMSL,1.21112076,AMSL,0.610210696
APLA,-0.41963509,APLA,-0.05267423
ARPI,0.992180712,ARPI,0.244529983
ASCO,2.76107732,ASCO,1.41612641
ASHO,-0.26324934,ASHO,0.059764991
ASIR,-0.3310165,ASIR,0.159440842
ASIY,0.166811468,ASIY,-0.07536466
ASPH,0.039096437,ASPH,0.011345218
ASPM,0,ASPM,0
ATL,3.64813205,ATL,1.69165316
ATLL,-0.62119895,ATLL,-0.02025931
AUTO,-1.2901824,AUTO,-1.337115
BALA,3.06168549,BALA,1.54254457
BBH,0.800173761,BBH,0.112439222
BERU,-0.68375325,BERU,-0.26965153
BFL,0.355343179,BFL,0.05145867
BFN,1.82363162,BFN,-0.11709886
BIL,0.881841876,BIL,0.427471636
BLI,0.814074717,BLI,0.353119935
BLUE,2.5716768,BLUE,0.622771474
BOGA,0.010425716,BOGA,-0.01154781
BOPL,1.9018245,BOPL,0.756482982
BPPL,-1.8618592,BPPL,-0.54517828
BREW,-0.14248479,BREW,0.050648298
BRR,-2.168549,BRR,-0.6158833
BRWN,1.59600347,BRWN,0.64343598
BUKI,0.205907906,BUKI,0.283427876
CABO,0.90008688,CABO,0.335089141
CALF,1.09383145,CALF,0.077593192
CARE,0.221546481,CARE,0.17767423
CARG,0.649869678,CARG,0.0089141
CARS,0.470894874,CARS,0.34582658
CCS,0.324934839,CCS,-0.10818476
CDB,-0.36576889,CDB,-0.04254457
CERA,0.38575152,CERA,0.080834683
CFI,0,CFI,0
CFIN,0.830582102,CFIN,0.580226904
CFLB,2.57428323,CFLB,0.923824959
CFVF,3.15812337,CFVF,1.25425445
CHL,0.119895742,CHL,0.108589951
CHMX,4.88184187,CHMX,1.45239059
CHOT,3.28410078,CHOT,1.03200972
CIC,-0.11989574,CIC,-0.57151539
CIND,1.02780191,CIND,-0.05166126
CINS,0.562988705,CINS,0.06219611
CINV,0.437011294,CINV,0.014586709
CIT,0,CIT,0
CITH,2.89921807,CITH,1.50749594
CITW,1.87141615,CITW,0.736426256
CLC,0.542137271,CLC,-0.35332252
CLND,1.08688097,CLND,0.556320907
COCO,-0.40573414,COCO,0.499594813
COCR,0.250217202,COCR,0.026944894
COLO,0.41876629,COLO,0.088128038
COMB,1.39704604,COMB,0.743517017
COMD,-0.03735881,COMD,0.098865478
CONN,-0.05560382,CONN,-0.63168557
CPRT,2.53084274,CPRT,1.19124797
CRL,-1.3814074,CRL,-0.87115072
CSD,0.009556907,CSD,0.022487844
CSEC,-0.30668983,CSEC,-0.4791329
CSF,-3.2980017,CSF,-1.1594408
CTBL,0.205907906,CTBL,-0.26600486
CTC,0.658557775,CTC,0.147487844
CTEA,-0.00434404,CTEA,0
CTHR,-0.02519548,CTHR,-0.00830632
CTLD,2.20677671,CTLD,0.596029173
CWM,0.945264986,CWM,0.127228525
DFCC,-0.4465682,DFCC,0.040113452
DIAL,0.639443961,DIAL,0.420178282
DIMO,0.599478714,DIMO,0.257901134
DIPD,0.814943527,DIPD,0.239059967
DIST,2.01303214,DIST,0.748987034
DOCK,0.294526498,DOCK,0.033833063
DPL,1.62728062,DPL,0.698743922
EAST,-1.2076455,EAST,-1.4987844
EBCR,0,EBCR,0
