Beta Values 2019 (April to June),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.053163338,AAF,-0.15604108
AAIC,1.65912917,AAIC,1.29447252
ABAN,0.265576136,ABAN,0.255339964
ABL,2.21650228,ABL,1.76960704
ACAP,1.13928313,ACAP,0.940812
ACL,1.42242001,ACL,0.945540518
ACME,0.971133028,ACME,0.945540518
AEL,1.3759923,AEL,1.14544268
AFSL,0.317055568,AFSL,0.707647154
AGAL,0.16406062,AGAL,0.128322191
AGST,1.77411594,AGST,1.6274254
AHPL,2.32908347,AHPL,1.56334583
AHUN,3.69569401,AHUN,3.05755747
AINS,0.771710368,AINS,0.601010924
ALHP,2.53187394,ALHP,1.99706505
ALLI,0.703151311,ALLI,0.692320234
ALUF,1.05677171,ALUF,0.960215229
ALUM,1.24585037,ALUM,0.956301972
AMCL,0,AMCL,0
AMF,0.010584556,AMF,0.01467471
AMSL,0.927832571,AMSL,0.611283221
APLA,-0.07986528,APLA,0.033425729
ARPI,0.023093577,ARPI,0.068155878
ASCO,1.29299975,ASCO,1.17544431
ASHO,-0.08082751,ASHO,-0.04011087
ASIR,0.832571566,ASIR,0.613402902
ASIY,1.3880202,ASIY,1.12881134
ASPH,-0.23021409,ASPH,-0.18587966
ASPM,0,ASPM,0
ATL,1.90979071,ATL,1.14870373
ATLL,0.001443348,ATLL,-0.4987771
AUTO,0.171758479,AUTO,-0.22436001
BALA,2.68462833,BALA,1.94244252
BBH,1.13278806,BBH,0.961193543
BERU,4.99302381,BERU,3.27082993
BFL,1.55015636,BFL,1.19778248
BFN,1.71782535,BFN,1.32871351
BIL,3.69785903,BIL,2.73047448
BLI,1.64229011,BLI,1.49779879
BLUE,1.06110175,BLUE,0.790151638
BOGA,1.29805147,BOGA,1.09489646
BOPL,3.04089487,BOPL,2.20136963
BPPL,0.191243685,BPPL,0.355127996
BREW,0.313687755,BREW,0.086906897
BRR,0.675006013,BRR,0.322843632
BRWN,1.39331248,BRWN,0.901027229
BUKI,0.139283136,BUKI,0.085439426
CABO,0.127976906,CABO,0.009457035
CALF,3.00962232,CALF,2.45442687
CARE,-0.0045706,CARE,0.028534159
CARG,1.25258599,CARG,0.930213598
CARS,0.423863363,CARS,0.09620088
CCS,0.451046427,CCS,0.172672427
CDB,0.163579504,CDB,0.122126202
CERA,0.414962713,CERA,0.080058698
CFI,0.713014192,CFI,0.501548997
CFIN,0.405099831,CFIN,0.199576063
CFLB,0.697137358,CFLB,0.741562041
CFVF,2.68751503,CFVF,2.24669819
CHL,1.07601635,CHL,0.998206424
CHMX,4.24705316,CHMX,3.56905266
CHOT,0.477026701,CHOT,0.465677482
CIC,0.866971373,CIC,0.557475949
CIND,1.70050517,CIND,1.29903799
CINS,0.37623286,CINS,0.3205609
CINV,-0.0327159,CINV,-0.028045
CIT,0.039692085,CIT,0.039132561
CITH,1.10584556,CITH,0.85928583
CITW,1.78229492,CITW,1.58666231
CLC,2.89800336,CLC,1.82422957
CLND,1.44166466,CLND,1.03636067
COCO,0.97089247,COCO,0.188651557
COCR,0.975703632,COCR,0.708136311
COLO,1.27880683,COLO,1.13370291
COMB,0.690882848,COMB,0.598075982
COMD,-0.28794803,COMD,-0.03195825
CONN,0.633630021,CONN,0.756725909
CPRT,0.338465239,CPRT,0.346160117
CRL,3.853019,CRL,3.04695907
CSD,1.04570603,CSD,0.943094733
CSEC,2.61390425,CSEC,2.64373063
CSF,5.54390185,CSF,3.25387249
CTBL,1.16887178,CTBL,0.760639165
CTC,1.45248977,CTC,1.08054785
CTEA,0.14890546,CTEA,0.00978314
CTHR,3.91532355,CTHR,2.85162237
CTLD,-0.05677171,CTLD,-0.1710419
CWM,0.024055809,CWM,0.196641121
DFCC,0.178734664,DFCC,0.314854068
DIAL,0.736829444,DIAL,0.51638676
DIMO,-0.02140967,DIMO,0.023153432
DIPD,0.247053163,DIPD,0.1498451
DIST,1.74645176,DIST,1.22664275
DOCK,-0.19749819,DOCK,-0.202511
DPL,1.13928313,DPL,1.13680091
