Beta Values 2019 (July to September),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.436579841,AAF,0.302979856
AAIC,2.29501698,AAIC,1.22482104
ABAN,1.25764439,ABAN,0.497919094
ABL,1.71432616,ABL,0.534543033
ACAP,2.23754246,ACAP,1.04836024
ACL,1.41421291,ACL,0.751956051
ACME,2.35419026,ACME,1.08173797
AEL,2.77236693,AEL,1.51856167
AFSL,1.36834654,AFSL,0.727318128
AGAL,0.766704416,AGAL,0.8205427
AGST,0.445639864,AGST,0.101215248
AHPL,0.738674971,AHPL,0.431829532
AHUN,0.921291053,AHUN,0.473114699
AINS,1.4603624,AINS,0.5921425
ALHP,1.47395243,ALHP,0.655651739
ALLI,1.46092865,ALLI,0.743882137
ALUF,1.44790486,ALUF,0.79981688
ALUM,2.53765571,ALUM,1.46104544
AMF,-0.13420158,AMF,-0.03795571
AMSL,0.806342015,AMSL,0.18561678
APLA,1.23867497,APLA,0.792075911
ARPI,-0.33493771,ARPI,-0.20367904
ASCO,0.685164212,ASCO,0.019726985
ASHO,-1.2924688,ASHO,-0.78250374
ASIR,0.009909399,ASIR,0.10912269
ASIY,1.4416761,ASIY,0.756700516
ASPH,-2.3400339,ASPH,-1.4153487
ATL,0.497168742,ATL,-0.08614949
ATLL,1.66676104,ATLL,1.09821874
AUTO,0.073612684,AUTO,0.121774596
BALA,1.31823329,BALA,0.674130181
BBH,0.411381653,BBH,0.109039453
BERU,1.55011325,BERU,0.835192275
BFL,1.27406568,BFL,0.511320126
BFN,1.5232163,BFN,0.76785417
BIL,1.93742921,BIL,0.443232894
BLI,1.9637599,BLI,1.25095721
BLUE,2.28793884,BLUE,1.02638588
BOGA,1.54926387,BOGA,0.751789578
BOPL,0.764156285,BOPL,0.456051273
BPPL,0.369762174,BPPL,-0.18778092
BREW,-0.01953567,BREW,-0.00374563
BRR,-0.46659116,BRR,-0.19668719
BRWN,2.74263873,BRWN,1.084568
BUKI,-0.0419026,BUKI,-0.15590144
CABO,-0.03878822,CABO,0.010071583
CALF,2.35673839,CALF,1.18877975
