Beta Values 2019 (October to December),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.883506805,AAF,0.580728605
AAIC,-0.4111289,AAIC,-0.01401164
ABAN,2.04243394,ABAN,1.70877344
ABL,0.664931945,ABL,0.648415606
ACAP,-0.05284227,ACAP,0.441905583
ACL,2.58246597,ACL,1.71394697
ACME,1.02441953,ACME,1.05733994
AEL,3.11849479,AEL,2.46173744
AFSL,1.6661329,AFSL,0.924552705
AGAL,0.855884707,AGAL,0.852554429
AGST,0.811849479,AGST,0.294244449
AHPL,0.819855884,AHPL,0.388876913
AHUN,1.1601281,AHUN,0.77042466
AINS,0.895916733,AINS,0.584608751
ALHP,1.97718174,ALHP,0.69174391
ALLI,1.74659727,ALLI,1.15693037
ALUF,2.20416333,ALUF,1.505928
ALUM,2.15412329,ALUM,1.46324638
AMCL,0,AMCL,0
AMF,0.176941553,AMF,0.036645828
AMSL,0.987990392,AMSL,0.794352231
APLA,1.7530024,APLA,1.13257167
ARPI,-0.10968775,ARPI,-0.0700582
ASCO,0.447958366,ASCO,0.519508514
ASHO,-0.21857485,ASHO,-0.16555292
ASIR,1.63530824,ASIR,1.00582021
ASIY,2.38911128,ASIY,2.32075878
ASPH,-0.18895116,ASPH,0.023496443
ASPM,0,ASPM,0
ATL,0.576861489,ATL,0.427247251
ATLL,0.368694955,ATLL,0.151756844
AUTO,-0.49959967,AUTO,0.114679887
BALA,0.597277822,BALA,0.683121362
BBH,0.905124099,BBH,0.408924337
BERU,3.59287429,BERU,1.69519292
BFL,0.599679743,BFL,0.225479629
BFN,0.533626901,BFN,0.248760508
BIL,1.11248999,BIL,0.608751886
BLI,-1.0012009,BLI,-0.06251347
BLUE,0.805444355,BLUE,-0.27980168
BOGA,1.9111289,BOGA,1.47725802
BOPL,0.42313851,BOPL,0.527699935
BPPL,1.10968775,BPPL,1
BREW,0.00040032,BREW,0.000215563
BRR,-0.01120896,BRR,0.049795214
BRWN,0.800640512,BRWN,0.256951929
BUKI,0.488791032,BUKI,0.030178917
CABO,0.650520416,CABO,0.734425522
CALF,0.237389911,CALF,0.359129122
CARE,0.150120096,CARE,0.049148523
CARG,0.5,CARG,0.426816124
CARS,0.527221777,CARS,0.21621039
CCS,1.10968775,CCS,0.577495149
CDB,0.413530824,CDB,0.315800819
CERA,0.17253803,CERA,0.310411726
CFI,0.305444355,CFI,0.268161241
CFIN,0.62530024,CFIN,0.388445785
CFLB,1.53682946,CFLB,0.824531148
CFVF,0.419535628,CFVF,0.399870661
CHL,0.319055244,CHL,-0.09463246
CHMX,1.14531625,CHMX,0.511317094
CHOT,1.40992794,CHOT,0.953869368
CIC,1.1977582,CIC,0.726449665
CIND,2.09447558,CIND,1.19379176
CINS,-0.17093674,CINS,-0.50916145
CINV,2.28702962,CINV,1.43392972
CIT,-0.80184147,CIT,-0.40310411
CITH,5.28742994,CITH,4.20112093
CITW,6.11329063,CITW,4.67557663
CLC,2.02562049,CLC,0.757059711
CLND,3.693755,CLND,2.48588057
COCO,1.46236989,COCO,1.28174175
COCR,1.24579663,COCR,0.838111661
COLO,1.58606885,COLO,0.579650786
COMB,0.583666933,COMB,0.502910109
COMD,-0.03522818,COMD,-0.13192498
CONN,2.12209767,CONN,1.72774304
CRL,0.863490792,CRL,0.817201983
CSD,0.961569255,CSD,0.854063375
CSF,4.09087269,CSF,2.37012287
CTBL,1.16693354,CTBL,0.598189264
CTC,0.849879903,CTC,0.247467126
CTEA,0.184547638,CTEA,0.126967018
CTHR,0.103282626,CTHR,0.097219228
CTLD,1.56565252,CTLD,1.02931666
CWM,1.7313851,CWM,0.538046992
DFCC,1.57966373,DFCC,1.22375511
DIAL,0.947558046,DIAL,0.793489976
DIMO,0.170136108,DIMO,0.067687001
DIPD,1.14091273,DIPD,0.749946109
DIST,2.07766212,DIST,1.12222461
DOCK,1.29343474,DOCK,0.692606165
DPL,2.26701361,DPL,1.72644966
EAST,0.155324259,EAST,0.328734641
EBCR,-1.5568454,EBCR,-1.1114464
ECL,1.47878302,ECL,1.62772149
EDEN,1.32065652,EDEN,0.338866134
ELPL,0.491192954,ELPL,0.375080836
EMER,2.04323458,EMER,1.6555292
ETWO,2.14611689,ETWO,1.10174606
EXPO,0.533626901,EXPO,0.633541711
GEST,-0.37349879,GEST,-0.19896529
GHLL,1.46397117,GHLL,1.09247682
GLAS,1.15132105,GLAS,0.666738521
GOOD,0.104883907,GOOD,-0.01164043
GRAN,0.799839871,GRAN,0.460228497
GREG,1.54723779,GREG,1.31924983
GSF,0.508807045,GSF,0.386074585
GUAR,2.51721377,GUAR,1.86548825
HAPU,-0.99919935,HAPU,-1.2563052
HARI,-0.05044035,HARI,-0.05324423
HASU,0.42313851,HASU,0.392541496
HAYC,1.17654123,HAYC,0.799525759
HAYL,1.17974379,HAYL,0.531795645
HDFC,0.764611689,HDFC,0.597758137
HEXP,0.120496397,HEXP,0.242940288
HHL,0.666533226,HHL,0.646044406
HNB,1.10968775,HNB,1.14378098
HOPL,1.37990392,HOPL,0.735718904
HPFL,-0.22097678,HPFL,-0.50916145
HPL,0.791833466,HPL,0.815693037
HPWR,0.39071257,HPWR,0.763742185
HSIG,1.32666132,HSIG,0.533735718
HUNA,1.11329063,HUNA,0.729898685
HUNT,1.00960768,HUNT,1.12653589
HVA,2.23979183,HVA,1.76137098
IDL,2.37269815,IDL,1.69648631
INDO,0,INDO,0
JETS,0.925540432,JETS,0.356542358
JINS,0.310648518,JINS,0.254580728
JKH,1.24339471,JKH,0.936193145
JKL,0.536028823,JKL,0.359344686
KAHA,0.900720576,KAHA,0.659840482
KCAB,1.74539631,KCAB,1.57102823
KDL,0.339471577,KDL,0.288208665
KFP,-0.05804643,KFP,-0.10691959
KGAL,0.544035228,KGAL,0.216425953
KHC,1.29543634,KHC,0.748437163
KHL,2.01321056,KHL,0.828626859
KOTA,-0.28142514,KOTA,-0.60056046
KVAL,1.21577261,KVAL,0.739167924
KZOO,1.03682946,KZOO,1.19185169
LALU,1.78542834,LALU,1.10002155
LAMB,0.024019215,LAMB,0.3461953
LCEY,2.32145716,LCEY,1.84220737
LDEV,0.494795836,LDEV,0.726880793
LFIN,0.655724579,LFIN,0.423367104
LGL,1.56004803,LGL,0.836171588
LHCL,0.951961569,LHCL,0.617589997
LHL,0.137710168,LHL,-0.01918516
LIOC,0.848278622,LIOC,0.356542358
LION,0.706565252,LION,0.378529855
LITE,0.826661329,LITE,0.512179348
LLUB,1.94395516,LLUB,1.28087949
LMF,0.513210568,LMF,0.467773226
LOFC,0.699759807,LOFC,0.499676654
LOLC,2.81505204,LOLC,0.579219659
LPL,0.796236989,LPL,0.282819573
LPRT,0,LPRT,0
LVEF,0.507606084,LVEF,0.349644319
LVEN,0.879903923,LVEN,0.366673852
LWL,1.51881505,LWL,1.07286053
MADU,1.67934347,MADU,1.43867212
MAL,-0.09047237,MAL,0.195085147
MARA,3.19815852,MARA,2.88682905
MASK,0.890312249,MASK,0.333477042
MBSL,1.8478783,MBSL,1.17740892
MCPL,0.817854283,MCPL,0.551843069
MEL,0.993594875,MEL,0.832291442
MELS,0.843074459,MELS,0.612200905
MERC,0,MERC,0
MFL,0.069655724,MFL,-0.72256951
MGT,1.03322658,MGT,0.678163397
MHDL,0.712570056,MHDL,0.787238629
MRH,0.602481985,MRH,0.844363009
MSL,2.48919135,MSL,2.09571028
MULL,3.86228983,MULL,3.24186247
NAMU,0.039231385,NAMU,0.140763095
NDB,1.4427542,NDB,1.14334985
NEH,-0.22778222,NEH,-0.19012718
NEST,0.606485188,NEST,0.395990515
NHL,0.146517213,NHL,0.287561974
NIFL,1.84147317,NIFL,1.11899116
NTB,0.557245796,NTB,0.520801896
ODEL,1.18334667,ODEL,0.58396206
ONAL,1.67413931,ONAL,2.15326579
OSEA,1.1661329,OSEA,0.732916576
PABC,1.31064851,PABC,1.00301789
PALM,2.73058446,PALM,2.47768915
PAP,0.192954363,PAP,0.285621901
