Beta Values 2021 (March to June),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.60751541,AAF,0.469051818
AAIC,0.291488857,AAIC,0.348702443
ABAN,0.722024656,ABAN,0.53371966
ABL,0.480796586,ABL,0.315108759
ACAP,0.914295874,ACAP,0.665070966
ACL,1.94855381,ACL,1.68909045
ACME,0.175794215,ACME,0.10909549
AEL,1.12292555,AEL,0.988662131
AFSL,0.951635846,AFSL,0.702947845
AGAL,0.711474632,AGAL,0.57361216
AGST,1.73553816,AGST,1.48215335
AHPL,0.350403034,AHPL,0.363315696
AHUN,1.06045519,AHUN,0.959939531
AINS,0.536865813,AINS,0.324011085
ALHP,1.33036984,ALHP,1.36398757
ALLI,0.653153153,ALLI,0.787519946
ALUF,1.45637743,ALUF,1.16469303
ALUM,1.35858226,ALUM,1.24968505
AMCL,0,AMCL,0
AMF,0.161925082,AMF,-0.02317964
AMSL,0.88063063,AMSL,0.811875367
APLA,1.29231863,APLA,1.10607205
ASCO,1.08582266,ASCO,0.570672713
ASHO,0.198790896,ASHO,-8.398e-05
ASIR,0.287339971,ASIR,0.152263374
ASIY,0.779279279,ASIY,0.816074577
ASPH,0.014224751,ASPH,0.498530276
ASPM,0,ASPM,0
ATL,0.324679943,ATL,0.0702108
ATLL,0.071360834,ATLL,-0.06651549
AUTO,0.193456614,AUTO,-0.24842529
BALA,0.963015647,BALA,0.616864029
BBH,-0.55156472,BBH,-0.55320399
BERU,-0.94570886,BERU,-0.8893088
BFL,0.880393551,BFL,0.890820525
BFN,1.36261261,BFN,0.943730578
BIL,2.0865339,BIL,1.43411438
BLI,-0.04196301,BLI,-0.01847652
BLUE,2.47629208,BLUE,2.14529268
BOGA,-0.42674253,BOGA,-0.5063408
BOPL,0.579777145,BOPL,0.551188376
BPPL,1.37470365,BPPL,1.16838834
BREW,0.026197249,BREW,0.014193331
BRR,0.092697961,BRR,0.075249853
BRWN,2.93966334,BRWN,2.18090199
BUKI,0.596135609,BUKI,-0.28218694
CABO,1.17982456,CABO,0.98664651
CALF,-0.40718349,CALF,-0.83329134
CARE,0.526671408,CARE,0.813219114
CARG,0.259720246,CARG,0.195599227
CARS,0.282598387,CARS,-0.2585034
CCS,0.255215742,CCS,0.038044847
CDB,0.240872451,CDB,-0.09775762
CERA,1.37411095,CERA,0.924750146
CFI,1.42958748,CFI,1.25867136
CFIN,1.31519677,CFIN,1.03376165
CFLB,0.702228544,CFLB,0.790123456
CFVF,0.891773352,CFVF,0.720332577
CHL,1.20827406,CHL,1.01772066
CHMX,1.32432432,CHMX,0.844209288
CHOT,0.074324324,CHOT,-0.01251364
CIC,1.54220009,CIC,1.4834971
CIND,1.80156472,CIND,1.50239355
CINS,0.305239449,CINS,0.144872763
CINV,1.27169274,CINV,0.939447383
CIT,0.136201991,CIT,0.0175527
CITH,-0.09352773,CITH,-0.06181237
CITW,0.81389284,CITW,0.67472915
CLC,1.84459459,CLC,1.13277903
CLND,1.72807017,CLND,1.25682371
COCO,0.844594594,COCO,0.621147224
COCR,0.836533902,COCR,0.691525993
COLO,1.03046467,COLO,0.769211388
COMB,0.852773826,COMB,0.852775678
COMD,0.596135609,COMD,-0.12883177
CONN,0.289118065,CONN,0.115982195
CRL,0.47949265,CRL,0.464936591
CSD,0.850165955,CSD,0.604770303
CSF,3.20969653,CSF,2.71571344
CTBL,0.451754385,CTBL,0.47568657
CTC,0.043622569,CTC,8.3984e-05
CTEA,0.057728781,CTEA,-0.04350382
CTHR,0.227951635,CTHR,0.170907869
CTLD,0.739924134,CTLD,0.490131855
CWL,-0.14438122,CWL,0.754682119
CWM,1.53176861,CWM,1.31334509
DFCC,0.573257467,DFCC,0.559754766
DIAL,0.201398767,DIAL,0.228689006
DIMO,0.561759127,DIMO,0.375073486
DIPD,2.17745376,DIPD,1.96170319
DIST,0.676505452,DIST,0.642143277
DOCK,1.03733997,DOCK,0.66515495
DPL,1.43907064,DPL,1.51347946
EAST,0.68006164,EAST,0.607205845
EBCR,0.855737316,EBCR,0.778869572
ECL,0.905879563,ECL,0.869320567
EDEN,0.684566145,EDEN,0.357520786
ELPL,0.496562351,ELPL,0.590912908
EMER,1.96799431,EMER,1.4819014
EML,0,EML,0
ETWO,-0.21562351,ETWO,-0.27387251
EXPO,2.282954,EXPO,1.96573444
GEST,0.285561877,GEST,0.434030402
GHLL,0.311522048,GHLL,0.173511379
GLAS,0.169037458,GLAS,0.246577643
GOOD,-0.12245139,GOOD,-0.10791971
GRAN,1.12482219,GRAN,1.18837658
GREG,0.381816026,GREG,0.412026539
GSF,0.247392128,GSF,0.132947005
GUAR,0.770388809,GUAR,0.366927017
HAPU,1.60087719,HAPU,1.06895103
HARI,0.000829777,HARI,0.107919711
HASU,0.480085348,HASU,0.472159234
HAYC,1.88300142,HAYC,1.61652809
HAYL,2.19333807,HAYL,1.97396489
HDFC,0.910621147,HDFC,0.657260435
HEXP,1.8871503,HEXP,1.84840849
HHL,0.778449502,HHL,0.711262282
HNB,0.449739212,HNB,0.484336944
HNBF,0.354670459,HNBF,0.432518686
HOPL,-0.1194879,HOPL,-0.13093138
HPFL,0.496325272,HPFL,0.405307802
