Beta Values 2021 (June to September),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.226645091,AAF,0.126514784
AAIC,0.119633225,AAIC,0.135886249
ABAN,0.174649406,ABAN,0.10524048
ABL,0.420388349,ABL,0.63208919
ACAP,0.987216828,ACAP,0.838423008
ACL,1.10717367,ACL,1.0021005
ACME,-0.49185544,ACME,-0.47643668
AEL,0.651024811,AEL,0.589809877
AFSL,0.582362459,AFSL,0.700759411
AGAL,-0.21111111,AGAL,0.100339311
AGST,1.28570658,AGST,1.45386976
AHPL,0.381984897,AHPL,0.242365487
AHUN,0.385382955,AHUN,0.314321107
AINS,0.042233009,AINS,-0.03290784
ALHP,0.567044228,ALHP,0.342166208
ALLI,0.134519956,ALLI,0.081811816
ALUF,0.588888888,ALUF,0.466257338
ALUM,0.695954692,ALUM,0.647492863
AMCL,0,AMCL,0
AMSL,0.253236245,AMSL,0.369365002
APLA,0.811380798,APLA,0.7174557
ASCO,0.48360302,ASCO,0.449345613
ASHO,-0.03446601,ASHO,-0.04723434
ASIR,0.359331175,ASIR,0.376366672
ASIY,1.0360302,ASIY,0.922550762
ASPH,0.753074433,ASPH,0.746162546
ASPM,0,ASPM,0
ATL,-0.37842502,ATL,-0.20094791
ATLL,0.192286947,ATLL,-0.33371034
AUTO,-0.48149946,AUTO,-0.50223514
BALA,1.744822,BALA,1.83847686
BBH,0.198867313,BBH,0.24807454
BERU,1.31483279,BERU,0.657995368
BFL,0.564832793,BFL,0.493887003
BFN,0.020226537,BFN,0.132439273
BIL,2.1881877,BIL,2.13734044
BLI,0.475889967,BLI,0.603059191
BLUE,0.139158576,BLUE,0.636828782
BOGA,1.23117583,BOGA,0.379490493
BOPL,0.280043149,BOPL,0.558840954
BPPL,0.906850053,BPPL,0.54672268
BREW,-0.10237324,BREW,-0.18985296
BRR,0.910841423,BRR,0.982711261
BRWN,1.59282632,BRWN,1.53805138
BUKI,0.641693635,BUKI,0.577476167
CABO,0.438727076,CABO,0.353099585
CALF,0.281175836,CALF,0.175903484
CARE,0.159600862,CARE,0.322884687
CARG,-0.1149946,CARG,-0.12823827
CARS,0.270496224,CARS,0.078257122
CCS,0.024703344,CCS,-0.00587063
CDB,0.252750809,CDB,0.290192276
CERA,0.52750809,CERA,0.580599989
CFI,0.441208198,CFI,0.584370119
CFIN,0.392826321,CFIN,0.31900684
CFLB,0.4697411,CFLB,0.409436096
CFVF,-0.09595469,CFVF,0.000269294
CHL,-0.1062028,CHL,-0.12500673
CHMX,0.372060409,CHMX,0.314859697
CHOT,0.716396979,CHOT,0.592018096
CIC,0.720604099,CIC,0.734582862
CIND,0.301779935,CIND,0.232347713
CINS,0.033063646,CINS,0.174826304
CINV,0.432686084,CINV,0.415683739
CIT,0.06531823,CIT,0.004470296
CITH,0.6394822,CITH,0.498303441
CITW,0.820604099,CITW,0.595626649
CLC,4.22006472,CLC,2.13459363
CLND,1.01380798,CLND,1.04825766
COCO,-0.02081984,COCO,0.011687402
COCR,0.606418554,COCR,0.54241396
COLO,-0.06704422,COLO,0.010825658
COMB,0.263268608,COMB,0.397694834
COMD,0.315048543,COMD,0.433834222
CONN,0.231553398,CONN,0.243065654
CRL,0.144714131,CRL,0.148812409
CSD,0.284304207,CSD,0.284160068
CSF,0.266235167,CSF,0.224699736
CTBL,0.141909385,CTBL,0.138794635
CTC,0.10124056,CTC,0.099046695
CTEA,-0.02961165,CTEA,0.083373727
CTHR,0.041855447,CTHR,-0.01276458
CTLD,0.536407766,CTLD,0.400010771
CWL,2.89859762,CWL,2.17746539
CWM,0.514617044,CWM,0.534388969
DFCC,0.547842502,DFCC,0.723649485
DIAL,0.211704422,DIAL,0.222706953
DIMO,0.066235167,DIMO,0.069478106
DIPD,1.42648327,DIPD,1.34292023
DIST,0.292179072,DIST,0.2684871
DOCK,0.408198489,DOCK,0.233694188
DPL,0.739590075,DPL,0.68417084
EAST,0.385167206,EAST,0.33726504
EBCR,0.581121898,EBCR,0.426024667
ECL,0.976699029,ECL,0.884364733
EDEN,2.0624056,EDEN,2.23671029
ELPL,0.751779935,ELPL,0.900306996
EMER,1.30302049,EMER,0.935853934
EML,5.93543689,EML,3.19276135
ETWO,0.313538295,ETWO,0.132062261
EXPO,3.12772384,EXPO,3.5226477
GEST,0.060355987,GEST,-0.02929929
GHLL,0.640614886,GHLL,0.753002639
GLAS,0.54579288,GLAS,0.558733236
GOOD,0,GOOD,0
GRAN,0.478856526,GRAN,0.464049119
GREG,1.35463861,GREG,1.41266763
GSF,0.083980582,GSF,-0.02412883
GUAR,0.231661272,GUAR,0.09344536
HAPU,-0.39665587,HAPU,-0.36651047
HARI,-0.40345199,HARI,-0.39489416
HASU,0.160355987,HASU,0.243173372
HAYC,0.69557713,HAYC,0.562664943
HAYL,1.8943905,HAYL,2.0149728
HDFC,0.255825242,HDFC,0.408197339
HEXP,1.14163969,HEXP,0.753002639
HHL,0.460248112,HHL,0.551139117
HNB,0.199083063,HNB,0.340550438
HNBF,0.406256742,HNBF,0.289222814
HOPL,0.039212513,HOPL,0.268702536
HPFL,0.191909385,HPFL,0.115527548
HPL,-0.05485436,HPL,-0.01464964
HPWR,0.329989212,HPWR,0.357192869
HSIG,0.803721682,HSIG,0.597996445
HUNA,0.027346278,HUNA,0.001400333
HUNT,0.167583603,HUNT,0.196477621
HVA,0.591855447,HVA,0.536112457
IDL,0.747357065,IDL,0.639414014
INDO,0,INDO,0
JAT,0.580798274,JAT,0.861528518
JETS,0.015264293,JETS,0.051650778
JINS,0.770226537,JINS,0.703021489
JKH,0.272599784,JKH,0.391393332
JKL,0.058360302,JKL,-0.00797113
KAHA,0.272923408,KAHA,0.279905208
KCAB,0.590614886,KCAB,0.585285721
KDL,0.034627831,KDL,0.009263747
KFP,0.163106796,KFP,0.211719717
KGAL,0.475997842,KGAL,0.513222383
KHC,0.550323624,KHC,0.312220606
KHL,0.75566343,KHL,0.497441697
KOTA,1.44234088,KOTA,1.72542683
KVAL,0.404476806,KVAL,0.271503204
KZOO,0.705555555,KZOO,0.551085258
LALU,1.0128371,LALU,0.954219852
LAMB,0.560463861,LAMB,-0.07093229
LCEY,0.013106796,LCEY,0.033177142
LDEV,0.668662351,LDEV,0.632304626
LFIN,0.615803667,LFIN,0.618409005
LGL,0.402966558,LGL,0.241934615
LHCL,0.26531823,LHCL,0.187806323
LHL,0.210194174,LHL,0.021328162
LIOC,0.626159654,LIOC,0.596057521
LION,0.17750809,LION,0.119782409
LITE,0.197087378,LITE,0.195131146
LLUB,0.394498381,LLUB,0.412506059
LMF,0.586299892,LMF,0.470781494
LOFC,2.51030204,LOFC,1.54042117
LOLC,2.04158576,LOLC,1.92152744
LPL,0.29137001,LPL,0.312920773
LPRT,0.246224379,LPRT,0.227769698
LVEF,0.17793959,LVEF,0.157537566
LVEN,0.004314994,LVEN,-0.00026929
LWL,1.24358144,LWL,1.17660365
MADU,0.701348435,MADU,0.700059244
MAL,0.684304207,MAL,0.466311197
MARA,0.673247033,MARA,0.884418592
MASK,1.16947141,MASK,1.35843162
MBSL,0.396062567,MBSL,0.28889966
MCPL,0.845846817,MCPL,0.845424678
MEL,-0.15711974,MEL,-0.48570043
MELS,1.02783171,MELS,0.958151559
MERC,0,MERC,0
MFL,0.64724919,MFL,0.679054236
MGT,1.41396979,MGT,1.38019066
MHDL,0.54180151,MHDL,0.497118543
MRH,0.28592233,MRH,0.176711369
MSL,-1.3136461,MSL,-0.76269725
MULL,0.525782092,MULL,0.7647439
NAMU,0.411812297,NAMU,0.364733128
NDB,0.338025889,NDB,0.43604244
NEH,0.047950377,NEH,0.167824635
NEST,0.442610571,NEST,0.35336888
NHL,1.04379719,NHL,0.710346313
NIFL,1.91105717,NIFL,0.833198685
NTB,0.28737864,NTB,0.40221899
ODEL,-0.01294498,ODEL,-0.14773522
ONAL,-0.30933117,ONAL,-0.39925674
OSEA,0.432847896,OSEA,0.39473259
PABC,0.466558791,PABC,0.608822103
PALM,1.6044768,PALM,1.89185113
PAP,0.170334412,PAP,0.195831313
PARQ,0.750431499,PARQ,0.760704475
PDL,0.433549083,PDL,0.295039586
PEG,0.648435814,PEG,0.762158668
PHAR,0.346871628,PHAR,0.225992352
PINS,0.174002157,PINS,0.132977863
PLC,0.132362459,PLC,0.152905692
PLR,0.599083063,PLR,0.866214251
PMB,0.165048543,PMB,0.204017881
RAL,0.511434735,RAL,0.345559325
RCH,0.310086299,RCH,0.298109549
RCL,1.61181229,RCL,1.57483707
