Beta Values 2021 (September to December),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.494237389,AAF,0.297797594
AAIC,0.077682981,AAIC,0.197270639
ABAN,0.247268372,ABAN,0.614511552
ABL,0.322406825,ABL,0.710714768
ACAP,0.515566531,ACAP,0.19200108
ACL,0.760814249,ACL,1.4435887
ACME,1.03173177,ACME,1.89960816
AEL,0.340293369,AEL,0.553303607
AFSL,0.527391109,AFSL,0.546412646
AGAL,0.056802873,AGAL,0.285637076
AGST,-0.2741356,AGST,-0.34265639
AHPL,0.379733572,AHPL,0.819889204
AHUN,-0.07416554,AHUN,-0.25753276
AINS,0.196003592,AINS,0.7742197
ALLI,0.166292471,ALLI,0.125793811
ALUF,0.889612333,ALUF,0.766382921
ALUM,0.550815746,ALUM,0.832725307
AMCL,0,AMCL,0
AMF,2.43706032,AMF,8.43912984
AMSL,-0.10410118,AMSL,0.32522632
APLA,1.2624607,APLA,0.953654911
ASCO,0.123185151,ASCO,0.363194162
ASHO,0.042134411,ASHO,0.01770031
ASIR,-0.16599311,ASIR,0.476286988
ASIY,0.258643915,ASIY,0.293203621
ASPH,0.348226313,ASPH,1.51371436
ASPM,0,ASPM,0
ATL,0.171381529,ATL,0.567490879
ATLL,0.752507109,ATLL,1.46155924
AUTO,-0.00314324,AUTO,-0.32495608
BALA,-0.16861248,BALA,-0.57965139
BBH,0.521853016,BBH,0.071882178
BERU,0.053509953,BERU,0.378327253
BFL,0.791872474,BFL,1.62950952
BFN,0.895449782,BFN,0.599108228
BIL,0.774135608,BIL,0.619240643
BLUE,-0.45614428,BLUE,0.422510471
BOGA,-0.43316868,BOGA,1.36562626
BOPL,-1.1605298,BOPL,-0.55438454
BPPL,0.651399491,BPPL,0.581002567
BREW,-1.3935788,BREW,-0.06931495
BRR,0.033303397,BRR,0.081610593
BRWN,0.887441999,BRWN,2.05715443
BUKI,0.239036072,BUKI,-0.53357654
CABO,0.462580452,CABO,0.869882448
CALF,0.361323155,CALF,0.282124037
CALT,-0.64758269,CALT,-0.9304148
CARE,0.458464301,CARE,0.699635184
CARG,0.022077533,CARG,-0.03134711
CARS,0.260889088,CARS,0.1617349
CCS,-0.04610088,CCS,-0.06309958
CDB,0.419997006,CDB,0.567355762
CERA,0.289552462,CERA,0.299689231
CFI,0.435563538,CFI,1.01986218
CFIN,0.321209399,CFIN,0.837184164
CFLB,0.78304146,CFLB,1.05783002
CFVF,0.16636731,CFVF,0.444804756
CHL,-0.1472085,CHL,0.384272395
CHMX,0.48675348,CHMX,0.788136738
CHOT,-0.27608142,CHOT,-0.67044993
CIC,0.381829067,CIC,0.662072692
CIND,1.09669211,CIND,1.08269152
CINS,0.066457117,CINS,0.01729496
CINV,0.487950905,CINV,1.44183218
CIT,0.002918724,CIT,0.31833536
CITH,-0.15933243,CITH,-0.04337251
CITW,0.187621613,CITW,0.71193082
CLC,5.1862745,CLC,-0.9087961
CLND,0.194357132,CLND,0.573165788
COCO,0.666966023,COCO,0.552357789
COCR,-0.33857207,COCR,0.317254425
COLO,0.321433917,COLO,2.04053506
COMB,0.049917676,COMB,0.432374003
COMD,0.625205807,COMD,-0.10782326
CONN,-0.29149827,CONN,-0.37319281
COOP,0.768298158,COOP,0.155654641
CRL,0.801002843,CRL,0.395487096
CSD,0.467220475,CSD,0.523442778
CSF,0.060619667,CSF,0.954735846
CTBL,-0.05104026,CTBL,-0.13687339
CTC,0.060993863,CTC,-0.06039724
CTEA,-0.27877563,CTEA,-0.10579651
CTHR,-0.00299356,CTHR,-0.09417646
CTLD,0.475377937,CTLD,0.221591676
CWL,0.677443496,CWL,1.0921497
CWM,0.167789253,CWM,0.12065937
DFCC,0.201766202,DFCC,0.169571679
DIAL,-0.02140398,DIAL,0.03675179
DIMO,0.340068851,DIMO,0.190649912
DIPD,-0.04662475,DIPD,0.419267666
DIST,0.091603053,DIST,0.123361707
DOCK,0.427031881,DOCK,0.878394811
DPL,0.381380032,DPL,0.617889474
EAST,0.221523723,EAST,0.672206458
EBCR,1.14728334,EBCR,2.01337657
ECL,0.296737015,ECL,3.2426699
EDEN,0.399715611,EDEN,0.07782732
ELPL,0.584643017,ELPL,0.266315362
EMER,1.19016614,EMER,2.12457775
EML,1.09519533,EML,1.52371301
ETWO,-0.07439006,ETWO,-0.37359816
EXPO,0.988923813,EXPO,2.0697203
FCT,0.012572968,FCT,-0.05539791
GEST,-0.03397694,GEST,0.090258073
GHLL,0.605747642,GHLL,-0.01905147
GLAS,0.398443346,GLAS,1.11282259
GOOD,0,GOOD,0
GRAN,0.398667864,GRAN,0.392109174
GREG,0.312827421,GREG,0.820159437
GSF,-0.36184702,GSF,-0.60397243
GUAR,0.362370902,GUAR,1.0897176
HAPU,-0.77024397,HAPU,-1.1890285
HARI,0.104400538,HARI,0.182137548
HASU,0.233273462,HASU,0.378597486
HAYC,-0.25984134,HAYC,0.475206053
HAYL,0.491767699,HAYL,1.18524523
HBS,-0.22571471,HBS,-1.0333738
HDFC,-0.24217931,HDFC,-0.11363329
HEXP,1.15244723,HEXP,1.41656532
HHL,0.171606046,HHL,0.211187677
HNB,-0.06084418,HNB,0.563167139
HNBF,-0.12161353,HNBF,0.003242805
HOPL,0.020281395,HOPL,-0.60181056
HPFL,0.471411465,HPFL,-0.26942305
HPL,-0.29628798,HPL,0.295365491
HPWR,0.776081424,HPWR,1.27320632
HSIG,0.244349648,HSIG,0.127820564
HUNA,1.56338871,HUNA,2.29198756
HUNT,0.270243975,HUNT,0.194027834
HVA,0.148780122,HVA,-0.0432374
IDL,0.17961383,IDL,0.120389136
INDO,0,INDO,0
JAT,0.022002694,JAT,0.358194838
JETS,-0.26096392,JETS,-0.43440075
JINS,0.139200718,JINS,0.146466693
JKH,-0.02754078,JKH,0.302121334
JKL,0.284164047,JKL,0.365220916
KAHA,-0.207903,KAHA,-0.4348061
KCAB,1.6286484,KCAB,2.8655587
KDL,0.422616374,KDL,0.314687204
KFP,-0.04168537,KFP,-0.4123767
KGAL,0.166067953,KGAL,-0.29914876
KHC,0.544903457,KHC,0.456154573
KHL,-0.37771291,KHL,0.100256722
KOTA,0.273013022,KOTA,0.094987163
KPHL,0,KPHL,0
KVAL,0.374494836,KVAL,0.021213349
KZOO,1.28281694,KZOO,1.2706391
LALU,0.965948211,LALU,1.40426969
LAMB,-0.02552013,LAMB,-0.20348601
LCBF,0.694057775,LCBF,-0.13025266
LCEY,1.22840892,LCEY,1.61478178
LDEV,0.447313276,LDEV,0.272936089
LFIN,0.330414608,LFIN,0.690447236
LGIL,1.49116898,LGIL,0.519794622
