Beta Values 2022 (June to September),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.033742736,AAF,0.109070116
AAIC,2.58300316,AAIC,1.86219712
ABAN,0.940240359,ABAN,0.797012365
ABL,0.704569466,ABL,0.495925952
ACAP,1.42234548,ACAP,1.09584733
ACL,2.30784469,ACL,1.66274748
ACME,0.550977284,ACME,0.368415409
AEL,1.64520602,AEL,1.10856979
AFS,0,AFS,0
AFSL,0.088417855,AFSL,0.055642913
AGAL,0.756669307,AGAL,0.3865342
AGST,1.95007923,AGST,1.45768708
AHPL,1.07144743,AHPL,0.622114216
AHUN,0.327654516,AHUN,0.119255235
AINS,0.368000528,AINS,0.209849188
ALLI,1.34290808,ALLI,0.88353227
ALUF,0.988510301,ALUF,0.641591022
ALUM,1.33980454,ALUM,0.775641483
AMCL,0,AMCL,0
AMF,0.591785525,AMF,0.464441426
AMSL,0.246038034,AMSL,0.155600028
APLA,1.57593766,APLA,1.15695804
ASCO,0.608557844,ASCO,0.50925595
ASHO,0.222002113,ASHO,0.201522407
ASIR,-0.14414949,ASIR,-0.17489814
ASIY,0.207606973,ASIY,-0.00575369
ASPH,3.05368462,ASPH,2.27346151
ASPM,0,ASPM,0
ATL,1.12737717,ATL,0.804409977
ATLL,1.08960644,ATLL,1.09338145
AUTO,0.959653988,AUTO,0.619612608
BALA,1.48190702,BALA,1.01579586
BBH,0.909469096,BBH,0.690372382
BERU,0.495575805,BERU,0.278357515
BFL,0.775752773,BFL,0.401079265
BFN,0.58901215,BFN,0.515652919
BIL,2.11403856,BIL,1.46504896
BOGA,1.05507131,BOGA,0.670538203
BOPL,0.273903856,BOPL,0.173683081
BPPL,0.591125198,BPPL,0.429740547
BREW,-0.01703645,BREW,-0.02219283
BRR,0.48441627,BRR,0.221999857
BRWN,2.27958267,BRWN,1.60889143
BUKI,0.245311674,BUKI,0.110356657
CABO,0.838681986,CABO,0.648309627
CALF,-0.25950871,CALF,-0.15642198
CALT,0.061938721,CALT,-0.02026302
CARE,1.24009508,CARE,0.691837609
CARG,0.306722134,CARG,0.167035951
CARS,0.791798732,CARS,0.555249803
CCS,0.932712625,CCS,0.535737259
CDB,-0.10050184,CDB,-0.13719533
CERA,0.018423137,CERA,-0.03034093
CFI,0.835446381,CFI,0.579658351
CFIN,0.82606973,CFIN,0.602351511
CFLB,1.50250924,CFLB,1.01926238
CFVF,0.329239302,CFVF,0.073690229
CHL,-0.31061806,CHL,-0.16914445
CHMX,1.22226624,CHMX,0.714995354
CHOT,0.866415742,CHOT,0.473304267
CIC,1.55269413,CIC,1.09037952
CIND,1.22233227,CIND,1.01543849
CINS,0.167393026,CINS,-0.05403473
CINV,0.645272054,CINV,0.438496176
CIT,-0.80777865,CIT,-0.43667357
CITH,0.867670364,CITH,0.408798513
CITW,1.29047807,CITW,0.681545279
CLND,0.458927628,CLND,0.141591022
COCO,-0.06213681,COCO,-0.10628261
COCR,1.19651347,COCR,0.876742191
COLO,1.67776016,COLO,0.936566364
COMB,0.697041732,COMB,0.474840969
COMD,0.59119123,COMD,0.363983989
CONN,1.68812731,CONN,0.923522264
COOP,1.88100898,COOP,1.13876777
CPRT,0.650818806,CPRT,0.39214495
CRL,1.34535129,CRL,0.852619541
CSD,0.98250132,CSD,0.714959616
CSF,0.476360274,CSF,0.478772067
CTBL,0.438259376,CTBL,0.052712458
CTC,0.027469624,CTC,-0.05982417
CTEA,0.424128367,CTEA,0.113072689
CTHR,0.028063919,CTHR,-0.01368737
CTLD,0.849643423,CTLD,0.715459938
CWL,1.09997358,CWL,0.785040383
CWM,0.264791336,CWM,0.078050175
DFCC,0.540147913,DFCC,0.379458223
DIAL,0.334389857,DIAL,0.265241941
DIMO,1.2608954,DIMO,0.756843685
DIPD,1.64441362,DIPD,1.25673647
DIST,0.666138404,DIST,0.423951111
DOCK,0.428222398,DOCK,0.239797012
DPL,0.527403592,DPL,0.360231577
EAST,0.670100369,EAST,0.317918661
EBCR,0.243330692,EBCR,0.194875276
ECL,1.93026941,ECL,1.27942963
EDEN,1.26697041,EDEN,0.616896576
ELPL,0.563127311,ELPL,0.185726538
EMER,1.53433703,EMER,0.788685583
EML,0.455692023,EML,0.286219712
ETWO,0.423930269,ETWO,0.165177614
EXPO,1.71044638,EXPO,1.47405474
EXT,1.07263602,EXT,0.865735115
FCT,0.234680401,FCT,0.146987349
GEST,1.06174062,GEST,0.703845329
GHLL,1.46579503,GHLL,0.884640125
GLAS,1.00581088,GLAS,0.773497248
GOOD,0.394017432,GOOD,0.242584518
GRAN,0.542326994,GRAN,0.199664069
GREG,-0.13054675,GREG,0.037881495
GUAR,0.481576862,GUAR,0.225966692
HAPU,1.83465398,HAPU,1.21081409
HARI,0.11133122,HARI,0.005896647
HASU,0.875594294,HASU,0.720355943
HAYC,0.722266244,HAYC,0.589914945
HAYL,1.85149234,HAYL,1.42952612
HBS,0.088351822,HBS,-0.07333285
HDFC,0.535327522,HDFC,0.411728968
HELA,0.818277865,HELA,0.568544064
HEXP,0.83445589,HEXP,0.615967407
HHL,0.908874801,HHL,0.68583375
HNB,0.408082408,HNB,0.283182045
HNBF,1.08135235,HNBF,0.77203202
HOPL,0.977614896,HOPL,0.609677649
HPFL,0.717049656,HPFL,0.495139732
HPL,1.07494717,HPL,0.450861267
HPWR,0.958531431,HPWR,0.730719748
HSIG,-0.13787638,HSIG,-0.14001858
HUNA,0.570919175,HUNA,0.43231363
HUNT,0.5681458,HUNT,0.326638553
HVA,1.93779714,HVA,1.3640912
IDL,-0.80091125,IDL,-0.4026517
INDO,0,INDO,0
JAT,0.936806656,JAT,0.591594596
JETS,0.42300581,JETS,0.036737902
JINS,0.869057052,JINS,0.581052104
JKH,0.643423137,JKH,0.469230219
JKL,0.303816693,JKL,0.191515974
KAHA,0.770734284,KAHA,0.524658709
KCAB,1.26215002,KCAB,0.936637838
KDL,0.953248811,KDL,0.508148095
KFP,0.162242472,KFP,0.086376956
KGAL,0.129886423,KGAL,0.005789436
KHC,0.381999471,KHC,0.1077121
