Beta Values 2022 (September to December),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.849339948,AAF,0.619544824
AAIC,1.53960308,AAIC,1.04486499
ABAN,0.150394258,ABAN,0.113386083
ABL,0.562771329,ABL,0.429018136
ACAP,0.718392841,ACAP,0.578840035
ACL,2.49508283,ACL,1.8992033
ACME,1.36759103,ACME,1.00285504
AEL,0.977894923,AEL,0.763955733
AFS,0,AFS,0
AFSL,0.371799415,AFSL,0.253990265
AGAL,1.83334809,AGAL,1.39543736
AGST,1.08257287,AGST,0.761236642
AHPL,1.16957561,AHPL,0.851619218
AHUN,0.812173296,AHUN,0.593903798
AINS,0.872242402,AINS,0.552274519
ALLI,1.32829804,ALLI,1.00677053
ALUF,1.24944626,ALUF,0.970552247
ALUM,1.37715956,ALUM,1.02137205
AMCL,0,AMCL,0
AMF,1.20355275,AMF,0.855289991
AMSL,0.976610259,AMSL,0.69793621
APLA,1.59524231,APLA,1.22826766
ASCO,0.732214051,ASCO,0.554341028
ASHO,0.041950916,ASHO,0.023438562
ASIR,0.460219721,ASIR,0.309323762
ASIY,1.39913174,ASIY,1.03779536
ASPH,-0.07296004,ASPH,-0.32544797
ASPM,0,ASPM,0
ATL,0.648755205,ATL,0.451831307
ATLL,0.292637547,ATLL,0.220300731
AUTO,-0.22760698,AUTO,-0.23495663
BALA,1.19969876,BALA,0.897109606
BBH,0.691547798,BBH,0.436468444
BERU,0.919642066,BERU,0.612447997
BFL,1.2196775,BFL,0.88764717
BFN,0.313236466,BFN,0.162166571
BIL,2.28523965,BIL,1.77434265
BOGA,1.2233543,BOGA,0.923185686
BOPL,1.22264552,BOPL,0.970742583
BPPL,0.400239213,BPPL,0.293580226
BREW,-0.15712766,BREW,-0.18894961
BRR,0.462833348,BRR,0.281942518
BRWN,2.17954283,BRWN,1.66226173
BUKI,0.005360148,BUKI,0.036435815
CABO,0.578984672,CABO,0.330287951
CALF,0.089040489,CALF,0.112815074
CALT,1.20023035,CALT,0.904451151
CARE,1.66000708,CARE,1.24384805
CARG,0.065827943,CARG,0.075210049
CARS,0.719101621,CARS,0.539875465
CCS,0.662000531,CCS,0.458085216
CDB,-0.08204128,CDB,-0.11281507
CERA,0.07942766,CERA,0.046278924
CFI,0.237397005,CFI,0.203741468
CFIN,0.285638344,CFIN,0.196345542
CFLB,1.68211216,CFLB,1.32944503
CFVF,1.84087888,CFVF,1.41487886
CHL,0.222468326,CHL,0.168202952
CHMX,0.427615841,CHMX,0.254887565
CHOT,0.985381412,CHOT,0.753188133
CIC,1.08655975,CIC,0.740435598
CIND,1.7691592,CIND,1.35446066
CINS,0.26450784,CINS,0.167414416
CINV,1.32674758,CINV,0.990972618
CIT,0.780366793,CIT,0.584577317
CITH,0.856560644,CITH,0.63322185
CITW,1.44573403,CITW,1.0947875
CLND,0.431602728,CLND,0.276857818
COCO,1.52653495,COCO,1.13677026
COCR,0.735536457,COCR,0.553525301
COLO,0.541197838,COLO,0.381923484
COMB,0.283379108,COMB,0.237866057
COMD,0.814211039,COMD,0.629251978
CONN,1.63542128,CONN,1.21097425
COOP,1.57982634,COOP,1.1315496
CRL,0.941880038,CRL,0.666911384
CSD,0.239124656,CSD,0.167305652
CSF,1.03127491,CSF,0.914593359
CTBL,1.22268982,CTBL,0.897299942
CTC,0.313635155,CTC,0.206025505
CTEA,0.239523345,CTEA,0.182750088
CTHR,0.147426242,CTHR,0.09799603
CTLD,0.316514574,CTLD,0.174293716
CWL,1.13577567,CWL,0.832694347
CWM,0.913927527,CWM,0.634363868
DFCC,0.233986001,DFCC,0.170269461
DIAL,0.385000442,DIAL,0.333333333
DIMO,0.882475414,DIMO,0.619871115
DIPD,1.52400992,DIPD,1.14783696
DIST,0.164259767,DIST,0.11327732
DOCK,0.314786923,DOCK,0.206052695
DPL,1.27930362,DPL,0.8427006
EAST,0.908877469,EAST,0.658590967
EBCR,0.855098786,EBCR,0.685129292
ECL,0.814919819,ECL,0.546727574
EDEN,1.30256046,EDEN,0.946352339
ELPL,1.25582528,ELPL,0.929684313
EMER,1.49503853,EMER,1.04138456
EML,1.31407814,EML,0.992060255
ETWO,0.21666519,ETWO,0.168175762
EXPO,2.77416496,EXPO,2.3166653
EXT,0.994684149,EXT,0.794953367
FCT,1.63032692,FCT,1.27267041
GEST,0.777265881,GEST,0.617016069
GHLL,1.42234428,GHLL,1.13562824
GLAS,0.747187029,GLAS,0.487261059
GOOD,0,GOOD,0
GRAN,1.54965889,GRAN,1.14827201
GREG,0.616062727,GREG,0.454387252
GUAR,0.428324621,GUAR,0.276178046
HAPU,1.72809426,HAPU,1.21812545
HARI,-0.11858775,HARI,-0.10441308
HASU,0.382076725,HASU,0.213203904
HAYC,0.951714361,HAYC,0.67577562
HAYL,1.62253034,HAYL,1.22639149
HBS,0.556082218,HBS,0.430921499
HDFC,0.715912111,HDFC,0.449846371
HELA,0.547311065,HELA,0.443674035
HEXP,0.797466111,HEXP,0.556081246
HHL,0.857092229,HHL,0.669875193
HNB,0.476078674,HNB,0.338091742
HNBF,1.18508018,HNBF,0.943306958
HOPL,1.30264906,HOPL,0.930472849
HPFL,-0.32484273,HPFL,-0.26296326
HPL,1.28608133,HPL,0.983685455
HPWR,1.11721449,HPWR,0.901161051
HSIG,0.541507929,HSIG,0.415613019
HUNT,0.900815097,HUNT,0.623487505
HVA,0.561176574,HVA,0.380156075
INDO,0,INDO,0
JAT,0.704615929,JAT,0.504772004
JETS,-0.26486223,JETS,-0.18383772
JINS,0.513068131,JINS,0.343421159
JKH,0.339062638,JKH,0.299181553
JKL,0.116195623,JKL,0.126410528
KAHA,1.46004252,KAHA,1.15738097
KCAB,2.39288562,KCAB,1.81964271
KDL,0.301541596,KDL,0.30538108
KFP,0.1099052,KFP,0.085977649
KGAL,1.18441569,KGAL,0.895994779
KHC,0.738061486,KHC,0.552356092
KHL,1.01568175,KHL,0.788781031
KOTA,1.90218835,KOTA,1.43271609
KPHL,0.335385842,KPHL,0.267069092
KVAL,1.62315052,KVAL,1.19588329
KZOO,1.0175423,KZOO,0.75397667
LALU,2.02011163,LALU,1.51439758
LAMB,0.010941791,LAMB,0.006063572
LCBF,1.60481084,LCBF,1.1291568
LCEY,1.71334278,LCEY,1.21121896
LDEV,2.39673961,LDEV,1.77812219
LFIN,0.759413484,LFIN,0.578133072
LGIL,1.56830867,LGIL,1.14541697
LGL,0.453663506,LGL,0.298964026
LHCL,0.681270488,LHCL,0.561845718
LHL,0.216443696,LHL,0.240775484
LIOC,2.5565252,LIOC,2.06493188
LION,0.028129706,LION,0.010957935
LITE,0.641711703,LITE,0.436278108
LLUB,0.781917249,LLUB,0.62840906
LMF,0.828120846,LMF,0.5678821
LOFC,2.21533622,LOFC,1.68289963
LOLC,1.83534154,LOLC,1.44938412
LPL,0.119518029,LPL,0.109171493
LPRT,-0.07371312,LPRT,-0.0666721
LUMX,0.328430938,LUMX,0.293308317
LVEF,0.200053158,LVEF,0.148734263
LVEN,0.013555417,LVEN,0.005438181
LWL,1.48294498,LWL,1.08320417
MADU,0.991937627,MADU,0.763004051
MAL,0.266589882,MAL,0.188704897
MARA,1.20470452,MARA,0.871550153
MASK,1.21201382,MASK,0.933327895
MBSL,1.1414902,MBSL,0.809690839
MCPL,0.184548595,MCPL,0.094814693
MDL,0.287011606,MDL,0.168937107
MEL,0.800035439,MEL,0.612964624
MELS,1.06458757,MELS,0.809853984
MERC,0,MERC,0
MGT,1.11752458,MGT,0.847703727
MHDL,1.66027288,MHDL,1.21279604
MRH,0.909852042,MRH,0.698371264
MSL,1.55094356,MSL,1.16746879
MULL,1.54487463,MULL,1.11409304
NAMU,0.751262514,NAMU,0.577888354
NDB,0.854965889,NDB,0.618647524
NEH,0.211437937,NEH,0.135329145
NEST,0.045627713,NEST,0.017021508
NHL,0.458669265,NHL,0.311390271
NIFL,0.127004518,NIFL,0.078418576
NTB,0.543722867,NTB,0.404845419
ODEL,0.045760609,ODEL,-0.00078853
ONAL,0.344112696,ONAL,0.200723278
OSEA,0.564853371,OSEA,0.396579383
PABC,0.523345441,PABC,0.332816706
PACK,1.25653406,PACK,0.994344291
PALM,1.7550279,PALM,1.32199472
PAP,0.543545672,PAP,0.371563749
PARQ,1.23912465,PARQ,0.889360197
PEG,0.080889518,PEG,0.085216303
PHAR,-0.00801807,PHAR,-0.00717839
PINS,0.922388588,PINS,0.610870924
PLC,0.364490121,PLC,0.217255349
PLR,1.24492779,PLR,0.893302879
PMB,0.422920173,PMB,0.303232998
RAL,2.01010011,RAL,1.46915191
RCH,0.584566315,RCH,0.435489572
RCL,1.57566226,RCL,1.16252005
REEF,0.763931957,REEF,0.544769828
REG,0.678568264,REG,0.506838513
RENU,0.307477629,RENU,0.245017266
REXP,0.610481084,REXP,0.400195774
RFL,-0.1134491,RFL,-0.03839356
RGEM,2.35944006,RGEM,1.74802186
RHL,1.2233986,RHL,0.929874649
RHTL,0.470408434,RHTL,0.355684259
RICH,1.81983698,RICH,1.36517388
RIL,1.12634003,RIL,0.783424422
RPBH,0.825374324,RPBH,0.647578649
RWSL,1.39922034,RWSL,1.0729532
SAMP,0.845663152,SAMP,0.660847812
SCAP,1.52578187,SCAP,0.972509992
SDB,0.494905643,SDB,0.359055931
SDF,0.088907592,SDF,-0.01093074
SELI,0,SELI,0
SEMB,1.36719234,SEMB,0.886233243
SERV,0.583104456,SERV,0.432090708
SEYB,0.110746876,SEYB,0.136172064
SFCL,0.072649951,SFCL,0.090572912
SFIN,0.447284486,SFIN,0.309214998
SHAL,0,SHAL,0
SHAW,0.310489944,SHAW,0.174592816
SHOT,1.76689997,SHOT,1.13130489
SIGV,0.264685035,SIGV,0.207521004
SIL,-0.22548064,SIL,-0.13290915
SINH,0.7552937,SINH,0.582918671
SINI,0.804421015,SINI,0.598091198
SINS,0.554133073,SINS,0.388503684
SIRA,0.702666784,SIRA,0.479239742
SLND,-0.01878267,SLND,-0.01218152
SLTL,0.665721626,SLTL,0.473366506
SMOT,0.092451492,SMOT,0.067079968
SOY,-0.00757508,SOY,0.028142589
SPEN,0.886550899,SPEN,0.666748239
STAF,0.826614689,STAF,0.599777034
SUN,1.39279702,SUN,1.02365608
SWAD,0,SWAD,0
TAFL,0.982989279,TAFL,0.723142181
TAJ,0.459023655,TAJ,0.332898278
TANG,0.316780366,TANG,0.23316203
TAP,2.13954106,TAP,1.62316121
TESS,1.73057499,TESS,1.27457378
TILE,1.38313989,TILE,0.999918427
TJL,0.473243554,TJL,0.348804959
TKYO,1.48427394,TKYO,1.10492971
TPL,1.28399929,TPL,0.97813851
TRAN,0.201736511,TRAN,0.146178317
TSML,1.0848321,TSML,0.86127199
TYRE,0.948657747,TYRE,0.658808494
UAL,0.347036413,UAL,0.235799548
UBC,0.580889518,UBC,0.396606574
UCAR,0.286480021,UCAR,0.200614514
UDPL,1.50571453,UDPL,1.04807352
UML,0.056835297,UML,-0.04994969
VFIN,0.863559847,VFIN,0.646926067
VLL,0.328652432,VLL,0.20977785
VONE,1.84003721,VONE,1.34527014
VPEL,0.316603171,VPEL,0.224814422
WAPO,0.977097545,WAPO,0.804986812
WATA,1.0424382,WATA,0.777551186
WIND,0.563125719,WIND,0.390298284
YORK,1.48538141,YORK,1.1689371
