Beta Values 2022  (January to March),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.541894335,AAF,0.472712229
AAIC,2.93029863,AAIC,2.32876455
ABAN,0.868485366,ABAN,0.761513003
ABL,1.10334002,ABL,1.05549658
ACAP,0.587216117,ACAP,0.476864716
ACL,1.85340459,ACL,1.59603796
ACME,1.13674024,ACME,1.02336944
AEL,1.15507957,AEL,1.00455836
AFSL,0.574817699,AFSL,0.484826251
AGAL,1.88257267,AGAL,1.55345155
AGST,1.75089908,AGST,1.34290798
AHPL,0.452065409,AHPL,0.388429236
AHUN,0.792922569,AHUN,0.68639358
AINS,0.11200302,AINS,0.012566736
ALHP,1.12024876,ALHP,0.962814948
ALLI,1.54815315,ALLI,1.19593181
ALUF,0.975938325,ALUF,0.866090105
ALUM,1.1673389,ALUM,1.00410565
AMCL,0,AMCL,0
AMF,1.02529356,AMF,0.832917043
AMSL,0.919867273,AMSL,0.776905304
APLA,1.6744223,APLA,1.35672359
ASCO,1.37854914,ASCO,1.1867214
ASHO,0.131713326,ASHO,0.075681413
ASIR,1.26402273,ASIR,1.09344656
ASIY,1.11170498,ASIY,0.905132848
ASPH,1.73806354,ASPH,1.48688688
ASPM,-0.04850086,ASPM,0.022245465
ATL,0.840529317,ATL,0.788191951
ATLL,1.25343241,ATLL,0.973523993
AUTO,1.17459118,AUTO,0.937462924
BALA,1.58489141,BALA,1.29065846
BBH,0.492558962,BBH,0.400277873
BERU,0.589719644,BERU,0.491133035
BFL,1.15837787,BFL,1.00738393
BFN,0.838721214,BFN,0.725108495
BIL,2.0360627,BIL,1.81479284
BLUE,1.37739672,BLUE,0.931499578
BOGA,1.68223092,BOGA,1.38429236
BOPL,1.02749905,BOPL,0.818679946
BPPL,0.660990681,BPPL,0.555278029
BREW,0.022492002,BREW,-0.02485247
BRR,0.222078722,BRR,0.15490649
BRWN,2.0641181,BRWN,1.74824377
BUKI,0.461741739,BUKI,0.356583096
CABO,0.405154086,CABO,0.321411845
CALF,0.302072363,CALF,0.198772986
CALT,0.715253631,CALT,0.666786349
CARE,0.946114566,CARE,0.854600518
CARG,0.338393371,CARG,0.289019326
CARS,0.555703471,CARS,0.478878516
CCS,-0.70613364,CCS,-1.0558556
CDB,-0.26346639,CDB,-0.29343719
CERA,0.364461841,CERA,0.283493084
CFI,0.862345764,CFI,0.582472134
CFIN,0.902898925,CFIN,0.766524087
CFLB,1.15007252,CFLB,0.966702051
CFVF,0.774781934,CFVF,0.692903306
CHL,0.631007967,CHL,0.500202941
CHMX,0.787836038,CHMX,0.614130943
