Beta Values 2022  (March to June),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.61109046,AAF,0.434529513
AAIC,3.02513076,AAIC,2.17131474
ABAN,0.584950747,ABAN,0.413867135
ABL,1.23893476,ABL,0.86285599
ACAP,0.338422324,ACAP,0.260750848
ACL,1.83465204,ACL,1.36979027
ACME,0.072723893,ACME,0.062109608
AEL,0.866447176,AEL,0.595902105
AFS,0,AFS,0
AFSL,0.034875076,AFSL,0.02273726
AGAL,2.68519501,AGAL,1.98813426
AGST,1.40056554,AGST,0.983775566
AHPL,0.491477046,AHPL,0.371252782
AHUN,1.11502004,AHUN,0.836487683
AINS,0.382364654,AINS,0.227495082
ALLI,1.25562222,ALLI,0.922652968
ALUF,-0.24113851,ALUF,-0.17166055
ALUM,1.18929718,ALUM,0.808923438
AMCL,0,AMCL,0
AMF,0.890953986,AMF,0.594706166
AMSL,0.41490322,AMSL,0.272861537
APLA,2.00460664,APLA,1.48520565
ASCO,1.35659665,ASCO,0.982918236
ASHO,0.019448795,ASHO,0.021159485
ASIR,1.00966465,ASIR,0.686044249
ASIY,0.918222127,ASIY,0.658314301
ASPH,2.11977272,ASPH,1.4474543
ASPM,0,ASPM,0
ATL,0.218676154,ATL,0.117036375
ATLL,-0.40288877,ATLL,-0.25645699
AUTO,0.307583039,AUTO,0.156934648
BALA,1.19520484,BALA,0.778030734
BBH,0.23359796,BBH,0.122706281
BERU,0.884608236,BERU,0.636448779
BFL,0.979130711,BFL,0.708154722
BFN,0.54965085,BFN,0.386310094
BIL,2.80024161,BIL,2.10439976
BOGA,2.60429333,BOGA,1.83789255
BOPL,0.824111196,BOPL,0.51484478
BPPL,1.4431803,BPPL,1.0394588
BREW,0.189841488,BREW,0.18150184
BRR,0.001154979,BRR,-0.02605851
BRWN,2.37893954,BRWN,1.77145306
BUKI,0.401216047,BUKI,0.275476754
CABO,0.312216233,CABO,0.204988364
CALF,0.34636115,CALF,0.16880759
CALT,0.986432307,CALT,0.695316383
CARE,1.44304755,CARE,1.04361577
CARG,0.057191408,CARG,0.035561191
CARS,0.113201285,CARS,0.061439594
CCS,0.624711255,CCS,0.430876854
CDB,0.507102461,CDB,0.348112072
CERA,0.498725539,CERA,0.343414767
CFI,1.04556195,CFI,0.77676275
CFIN,0.931378275,CFIN,0.671318343
CFLB,1.29919284,CFLB,0.977284352
CFVF,0.442835143,CFVF,0.429061331
CHL,0.21680429,CHL,0.124572235
CHMX,-0.46937312,CHMX,-0.3407203
CHOT,1.60287284,CHOT,1.15822424
CIC,0.743541406,CIC,0.509146055
CIND,1.7647293,CIND,1.29379048
CINS,-0.30194089,CINS,-0.37753506
CINV,0.800175238,CINV,0.585772641
CIT,0.062169768,CIT,0.025770336
CITH,0.559209303,CITH,0.412188497
CITW,1.88414358,CITW,1.28085848
CLND,0.078312933,CLND,-0.06478246
COCO,0.859344714,COCO,0.646009092
COCR,1.60685553,COCR,1.14217271
COLO,0.024666117,COLO,-0.11383039
COMB,0.527892095,COMB,0.373284439
COMD,0.623689031,COMD,0.434608762
CONN,0.661245784,CONN,0.485371353
COOP,1.81372965,COOP,1.28319993
CRL,1.20435175,CRL,0.749616362
CSD,0.868942994,CSD,0.650202084
CSF,1.80974696,CSF,1.27129817
CTBL,0.655842604,CTBL,0.436798916
CTC,0.694673817,CTC,0.431525255
CTEA,-0.4530441,CTEA,-0.49117814
CTHR,0.057337439,CTHR,0.036901219
CTLD,1.55485489,CTLD,1.22619107
CWL,0.590420306,CWL,0.378911118
CWM,0.313888962,CWM,0.177870795
DFCC,0.172211454,DFCC,0.079436323
DIAL,0.371319331,DIAL,0.252753903
DIMO,1.09693864,DIMO,0.738355799
DIPD,1.69809892,DIPD,1.25357521
DIST,0.352653798,DIST,0.230600203
DOCK,0.15904203,DOCK,0.124219217
DPL,1.14579295,DPL,0.862330064
EAST,0.690093725,EAST,0.456575146
EBCR,0.844064466,EBCR,0.56297054
ECL,1.44562302,ECL,1.14325338
EDEN,1.472546,EDEN,0.960289042
ELPL,1.38389135,ELPL,0.967234137
EMER,0.234766216,EMER,0.01017269
EML,1.33782492,EML,0.869570542
ETWO,0.049026896,ETWO,0.025280433
EXPO,3.044553,EXPO,2.369992
EXT,0.552531662,EXT,0.487345374
FCT,0.551456336,FCT,0.494427353
GEST,0.277447362,GEST,0.241212365
GHLL,1.07057324,GHLL,0.750084652
GLAS,1.56741364,GLAS,1.16685518
GOOD,0,GOOD,0
GRAN,0.836510633,GRAN,0.644892401
GREG,0.589716698,GREG,0.425768895
GUAR,0.833815681,GUAR,0.55226472
HAPU,0.647983432,HAPU,0.507777209
HARI,0.267981838,HARI,0.171566896
HASU,1.52608661,HASU,1.07806747
HAYC,1.08634468,HAYC,0.814139463
HAYL,1.896012,HAYL,1.43908993
HBS,1.44596819,HBS,1.09722412
HDFC,-0.57415766,HDFC,-0.40285152
HELA,1.23777978,HELA,0.904375265
HEXP,0.859012824,HEXP,0.62407873
HHL,0.814831532,HHL,0.578647435
HNB,0.351445715,HNB,0.268135414
HNBF,1.46333271,HNBF,1.05457374
HOPL,0.585242811,HOPL,0.440401144
HPFL,0.463611502,HPFL,0.317514751
HPL,0.388484719,HPL,0.287551421
HPWR,1.03940206,HPWR,0.766092951
HSIG,-0.39402065,HSIG,-0.43247624
HUNA,0.19493933,HUNA,-0.24420941
HUNT,-0.00511111,HUNT,-0.00851566
HVA,1.11963996,HVA,0.828627623
IDL,0.505681969,IDL,0.458945411
INDO,0,INDO,0
JAT,1.70796272,JAT,1.26273927
JETS,0.985795077,JETS,0.67453153
JINS,0.840798661,JINS,0.577826127
JKH,0.686004832,JKH,0.508440019
JKL,0.446552319,JKL,0.321614086
KAHA,-0.15302817,KAHA,-0.12395265
KCAB,1.98846347,KCAB,1.49369249
KDL,-0.27211055,KDL,-0.31523093
KFP,0.059116374,KFP,0.023349639
KGAL,0.966186973,KGAL,0.678198598
KHC,1.29193107,KHC,0.874628069
KHL,0.875328571,KHL,0.584547884
KOTA,1.01930276,KOTA,0.767490616
KPHL,0.960279319,KPHL,0.638530867
KVAL,2.24225367,KVAL,1.68298956
KZOO,1.97035552,KZOO,1.37835637
LALU,2.01468284,LALU,1.45243258
LAMB,-0.12812309,LAMB,-0.13290779
LCBF,1.16562674,LCBF,0.806120905
LCEY,0.253670711,LCEY,0.123758132
LDEV,1.24010301,LDEV,0.84652349
LFIN,1.00144704,LFIN,0.689754544
LGIL,2.01717866,LGIL,1.45109255
LGL,0.715197939,LGL,0.489838115
LHCL,0.992233757,LHCL,0.709653249
LHL,1.02894087,LHL,0.731763722
LIOC,2.10701484,LIOC,1.55056446
LION,0.226176884,LION,0.145998285
LITE,0.71732204,LITE,0.538936478
LLUB,1.113573,LLUB,0.795948214
LMF,0.935148554,LMF,0.722412339
LOFC,3.08303905,LOFC,2.26275368
LOLC,2.75287417,LOLC,2.08977471
LPL,1.14864721,LPL,0.868821279
LPRT,0.713697793,LPRT,0.474384559
LUMX,-0.11637416,LUMX,-0.08728917
LVEF,0.351525369,LVEF,0.245261269
LVEN,0.738815282,LVEN,0.463772396
LWL,1.76271141,LWL,1.28626182
MADU,1.90404375,MADU,1.46129406
MAL,-0.50739452,MAL,-0.38110847
MARA,1.46345219,MARA,1.1400402
MASK,0.662573347,MASK,0.424378435
MBSL,0.628693943,MBSL,0.429767368
MCPL,-0.24387329,MCPL,-0.23285519
MDL,0.593407322,MDL,0.259475659
MEL,0.945490268,MEL,0.727354596
MELS,1.17343281,MELS,0.854592479
MERC,0,MERC,0
MFL,0.825425483,MFL,0.608517106
MGT,1.94137482,MGT,1.45581147
MHDL,1.09192045,MHDL,0.810249058
MRH,0.074024905,MRH,0.026303466
MSL,0.349149032,MSL,0.251046447
MULL,1.42525821,MULL,1.06174938
NAMU,1.95802246,NAMU,1.42828325
NDB,0.601359424,NDB,0.419666721
NEH,0.004049066,NEH,-0.00258639
NEST,0.354977033,NEST,0.242624438
NHL,1.17057855,NHL,0.860910787
NIFL,0.987268672,NIFL,0.630894144
NTB,0.364880652,NTB,0.221212797
ODEL,0.175211746,ODEL,0.018537063
ONAL,0.028569152,ONAL,0.025957652
OSEA,1.15525847,OSEA,0.87005324
PABC,0.789926453,PABC,0.568986261
PACK,1.81305259,PACK,1.33259367
PALM,0.62672915,PALM,0.451813001
PAP,0.910323128,PAP,0.617155248
PARQ,1.32835939,PARQ,0.931449608
PEG,0.155218649,PEG,0.000525925
PHAR,0.043968881,PHAR,0.004236219
PINS,1.17102992,PINS,0.803051807
PLC,0.799471629,PLC,0.566335021
PLR,1.25562222,PLR,0.859707643
PMB,1.19357194,PMB,0.812136625
RAL,1.58748639,RAL,1.18097591
RCH,-0.15151474,RCH,-0.09116517
RCL,2.11474125,RCL,1.62562768
REEF,1.65385125,REEF,1.20583128
REG,0.573122162,REG,0.388629928
RENU,-0.02085601,RENU,0.003263618
