Beta Values 2023  (January to March),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.401071366,AAF,0.419515943
AAIC,0.580698116,AAIC,0.216288897
ABAN,0.086141351,ABAN,0.103406326
ABL,0.720580611,ABL,0.516327314
ACAP,0.634784862,ACAP,0.517351773
ACL,1.58709175,ACL,1.37578435
ACME,0.926127527,ACME,0.779293123
AEL,0.908329013,AEL,0.779677295
AFS,0.040176257,AFS,0.027916506
AFSL,0.405564195,AFSL,0.31009092
AGAL,1.032141,AGAL,0.918747598
AGST,1.12009676,AGST,0.988474836
AHPL,-0.29652669,AHPL,-0.26597515
AHUN,0.55469155,AHUN,0.363875016
AINS,0.240107136,AINS,0.069535151
ALLI,0.774926559,ALLI,0.453066974
ALUF,0.847762225,ALUF,0.695095402
ALUM,1.07171245,ALUM,0.7584838
AMCL,0,AMCL,0
AMF,0.888543286,AMF,0.635548725
AMSL,0.172887506,AMSL,0.086950954
APLA,1.06091238,APLA,0.868100909
ASCO,0.676343528,ASCO,0.289857856
ASHO,-0.28296181,ASHO,-0.27257011
ASIR,0.534819422,ASIR,0.401972083
ASIY,0.857611888,ASIY,0.728134204
ASPH,0.813288405,ASPH,0.671660904
ASPM,0,ASPM,0
ATL,0.355192673,ATL,0.315789473
ATLL,-0.48919993,ATLL,-0.4870662
AUTO,0.273630551,AUTO,0.213663721
BALA,0.690081216,BALA,0.696119861
BBH,0.927596336,BBH,0.582597003
BERU,0.114567133,BERU,0.331412472
BFL,0.324261275,BFL,0.242348572
BFN,-0.34733022,BFN,-0.19394288
BIL,1.60031104,BIL,1.44986553
BLUE,0,BLUE,0
BOGA,0.447036461,BOGA,0.264886669
BOPL,0.941679626,BOPL,0.793763606
BPPL,0.367029548,BPPL,0.254642079
BREW,0.175825125,BREW,0.080740171
BRR,0.561949196,BRR,0.436739659
BRWN,1.49265595,BRWN,1.2837111
BUKI,0.486348712,BUKI,0.391279293
CABO,0.347762225,CABO,0.215584581
CALF,0.494470364,CALF,0.388205916
CALT,1.90418178,CALT,1.62831348
CARE,0.684810782,CARE,0.649122807
CARG,0.26723691,CARG,0.062620053
CARS,0.339986175,CARS,0.228134204
CCS,-0.19172282,CCS,-0.16186451
CDB,0.454898911,CDB,0.442118068
CERA,0.346379816,CERA,0.245806121
CFI,-0.16346984,CFI,-0.2933154
CFIN,1.50967686,CFIN,0.999743885
CFLB,1.01270088,CFLB,0.810347035
CFVF,1.91126663,CFVF,1.67601485
CHL,-0.20727492,CHL,-0.15155589
CHMX,0.835061344,CHMX,0.441285695
CHOT,0.579229307,CHOT,0.626520681
CIC,0.870571971,CIC,0.746510436
CIND,1.64256091,CIND,1.11569983
CINS,0.025747364,CINS,0.048853886
CINV,1.92552272,CINV,1.51824817
CIT,0.530844997,CIT,0.348508131
CITH,0.634093658,CITH,0.530413625
CITW,0.814498012,CITW,0.670316301
CLND,0.215310177,CLND,0.299270072
COCO,0.723172628,COCO,0.436483544
COCR,1.75885605,COCR,1.38654117
COLO,1.23328149,COLO,0.871238314
COMB,1.62286158,COMB,1.31617364
COMD,0.327630896,COMD,0.309386605
CONN,0.24382236,CONN,0.077154565
CRL,0.271038534,CRL,0.116724292
CSD,0.663469846,CSD,0.597963887
CSF,1.52082253,CSF,1.13087463
CTBL,1.01753931,CTBL,0.981175566
CTC,0.372991187,CTC,0.262453579
CTEA,0.313374805,CTEA,0.233768728
CTHR,0.063158804,CTHR,0.052311435
CTLD,0.465526179,CTLD,0.668523498
CWL,0.838171764,CWL,0.682865923
CWM,0.337998963,CWM,0.281342041
DFCC,2.26205287,DFCC,1.73735433
DIAL,0.599533437,DIAL,0.309194519
DIMO,-0.27795057,DIMO,-0.25553848
DIPD,0.953084499,DIPD,0.819631194
DIST,1.01287368,DIST,0.579587655
DOCK,0.473993433,DOCK,0.32859521
DPL,0.972783825,DPL,0.923869893
EAST,0.348971833,EAST,0.245742092
EBCR,0.382495247,EBCR,0.210654373
ECL,-0.03456022,ECL,-0.02727621
EDEN,0.256782443,EDEN,0.247919067
ELPL,0.38750648,ELPL,0.2419644
EMER,1.17115949,EMER,0.939044692
EML,1.21340936,EML,1.16615443
ETWO,0.21263176,ETWO,0.115635804
EXPO,0.7032141,EXPO,1.05019848
EXT,0.086486953,EXT,-0.0348316
FCT,1.20848453,FCT,1.07395313
GEST,1.23725591,GEST,1.24529389
GHLL,0.407983411,GHLL,0.284671532
GLAS,1.49550717,GLAS,1.11621206
GOOD,-0.05391394,GOOD,-0.04379562
GRAN,0.630637636,GRAN,0.368741196
GREG,0.367029548,GREG,0.24926367
GUAR,0.518316917,GUAR,0.483800742
HAPU,0.78287541,HAPU,0.811435523
HARI,0,HARI,0
HASU,0.56877484,HASU,0.424830323
HAYC,0.435890789,HAYC,0.336534767
HAYL,1.13262484,HAYL,0.90165194
HBS,0.233713495,HBS,0.200025611
HDFC,0.297736305,HDFC,0.26238955
HELA,0.406428201,HELA,0.364003073
HEXP,0.625367202,HEXP,0.521321552
HHL,0.567046829,HHL,0.44205404
