Beta Values 2023  (April to June),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.043409836,AAF,0.156791316
AAIC,2.37731147,AAIC,1.7391272
ABAN,0.718688524,ABAN,0.511932198
ABL,0.517639344,ABL,0.341461601
ACAP,1.84144262,ACAP,0.776224815
ACL,1.67855737,ACL,1.26600252
ACME,1.09377049,ACME,0.759571779
AEL,1.11462295,AEL,0.845513344
AFS,-0.52157377,AFS,-0.42502416
AFSL,-0.04655737,AFSL,0.089212697
AGAL,1.10911475,AGAL,0.851906921
AGST,1.6554754,AGST,1.26503605
AHPL,1.09508196,AHPL,0.774663593
AHUN,0.671081967,AHUN,0.401382796
AINS,0.43514754,AINS,0.442494981
ALLI,1.07029508,ALLI,0.709612668
ALUF,0.709377049,ALUF,0.568656605
ALUM,1.18596721,ALUM,0.838004609
AMCL,0,AMCL,0
AMF,1.31606557,AMF,1.0573935
AMSL,0.309245901,AMSL,0.162590141
APLA,0.10504918,APLA,0.075459073
ASCO,1.54032786,ASCO,1.15835253
ASHO,0.4,ASHO,0.251133744
ASIR,0.874885245,ASIR,0.397739944
ASIY,0.678819672,ASIY,0.450301092
ASPH,0.121311475,ASPH,-0.50033454
ASPM,0,ASPM,0
ATL,0.013245901,ATL,0.015166158
ATLL,-0.2849836,ATLL,-0.08088617
AUTO,0.211409836,AUTO,0.15723738
BALA,0.79514754,BALA,0.568879637
BBH,1.1969836,BBH,0.934949074
BERU,1.18242622,BERU,0.87562263
BFL,0.604459016,BFL,0.453423537
BFN,1.01350819,BFN,0.667757044
BIL,1.62950819,BIL,1.19017173
BLUE,0.98609836,BLUE,0.75845662
BOGA,1.53259016,BOGA,1.09560627
BOPL,1.32131147,BOPL,0.838153297
BPPL,-0.07304918,BPPL,-0.0756821
BREW,-0.14281967,BREW,-0.14340941
BRR,0.177311475,BRR,0.19559884
BRWN,1.45259016,BRWN,1.05865734
BUKI,0.154229508,BUKI,0.041186528
CABO,0.525377049,CABO,0.414244294
CALF,0.417836065,CALF,0.52754442
CALT,1.10740983,CALT,0.8704929
CARE,1.62190163,CARE,1.28681882
CARG,0.011278688,CARG,-0.10356107
CARS,0.403409836,CARS,0.194260649
CCS,0.405114754,CCS,0.255073972
CDB,-0.30072131,CDB,-0.38205337
CERA,0.177311475,CERA,0.143855475
CFI,0.321704918,CFI,0.095160211
CFIN,1.04983606,CFIN,0.671920303
CFLB,0.900590163,CFLB,0.718608281
CFVF,1.20616393,CFVF,0.889524942
CHL,0.181770491,CHL,-0.11724035
CHMX,1.40826229,CHMX,0.952791614
CHOT,1.31960655,CHOT,1.02423611
