Beta Values 2023  (July to September),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.965605457,AAF,0.441033434
AAIC,-0.1947129,AAIC,-0.09848024
ABAN,0.394400227,ABAN,0.341641337
ABL,0.36128482,ABL,0.138905775
ACAP,0.19599204,ACAP,0.101823708
ACL,0.43064241,ACL,0.264285714
ACME,0.284536668,ACME,0.053723404
AEL,0.420835702,AEL,0.259878419
AFS,1.65221716,AFS,1.08282674
AFSL,-0.34465605,AFSL,-0.62256838
AGAL,0.293916998,AGAL,0.086930091
AGPL,0.19300739,AGPL,0.104331306
AGST,0.362563956,AGST,0.204179331
AHPL,0.642552586,AHPL,0.375
AHUN,0.423962478,AHUN,0.205851063
AINS,0.987208641,AINS,0.663069908
ALLI,0.691017623,ALLI,0.179483282
ALUM,-0.09536668,ALUM,-0.15691489
AMCL,0,AMCL,0
AMF,1.06552018,AMF,0.393768996
AMSL,0.65363843,AMSL,0.455775075
APLA,0.797185901,APLA,0.435410334
ASCO,0.764354747,ASCO,0.618844984
ASHO,0.285247299,ASHO,0.167401215
ASIR,0.47598067,ASIR,0.373480243
ASIY,0.057987492,ASIY,0.05668693
ASPH,-1.9779704,ASPH,-1.6940729
ASPM,0,ASPM,0
ATL,-0.16614553,ATL,-0.10326747
ATLL,0.067367822,ATLL,0.167477203
AUTO,-0.22896532,AUTO,-0.39179331
BALA,0.167851051,BALA,0.106914893
BBH,0.92538374,BBH,0.575835866
BERU,0.783257532,BERU,0.5168693
BFL,0.880329732,BFL,0.637386018
BFN,0.628339965,BFN,0.229787234
BIL,1.03666856,BIL,0.771732522
BLUE,-4.1006253,BLUE,-2.5084346
BOGA,0.112137578,BOGA,0.036018237
BOPL,-0.42922114,BOPL,-0.29407294
BPPL,1.03709494,BPPL,0.688601823
BREW,0.042637862,BREW,0.090653495
BRR,1.04903354,BRR,0.772112462
BRWN,1.47868106,BRWN,1.10288753
BUKI,1.09934621,BUKI,0.714133738
CABO,0.039084707,CABO,-0.12636778
CALF,-0.55443433,CALF,-0.5537234
CALT,1.50582717,CALT,0.715349544
CARE,0.627487208,CARE,0.561474164
CARG,0.405628197,CARG,0.292477203
CARS,0.085702103,CARS,0.087765957
CCS,0.434337691,CCS,0.387234042
CDB,0.253411028,CDB,0.098784194
CERA,1.26876065,CERA,0.866565349
CFI,1.16301876,CFI,0.818920972
CFIN,1.57120523,CFIN,0.921884498
CFLB,0.473564525,CFLB,0.286930091
CFVF,1.55159181,CFVF,0.869604863
CHL,-0.26179647,CHL,-0.26664133
CHMX,0.981523592,CHMX,0.573708206
CHOT,0.631324616,CHOT,0.423556231
CIC,0.83882888,CIC,0.723100303
CIND,0.676805002,CIND,0.382522796
CINS,0.637436043,CINS,0.278723404
CINV,2.1068789,CINV,1.13115501
CIT,1.04604889,CIT,0.699316109
CITH,0.185190449,CITH,0.105167173
CITW,0.806139852,CITW,0.541945288
CLND,0.418561682,CLND,0.229255319
COCO,0.31708357,COCO,0.155547112
COCR,1.31623081,COCR,0.620288753
COLO,0.975270039,COLO,0.703951367
COMB,2.42183058,COMB,1.85364741
COMD,-0.01506537,COMD,-0.03214285
CONN,0.069215463,CONN,0.011930091
COOP,-0.16372939,COOP,-0.10136778
CPRT,-1.420125,CPRT,-0.97712765
CRL,-0.40790221,CRL,-0.44034954
CSD,0.018760659,CSD,-0.05440729
CSF,-1.5153496,CSF,-1.4199088
CTBL,0.558413871,CTBL,0.300531914
CTC,0.169698692,CTC,0.150075987
CTEA,-0.15534394,CTEA,-0.10509118
CTHR,0.651364411,CTHR,0.445972644
CTLD,0.535815804,CTLD,0.184270516
CWL,0.747441728,CWL,0.592173252
CWM,-0.04235361,CWM,-0.05136778
DFCC,2.0238772,DFCC,1.11831306
DIAL,0.951961341,DIAL,0.718693009
DIMO,-0.14326321,DIMO,-0.10987841
DIPD,0.929363274,DIPD,0.669756838
DIST,0.505685048,DIST,0.404483282
DOCK,0.374644684,DOCK,0.085334346
DPL,0.09067652,DPL,0.020288753
EAST,0.378766344,EAST,0.156382978
EBCR,0.777003979,EBCR,0.567553191
ECL,-0.08044343,ECL,0.039361702
EDEN,0.435758953,EDEN,0.137082066
ELPL,-0.09749857,ELPL,-0.0699848
EMER,0.877202956,EMER,0.581838905
EML,0.448408186,EML,0.229787234
ETWO,-0.03411028,ETWO,-0.03039513
EXPO,0.711199545,EXPO,0.57462006
EXT,0.406623081,EXT,0.127963525
FCT,1.95494599,FCT,1.22522796
GEST,0.46588971,GEST,0.274696048
GHLL,0.304150085,GHLL,0.175455927
GLAS,0.0412166,GLAS,-0.037462
GRAN,0.246588971,GRAN,0.037841945
GREG,0.051591813,GREG,0.009118541
GUAR,1.41458214,GUAR,0.691565349
HAPU,0.271745309,HAPU,0.353571428
HARI,0,HARI,0
HASU,0.562251279,HASU,0.355471124
HAYC,1.17026719,HAYC,0.931155015
HAYL,0.573621375,HAYL,0.532902735
HBS,0.311114269,HBS,0.231458966
HDFC,1.42183058,HDFC,0.909802431
HELA,0.383882888,HELA,0.280015197
HEXP,0.275724843,HEXP,0.265805471
HHL,0.631750994,HHL,0.498328267
HNB,1.77046617,HNB,1.27834346
HNBF,0.527003979,HNBF,0.286930091
HOPL,-0.04036384,HOPL,0.028951367
HPFL,1.48607163,HPFL,1.37606382
HPL,0.550881182,HPL,0.57074468
HPWR,0.075753268,HPWR,0.010410334
HSIG,0.753979533,HSIG,0.45843465
HUNA,0.247157475,HUNA,0.036474164
HUNT,-0.18348493,HUNT,-0.15250759
HVA,0.009096077,HVA,-0.04597264
JAT,0.637293916,JAT,0.438525835
JETS,-0.22441728,JETS,-0.31527355
JINS,0.845793064,JINS,0.38731003
JKH,1.24360432,JKH,1.05911854
JKL,0.079022171,JKL,-0.03085106
KAHA,0.011085844,KAHA,-0.19468085
KCAB,0.666856168,KCAB,0.392857142
KDL,-0.09508243,KDL,-0.01382978
KFP,-0.6773735,KFP,-0.49954407
KGAL,0.309835133,KGAL,0.171960486
KHC,1.15591245,KHC,0.855395136
KHL,0.375213189,KHL,0.187158054
KOTA,0.254263786,KOTA,0.010790273
KPHL,0.236782262,KPHL,0.084726443
KVAL,0.226833428,KVAL,0.035790273
KZOO,1.64496873,KZOO,1.07598784
LALU,0.733086981,LALU,0.415729483
LAMB,-0.48720864,LAMB,-0.29924012
LCBF,0.220579874,LCBF,-0.14224924
LCEY,-0.61043206,LCEY,-0.57591185
LDEV,0.032262649,LDEV,-0.02606382
LFIN,0.76833428,LFIN,0.49787234
LGIL,0.600483229,LGIL,0.383814589
LGL,0.794769755,LGL,0.321656534
LHCL,-0.06878908,LHCL,-0.12424012
LHL,0.459920409,LHL,0.344604863
LIOC,0.203524729,LIOC,0.249316109
LION,-0.05471859,LION,0.034878419
LITE,0.022740193,LITE,-0.01831306
LLUB,0.402643547,LLUB,0.289513677
LMF,0.877771461,LMF,0.678647416
LOFC,0.399943149,LOFC,0.265957446
LOLC,1.15392268,LOLC,0.808662613
LPL,0.474417282,LPL,0.348784194
LPRT,0.370096645,LPRT,0.09680851
LUMX,0.227828311,LUMX,0.283890577
LVEF,0.048607163,LVEF,0.083814589
LVEN,0.310261512,LVEN,0.248480243
LWL,0.384735645,LWL,0.243085106
MADU,-0.01264923,MADU,-0.2012158
MAL,-0.02373507,MAL,0.087689969
MARA,0.843519044,MARA,0.552887537
MASK,-0.43192154,MASK,-0.3418693
MBSL,1.80685048,MBSL,1.14012158
MCPL,0.046901648,MCPL,-0.02864741
MDL,0.118249005,MDL,0.091641337
MEL,-0.20309835,MEL,-0.25243161
MELS,1.27814098,MELS,0.869832826
MERC,0,MERC,0
MGT,1.56068789,MGT,1.02089665
MHDL,0.348493462,MHDL,0.094300911
MRH,0.880329732,MRH,0.575227963
MSL,0.552160318,MSL,0.466337386
MULL,0.278993746,MULL,-0.06504559
NAMU,0.102472996,NAMU,-0.03563829
NDB,2.01932916,NDB,1.41079027
NEH,-0.25852757,NEH,-0.19460486
NTB,1.23422399,NTB,0.78343465
ODEL,0.454235361,ODEL,0.332522796
ONAL,0.898948266,ONAL,0.623708206
OSEA,0.536100056,OSEA,0.381610942
PABC,1.88800454,PABC,1.25547112
PACK,0.277146105,PACK,0.199696048
PALM,0.442438885,PALM,0.32674772
PAP,0.210062535,PAP,0.105547112
PARQ,0.441586128,PARQ,0.137006079
PEG,0.222427515,PEG,0.237841945
PHAR,0.373223422,PHAR,0.256231003
PINS,0.699687322,PINS,0.405851063
PLC,0.816515065,PLC,0.403647416
PLR,0.443575895,PLR,0.30737082
PMB,0.858158044,PMB,0.436018237
RAL,0.460346787,RAL,0.165197568
RCH,1.1122797,RCH,0.875
RCL,0.69712905,RCL,0.510258358
REEF,0.93476407,REEF,0.601215805
REG,-0.15804434,REG,-0.081231
RENU,0.819215463,RENU,0.580091185
REXP,0.136725412,REXP,0.124392097
RFL,-0.6215179,RFL,-0.41892097
RGEM,0.409039226,RGEM,0.053647416
RHL,0.491046048,RHL,0.035334346
RHTL,0.024019329,RHTL,0.017173252
RICH,0.953666856,RICH,0.703647416
RIL,1.26108584,RIL,0.87006079
RPBH,0.665861284,RPBH,0.528039513
RWSL,0.342239909,RWSL,0.246504559
SAMP,1.82234223,SAMP,1.30706686
SCAP,0.094940306,SCAP,-0.00417933
SDB,0.978538942,SDB,0.588449848
SDF,0.636583285,SDF,0.409118541
SEMB,3.1480955,SEMB,2.17150455
SERV,0.128197839,SERV,-0.05144376
SEYB,2.73251847,SEYB,2.04141337
SFCL,1.43106878,SFCL,0.867173252
SFIN,0.763644115,SFIN,0.250835866
