Beta Values 2024 (January to March),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,1.711659,AAF,1.08397766
AAIC,1.86711241,AAIC,1.15356529
ABAN,0.613873798,ABAN,0.306056701
ABL,-0.16506477,ABL,-0.25945017
ACAP,1.74383618,ACAP,0.824957044
ACL,1.12787296,ACL,0.724656357
ACME,0.469703301,ACME,0.408719931
AEL,1.54784788,AEL,1.12091924
AFS,-6.226076,AFS,-4.7560137
AFSL,0.553698286,AFSL,0.554982817
AGAL,0.033848725,AGAL,-0.17160652
AGPL,0.992478061,AGPL,0.404424398
AGST,0.773088173,AGST,0.618771477
AHPL,0.201838696,AHPL,0.280283505
AHUN,1.26117843,AHUN,0.615549828
AINS,0.828666945,AINS,0.741623711
ALLI,1.00125365,ALLI,0.712843642
ALUM,1.16757208,ALUM,0.653780068
AMCL,0,AMCL,0
AMF,1.71625574,AMF,1.17762027
AMSL,-0.00793982,AMSL,0.03887457
APLA,1.44003343,APLA,1.07109106
ASCO,1.28541579,ASCO,1.00021477
ASHO,0.751776013,ASHO,0.482817869
ASIR,1.01587964,ASIR,0.583548109
ASIY,0.101964061,ASIY,0.124570446
ASPH,1.5185959,ASPH,-0.97573024
ASPM,0,ASPM,0
ATL,0.564563309,ATL,0.640463917
ATLL,-0.01964061,ATLL,-0.35073024
AUTO,0.158378604,AUTO,-0.07388316
BALA,0.7204346,BALA,0.70210481
BBH,0.253656498,BBH,-0.25042955
BERU,0.8040117,BERU,0.442439862
BFL,0.297534475,BFL,0.146907216
BFN,2.72879231,BFN,1.89755154
BIL,3.00501462,BIL,2.01524914
BLUE,3.92310906,BLUE,2.21155498
BOGA,0.785206853,BOGA,0.223367697
BOPL,-0.14667781,BOPL,-0.26890034
BPPL,0.329293773,BPPL,0.12306701
BREW,-0.3313832,BREW,-0.43964776
BRR,0.78269954,BRR,0.312285223
BRWN,1.93397409,BRWN,1.34815292
BUKI,0.411199331,BUKI,0.032646048
CABO,0.413706644,CABO,0.342783505
CALF,0.885499373,CALF,-0.14819587
CALT,1.4609277,CALT,0.76589347
CARE,1.06560802,CARE,0.688144329
CARG,0.671541997,CARG,0.221434707
CARS,0.40660259,CARS,0.214991408
CBNK,0.655662348,CBNK,0.370704467
CCS,0.865858754,CCS,0.128006872
CDB,0.12996239,CDB,-0.07323883
CERA,0.283326368,CERA,0.279209621
CFI,0.245716673,CFI,0.006013745
CFIN,1.57877141,CFIN,1.08934707
CFLB,0.109068115,CFLB,0.092353951
CFVF,0.93313832,CFVF,0.334621993
CHL,0.197659841,CHL,0.145189003
CHMX,1.50355202,CHMX,0.688359106
CHOT,1.48015043,CHOT,0.951245704
CIC,1.66360217,CIC,1.26632302
CIND,0.823234433,CIND,0.657216494
CINS,0.206853322,CINS,0.043170103
CINV,2.35520267,CINV,1.41365979
CIT,0.314249895,CIT,-0.02298109
CITH,1.94651065,CITH,1.27426975
CITW,2.4003343,CITW,1.49806701
CLND,1.82448809,CLND,1.19695017
COCO,-0.10112829,COCO,-0.2040378
COCR,1.31299623,COCR,0.64282646
COLO,0.960718763,COLO,0.301546391
COMB,0.951107396,COMB,0.79145189
COMD,0.761387379,COMD,0.229810996
CONN,0.49017969,CONN,0.132302405
COOP,1.77392394,COOP,1.0597079
CPRT,0.125783535,CPRT,-0.82237972
CRL,0.769745089,CRL,0.590850515
CSD,-0.4032595,CSD,-0.13122852
CSF,0,CSF,0
CTBL,1.44588382,CTBL,0.698024054
CTC,0.542833263,CTC,0.052190721
CTEA,0.030505641,CTEA,0.047895189
CTHR,0.531132469,CTHR,-0.00601374
CTLD,1.0518178,CTLD,0.62435567
CWL,1.29335562,CWL,0.89218213
CWM,0.832010029,CWM,0.425257731
DFCC,1.45382365,DFCC,1.35996563
DIAL,0.713748432,DIAL,0.480240549
DIMO,-0.06811533,DIMO,-0.17117697
DIPD,1.39782699,DIPD,0.861469072
DIST,0.480150438,DIST,0.371563573
DOCK,-0.63476807,DOCK,-0.35266323
DPL,0.574174676,DPL,0.297680412
EAST,0.321353949,EAST,-0.05713058
EBCR,1.32344337,EBCR,0.593427835
ECL,-0.20559966,ECL,-0.25042955
EDEN,2.69703301,EDEN,1.65829037
ELPL,0.953196824,ELPL,0.403350515
EMER,2.00752193,EMER,1.48475085
EML,1.18972001,EML,1.00987972
ETWO,0.245716673,ETWO,-0.0992268
EXT,-0.40075219,EXT,-0.49828178
FCT,0.045549519,FCT,-0.63466494
GEST,0.157960718,GEST,0.387242268
GHLL,0.383201002,GHLL,-0.00773195
GLAS,0.137902214,GLAS,-0.00644329
GRAN,1.25741746,GRAN,0.78823024
GREG,0.053071458,GREG,0.012886597
GUAR,1.11115754,GUAR,0.4145189
HAPU,0.181780192,HAPU,0.116194158
HARI,-0.40827413,HARI,-0.26181271
HASU,0.324697033,HASU,0.214561855
HAYC,1.07647304,HAYC,0.41129725
HAYL,1.17133305,HAYL,0.893041237
HBS,0.056414542,HBS,0.243127147
HDFC,1.05098203,HDFC,0.907431271
HELA,2.03301295,HELA,1.52276632
HEXP,0.900961136,HEXP,0.598582474
HHL,0.972001671,HHL,0.745060137
HNB,1.51358127,HNB,1.19888316
HNBF,0.918930213,HNBF,0.696520618
HOPL,0.057668198,HOPL,-0.12478522
HPFL,0.102381947,HPFL,0.034149484
HPL,-0.204346,HPL,0.075171821
HPWR,0.917676556,HPWR,0.497637457
HSIG,0.196406184,HSIG,-0.0560567
HUNA,-0.16590054,HUNA,-0.04703608
HUNT,0.20977852,HUNT,0.241408934
HVA,1.36815712,HVA,0.629295532
JAT,0.969076473,JAT,0.579896907
JETS,0.614709569,JETS,0.329252577
JINS,1.89260342,JINS,0.89540378
JKH,1.02173004,JKH,0.902061855
JKL,0.357709987,JKL,0.385738831
KAHA,0.764312578,KAHA,0.359965635
KCAB,1.52778938,KCAB,1.09729381
KFP,0.053907229,KFP,-0.03737113
KGAL,0.839114082,KGAL,0.352233676
KHC,1.27287923,KHC,0.676761168
KHL,0.969076473,KHL,0.566365979
KOTA,0.608023401,KOTA,0.357173539
KPHL,-0.29043042,KPHL,-0.31829896
KVAL,0.58587547,KVAL,0.318298969
KZOO,1.24989552,KZOO,0.742268041
LALU,1.45842039,LALU,0.934493127
LAMB,0.405766819,LAMB,0.408719931
LCBF,1.94860008,LCBF,1.32066151
LCEY,1.57459256,LCEY,1.06400343
LDEV,0.935645633,LDEV,0.408719931
LFIN,0.417049728,LFIN,0.191795532
LGIL,2.03050564,LGIL,1.72873711
LGL,-0.30839949,LGL,-0.24012027
LHCL,-0.40785624,LHCL,-0.39583333
LHL,1.04680317,LHL,0.341065292
LIOC,0.710823234,LIOC,0.355670103
LION,0.084830756,LION,0.019974226
LITE,1.21813623,LITE,0.66516323
LLUB,0.158378604,LLUB,0.196520618
LMF,15.0221479,LMF,10.0923539
LOFC,4.02716255,LOFC,2.48324742
LOLC,2.93898871,LOLC,2.21520618
LPL,0.048474717,LPL,-0.16237113
LPRT,0.882156289,LPRT,0.380154639
LUMX,0.980359381,LUMX,0.314218213
LVEF,-1.0284162,LVEF,-1.0189003
LVEN,0.477643125,LVEN,-0.25794673
LWL,1.29586293,LWL,0.778135738
MADU,0.796907647,MADU,0.573883161
MAL,-0.054743,MAL,-0.14411512
MARA,0.890096113,MARA,0.255154639
MASK,-0.14584203,MASK,-0.37070446
MBSL,1.73715002,MBSL,1.30004295
MCPL,0.504805683,MCPL,0.242268041
MDL,0.103635603,MDL,-0.03823024
MEL,-0.17509402,MEL,0.011597938
MELS,1.08315921,MELS,0.803479381
MERC,0,MERC,0
MGT,0.676138737,MGT,0.464991408
MHDL,0.053071458,MHDL,0.360609965
MRH,0.090263267,MRH,0.042525773
MSL,0.346844964,MSL,0.557774914
MULL,1.72168825,MULL,0.60008591
NAMU,0.631007104,NAMU,0.447379725
NDB,1.07229419,NDB,0.756658075
NEH,0.082741328,NEH,0.067654639
NHL,-0.19348098,NHL,-0.05584192
NTB,0.702883409,NTB,0.673754295
ODEL,0.760969494,ODEL,0.211554982
OFEQ,0.221479314,OFEQ,0.614690721
ONAL,0.21353949,ONAL,0.082474226
OSEA,0.165900543,OSEA,0.050257731
PABC,1.7463435,PABC,1.24463058
PACK,0.199749268,PACK,0.233032646
PALM,1.32929377,PALM,0.6020189
PAP,1.23986627,PAP,0.669673539
PARA,1.25114918,PARA,0.502147766
PARQ,1.38696197,PARQ,0.952963917
PEG,1.35520267,PEG,0.876932989
PHAR,0.687421646,PHAR,0.543599656
PINS,1.0718763,PINS,0.896692439
PLC,0.947764312,PLC,0.506228522
PLR,0.476389469,PLR,0.393041237
PMB,1.73840367,PMB,1.28973367
RAL,0.905975762,RAL,0.442654639
RCH,0.71207689,RCH,0.685996563
RCL,1.75637275,RCL,1.39969931
REEF,2.22440451,REEF,1.58140034
RENU,0.482239866,RENU,0.250859106
REXP,0.173840367,REXP,0.113402061
RFL,1.09026326,RFL,-0.17418384
RGEM,1.56957793,RGEM,1.11769759
RHL,0.616381111,RHL,0.248281786
RHTL,1.29544504,RHTL,0.68234536
RICH,1.05892185,RICH,0.413015463
RIL,2.17509402,RIL,1.43728522
RPBH,1.93397409,RPBH,0.995060137
RWSL,1.20643543,RWSL,0.772336769
SAMP,1.01546176,SAMP,0.77040378
SCAP,2.6828249,SCAP,1.98475085
SDB,0.961136648,SDB,0.95597079
SDF,-0.60760551,SDF,-0.84965635
SEMB,0.452987881,SEMB,-0.93814432
SERV,1.40367739,SERV,0.95790378
SEYB,1.03593815,SEYB,0.662800687
SFCL,0.551190973,SFCL,0.273410652
SFIN,1.04053489,SFIN,0.840635738
SHAW,0.293773506,SHAW,0.512027491
SHL,0,SHL,0
SHOT,1.21145006,SHOT,0.693513745
