Beta Values 2024 (April to June),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.344014355,AAF,0.21148969
AAIC,0.500897205,AAIC,0.356930201
ABAN,-0.09177134,ABAN,-0.32594552
ABL,0.40604973,ABL,-0.00474142
ACAP,1.05742117,ACAP,0.790715624
ACL,1.12637785,ACL,0.681001212
ACME,0.922327608,ACME,0.38129893
AEL,0.788515765,AEL,0.305766898
AFS,1.04229684,AFS,0.605799977
AFSL,0.744680851,AFSL,0.601940677
AGAL,0.681363752,AGAL,0.360127908
AGPL,-0.01307357,AGPL,-0.02084022
AGST,0.66085619,AGST,0.229573271
AHPL,0.664445014,AHPL,0.350534788
AHUN,0.427326326,AHUN,0.235527621
AINS,-0.8872084,AINS,-0.60524864
ALLI,1.23276083,ALLI,0.714742529
ALUM,1.15585747,ALUM,0.489579887
AMCL,0,AMCL,0
AMF,0.592412201,AMF,0.299150953
AMSL,-0.08203024,AMSL,-0.07189326
APLA,1.04409125,APLA,0.564119528
ASCO,1.04870546,ASCO,0.625537545
ASHO,0.196359907,ASHO,0.367625978
ASIR,-0.32735196,ASIR,-0.31116991
ASIY,-0.13996411,ASIY,-0.18094608
ASPH,-2.1730325,ASPH,-1.9996692
ATL,0.545244809,ATL,0.236630278
ATLL,0.274544988,ATLL,0.3015768
AUTO,-0.94488592,AUTO,-0.46554195
BALA,-0.27044347,BALA,-0.08677913
BBH,1.41271468,BBH,0.974528613
BERU,3.55165342,BERU,1.69125592
BFL,1.16021532,BFL,0.797882897
BFN,1.57293001,BFN,0.96063513
BIL,1.76877723,BIL,0.910023155
BLUE,2.95001281,BLUE,0.334215459
BOGA,0.884901307,BOGA,0.421986988
BOPL,-0.15688285,BOPL,-0.15944426
BPPL,0.556780312,BPPL,0.355386481
BREW,0.072032812,BREW,-0.03363105
BRR,0.58497821,BRR,0.183371926
BRWN,1.59856447,BRWN,0.867901642
BUKI,0.353242758,BUKI,0.090307641
CABO,0.443219687,CABO,0.447678906
CALF,0.483465778,CALF,0.333112801
CALT,-0.08151755,CALT,-0.09615172
CARE,0.607536529,CARE,0.324512074
CARG,0.051781594,CARG,-0.02922042
CARS,0.487823634,CARS,0.261550336
CBNK,0.470648551,CBNK,0.346675487
CCS,1.50628044,CCS,0.89513728
CDB,-0.61163804,CDB,-0.33950821
CERA,0.508587541,CERA,0.294850589
CFI,0.310433222,CFI,0.212151284
CFIN,1.95770315,CFIN,1.06615944
CFLB,0.210715201,CFLB,0.143565994
CFVF,0.663932325,CFVF,0.501598853
CHL,0.039733401,CHL,0.051714632
CHMX,0.456549602,CHMX,0.307751681
CHOT,0.844398872,CHOT,0.421545925
CIC,1.16841835,CIC,0.703495423
CIND,1.22814662,CIND,0.564781122
CINS,0.233273519,CINS,0.085345683
CINV,2.27326326,CINV,1.38570956
CIT,0.496539348,CIT,0.174330135
CITH,0.323250448,CITH,0.341934061
CITW,0.21917457,CITW,0.056235527
CLND,1.9856447,CLND,1.13187782
COCO,0.187387849,COCO,-0.02624324
COCR,1.10279415,COCR,0.651891057
COLO,0.657011022,COLO,0.366302789
COMB,2.5757498,COMB,1.87209174
COMD,0.23840041,COMD,0.014665343
CONN,0.488849013,CONN,0.397838791
COOP,2.27890284,COOP,1.41040908
CPRT,1.75519097,CPRT,1.16065718
CRL,0.235067931,CRL,0.025802183
CSD,0.887464752,CSD,0.329694563
CSF,1.03024865,CSF,-0.39662586
CTBL,0.291207382,CTBL,0.172455618
CTC,0.268905408,CTC,0.090307641
CTEA,-0.04614201,CTEA,-0.02061969
CTHR,0.094078441,CTHR,-0.02811776
CTLD,-0.09946167,CTLD,-0.23607895
CWL,0.865419123,CWL,0.423310177
CWM,0.174570622,CWM,0.041459918
DFCC,1.59779543,DFCC,1.17201455
DIAL,0.798769546,DIAL,0.432572499
DIMO,1.7305819,DIMO,0.965927886
DIPD,0.880287105,DIPD,0.392325504
DIST,0.696231735,DIST,0.463777704
DOCK,1.10689566,DOCK,0.51019958
DPL,0.564726993,DPL,0.384717168
EAST,1.39938477,EAST,0.900430036
EBCR,0.485772878,EBCR,0.216341382
ECL,0.834914124,ECL,0.418789282
EDEN,0.9320687,EDEN,0.37975521
ELPL,0.690592155,ELPL,0.400595434
EMER,1.05998461,EMER,0.467306207
EML,0.721609843,EML,0.390892049
ETWO,-0.29556523,ETWO,-0.23210938
EXT,0.465265316,EXT,0.145109714
FCT,0.696231735,FCT,0.434005954
GEST,1.52294283,GEST,0.97177197
GHLL,0.788772109,GHLL,0.517366854
GLAS,0.200974109,GLAS,0.045098687
GRAN,0.951550884,GRAN,0.565663248
GREG,0.087669828,GREG,-0.08733046
GUAR,1.01640604,GUAR,0.531811666
HAPU,0.39246347,HAPU,0.329584298
HARI,-0.29325813,HARI,-0.20641746
HASU,-0.02102025,HASU,-0.04531921
HAYC,0.505767751,HAYC,0.184143786
HAYL,1.00333247,HAYL,0.582313375
HBS,0.627275057,HBS,0.480979159
HDFC,1.12227633,HDFC,0.66501268
HELA,1.04486029,HELA,0.540853456
HEXP,0.228915662,HEXP,0.084463557
HHL,0.840041015,HHL,0.60910795
HNB,1.63163291,HNB,1.11699195
HNBF,1.27941553,HNBF,0.686624765
HOPL,0.445014098,HOPL,0.344249641
HPFL,0.845167905,HPFL,0.471165508
HPL,0.499615483,HPL,0.346013893
HPWR,-0.175596,HPWR,-0.04333443
HSIG,0.419379646,HSIG,0.261991399
HUNA,0.520123045,HUNA,0.244128349
HUNT,0.322737759,HUNT,0.259014224
HVA,-0.04050243,HVA,-0.1387143
JAT,0.568059471,JAT,0.288896239
JETS,0.449884644,JETS,0.362884551
JINS,1.85644706,JINS,0.9642739
JKH,0.637016149,JKH,0.490682544
JKL,0.433734939,JKL,0.190539199
KAHA,0.780056395,KAHA,0.453964053
KCAB,1.36580364,KCAB,0.737457272
KFP,0.343245321,KFP,0.060094828
KGAL,0.220968982,KGAL,0.095600396
KHC,0.854908997,KHC,0.561803947
KHL,0.413483722,KHL,0.268827875
KOTA,0.461932837,KOTA,0.281398169
KPHL,0.351192002,KPHL,0.071341934
KVAL,0.248910535,KVAL,0.225493439
KZOO,1.0817739,KZOO,0.680339618
LALU,1.28633683,LALU,0.66060205
LAMB,0.05383235,LAMB,0.03131547
LCBF,1.18892591,LCBF,0.589921711
LCEY,0.61497052,LCEY,0.212482081
LDEV,0.545501153,LDEV,0.332782004
LFIN,1.17610869,LFIN,0.673172345
LGIL,1.06459882,LGIL,0.37380086
LGL,0.297615995,LGL,0.186349101
LHCL,-0.08254293,LHCL,-0.12206417
LHL,0.991284286,LHL,0.589480648
LIOC,1.37503204,LIOC,0.914544051
LION,0.740066649,LION,0.426066821
LITE,0.073314534,LITE,0.095820928
LLUB,0.352473724,LLUB,0.29043996
LMF,0.782876185,LMF,0.306649024
LOFC,1.52294283,LOFC,0.794244128
LOLC,1.70392207,LOLC,1.03991619
LPL,-0.53422199,LPL,-0.41448891
LPRT,0.403229941,LPRT,0.276656742
LUMX,0.480389643,LUMX,0.281287903
LVEF,0.118687516,LVEF,-0.14477891
LVEN,1.114586,LVEN,0.540632925
LWL,1.79107921,LWL,1.10706803
MADU,0.160728018,MADU,0.145661043
MAL,-0.53857985,MAL,-0.2655199
MARA,0.964111766,MARA,0.395633476
MASK,0.700589592,MASK,0.393648693
MBSL,1.41861061,MBSL,0.889403462
MCPL,-0.34273263,MCPL,-0.1853567
MDL,0.286336836,MDL,-0.12901091
MEL,1.94078441,MEL,0.970669313
MELS,0.93719559,MELS,0.608997684
MERC,0,MERC,0
MFPE,0,MFPE,0
MGT,0.09459113,MGT,0.009703385
MHDL,0.905665214,MHDL,0.388686735
