Beta Values 2024 (July to September),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.718612334,AAF,0.418394624
AAIC,1.13697687,AAIC,0.75341377
ABAN,0.571310572,ABAN,0.387038508
ABL,2.52395374,ABL,1.84806011
ACAP,1.35820484,ACAP,0.661585145
ACL,1.05121145,ACL,0.699949425
ACME,0.104763215,ACME,0.116537822
AEL,1.30396475,AEL,0.846181634
AFS,0.228661894,AFS,0.151434144
AFSL,0.13243392,AFSL,0.075933819
AGAL,1.02794603,AGAL,0.681092406
AGPL,0.7780837,AGPL,0.54938227
AGST,1.41891519,AGST,0.993786576
AHPL,0.978248898,AHPL,0.683404378
AHUN,1.05644273,AHUN,0.727909833
AINS,-0.155837,AINS,-0.17780507
ALLI,0.569107929,ALLI,0.41304819
ALUM,0.92373348,ALUM,0.659128675
AMCL,0,AMCL,0
AMF,1.31098568,AMF,0.896467018
AMSL,0.706910792,AMSL,0.424824795
APLA,1.01362885,APLA,0.660212412
ASCO,0.68777533,ASCO,0.466584784
ASHO,0.095677312,ASHO,0.032656599
ASIR,0.579019823,ASIR,0.380897334
ASIY,0.838243392,ASIY,0.562314861
ASPH,0.588794052,ASPH,-0.41405967
ATL,-0.0992566,ATL,-0.05967776
ATLL,0.218887665,ATLL,0.141680514
AUTO,0.17717511,AUTO,0.232786648
BALA,1.39028083,BALA,0.92731739
BBH,0.347879955,BBH,0.147893938
BERU,0.90280837,BERU,0.492811213
BFL,0.531112334,BFL,0.303735279
BFN,1.69162995,BFN,1.05657105
BIL,1.82819383,BIL,1.24803121
BLUE,1.16051762,BLUE,1.40004334
BOGA,0.378579295,BOGA,0.259446571
BOPL,0.606552863,BOPL,0.472147966
BPPL,0.633948237,BPPL,0.39014522
BREW,0,BREW,0
BRR,0.076266519,BRR,-0.02673217
BRWN,1.40074339,BRWN,0.946463405
BUKI,0.202367841,BUKI,0.149989162
CABO,1.11178414,CABO,0.713098764
CALF,0.861371145,CALF,0.764467885
CALT,1.11811674,CALT,0.855935264
CARE,0.621420704,CARE,0.450111986
CARG,0.230451541,CARG,0.175854345
CARS,0.628579295,CARS,0.442092334
CBNK,0.485820484,CBNK,0.363629795
CCS,1.1780011,CCS,0.78852684
CDB,0.084388766,CDB,0.0244202
CERA,0.046806167,CERA,0.000505743
CFI,0.505093612,CFI,0.374611661
CFIN,1.30121145,CFIN,0.896033523
CFLB,0.088518722,CFLB,0.275558124
CFVF,0.968474669,CFVF,0.661585145
CHL,0.574339207,CHL,0.485080557
CHMX,0.102560572,CHMX,0.107289935
CHOT,1.21379405,CHOT,0.78036269
CIC,0.922907488,CIC,0.683910122
CIND,1.83810572,CIND,1.21002817
CINS,0.139730176,CINS,0.044649953
CINV,1.69796255,CINV,1.18062278
CIT,0.421117841,CIT,0.279531825
CITH,1.29639317,CITH,0.848204609
CITW,1.69810022,CITW,1.1387183
CLND,0.579845814,CLND,0.390867711
COCO,1.23939977,COCO,0.839245719
COCR,1.33480176,COCR,0.875514774
COLO,0.511150881,COLO,0.394985911
COMB,1.83397577,COMB,1.34607326
