Beta Values 2024 (October to December),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.860243262,AAF,0.448696484
AAIC,0.508466491,AAIC,-0.01195886
ABAN,0.124970188,ABAN,-0.10212867
ABL,0.48557119,ABL,0.280076536
ACAP,-0.27235869,ACAP,-0.28557761
ACL,0.813737181,ACL,0.4222674
ACME,0.316479847,ACME,0.24001435
AEL,0.92916766,AEL,0.497847404
AFS,0.432625804,AFS,0.151638364
AFSL,0.301216312,AFSL,-0.23499162
AGAL,0.381826854,AGAL,0.084070796
AGPL,-0.09015025,AGPL,-0.16036833
AGST,0.233722871,AGST,0.017938292
AHPL,0.305270689,AHPL,0.06039225
AHUN,0.606963987,AHUN,0.203420234
AINS,-0.03219651,AINS,-0.15546519
ALLI,1.46482232,ALLI,0.989476201
ALUM,1.31004054,ALUM,0.921549868
AMCL,0,AMCL,0
AMF,0.124731695,AMF,0.02068883
AMSL,0.32983544,AMSL,0.113011241
APLA,0.678750298,APLA,0.342501793
ASCO,1.45528261,ASCO,0.739535996
ASHO,-0.03744335,ASHO,-0.29921071
ASIR,0.082995468,ASIR,-0.13836402
ASIY,0.560696398,ASIY,0.120066969
ASPH,-0.93942284,ASPH,-0.90779717
ATL,0.513474839,ATL,0.414015785
ATLL,-0.23133794,ATLL,-0.29335087
AUTO,-0.09253517,AUTO,-0.32073666
BALA,-0.59026949,BALA,-0.44331499
BBH,0.213212497,BBH,-0.19720162
BERU,0.203434295,BERU,0.052021047
BFL,0.540186024,BFL,0.311887108
BFN,0.006439303,BFN,-0.05130351
BIL,1.55592654,BIL,0.938770629
BOGA,0.709277367,BOGA,0.064817029
BOPL,-1.1211543,BOPL,-1.1498445
BPPL,-0.04078225,BPPL,-0.32994498
BREW,0.782971619,BREW,0.282229131
BRR,1.40829954,BRR,0.551423104
BRWN,1.99022179,BRWN,1.22351112
BUKI,0.780586692,BUKI,0.470222434
CABO,0.72621035,CABO,0.677708682
CALF,0.973050321,CALF,0.4852906
CALT,0.699737658,CALT,0.498804113
CARE,0.496780348,CARE,0.168978713
CARG,0.050560457,CARG,0.097943075
CARS,0.577152396,CARS,0.240253527
CBNK,0.344860481,CBNK,0.226500837
CCS,0.695444788,CCS,0.322650083
CDB,0.613164798,CDB,0.35577613
CERA,0.244693536,CERA,0.003468069
CFI,0.231337944,CFI,-0.03910547
CFIN,1.360601,CFIN,0.574742884
CFLB,0.835201526,CFLB,0.207964601
CFVF,0.637491056,CFVF,0.235230806
CHL,-0.02408776,CHL,-0.06039225
CHMX,0.842117815,CHMX,0.754962927
CHOT,0.41736227,CHOT,-0.00179382
CIC,1.04555211,CIC,0.691820138
CIND,1.21106606,CIND,0.633580483
CINS,0.831385642,CINS,0.276728055
CINV,1.66992606,CINV,0.976321454
CIT,-0.25637968,CIT,-0.17543649
CITH,0.450989744,CITH,0.206051183
CITW,0.845456713,CITW,0.470342023
CLND,0.969234438,CLND,0.458143984
COCO,-0.08371094,COCO,-0.30650562
COCR,1.31528738,COCR,0.74695049
COLO,0.013117099,COLO,-0.31260464
COMB,1.07703315,COMB,0.931116957
COMD,0.402098735,COMD,0.084668739
CONN,-0.11590746,CONN,-0.28497966
COOP,0.054853326,COOP,-0.03958383
CPRT,-3.0934891,CPRT,-1.980507
CRL,0.114476508,CRL,0.005620664
CSD,0.549964226,CSD,0.27110739
CSF,3.36513236,CSF,2.14362592
CSLK,0.046983067,CSLK,-0.0503468
CTBL,-0.47698545,CTBL,-0.51387227
CTC,0.603863582,CTC,0.473331738
CTEA,0.062246601,CTEA,-0.07486247
CTHR,0.746482232,CTHR,0.428007653
CTLD,0.867398044,CTLD,0.436737622
CWL,0.706892439,CWL,0.41879933
CWM,0.143811113,CWM,0.093398708
DFCC,1.73789649,DFCC,1.39332695
DIAL,0.641545432,DIAL,0.359005022
DIMO,0.124016217,DIMO,-0.27445587
DIPD,0.427140472,DIPD,0.080004783
DIST,0.677080849,DIST,0.404687873
DOCK,0.53637014,DOCK,0.42394164
DPL,-0.06797042,DPL,-0.12018655
EAST,0.825184831,EAST,0.510165032
EBCR,0.223706176,EBCR,-0.03994259
ECL,0.185308848,ECL,-0.1228175
EDEN,1.02122585,EDEN,0.598780196
ELPL,0.447650846,ELPL,0.218010045
EMER,0.871213927,EMER,0.530016742
EML,0.95802528,EML,0.539464243
ETWO,0.201526353,ETWO,0.017938292
EXT,-0.48008585,EXT,-0.22901219
FCT,0.19866444,FCT,0.062425257
GEST,-0.18817076,GEST,-0.20353982
GHLL,0.458144526,GHLL,0.09925855
GLAS,0.363462914,GLAS,0.07677589
GRAN,0.999523014,GRAN,0.68476441
GREG,0.36751729,GREG,0.210236785
GUAR,1.96494156,GUAR,1.17986127
HAPU,0.155020271,HAPU,-0.03695288
HARI,0.083710946,HARI,0.051901458
HASU,0.424517052,HASU,0.146017699
HAYC,0.146673026,HAYC,0.051423104
HAYL,0.941330789,HAYL,0.65367137
HBS,0.053183877,HBS,-0.09531212
HDFC,0.3245886,HDFC,0.19684286
HELA,-0.2590031,HELA,-0.21573786
HEXP,0.448604817,HEXP,0.308419038
HHL,0.912473169,HHL,0.690624252
HNB,2.15931314,HNB,1.53181057
HNBF,1.33174338,HNBF,1.04663955
HOPL,0.815168137,HOPL,0.258789763
HPFL,0.091342714,HPFL,0.04400861
HPL,0.162413546,HPL,-0.01458981
HPWR,0.701168614,HPWR,0.51985171
HSIG,0.880515144,HSIG,0.247668022
HUNA,0.395897925,HUNA,0.179263334
HUNT,0.989267827,HUNT,0.790480746
HVA,0.361316479,HVA,0.232480267
JAT,0.519198664,JAT,0.22877302
JETS,0.695206296,JETS,0.239655584
JINS,0.970426901,JINS,0.441281989
JKH,10.6396374,JKH,6.6616838
JKL,-0.40400667,JKL,-0.46137287
KAHA,0.129024564,KAHA,0.04915092
KCAB,0.8425948,KCAB,0.377660846
KFP,-0.2096351,KFP,0.000119588
KGAL,0.506081564,KGAL,0.209519253
KHC,0.543763415,KHC,0.093757474
KHL,0.66062485,KHL,0.272542453
KOTA,-0.31337944,KOTA,-0.50394642
KPHL,0.517290722,KPHL,-0.00562066
KVAL,0.017171476,KVAL,-0.11313082
KZOO,0.658239923,KZOO,0.299330303
LALU,1.33365132,LALU,0.967830662
LAMB,0.479608871,LAMB,0.227457546
LCBF,0.940138325,LCBF,0.616838077
LCEY,0.225137133,LCEY,0.136928964
LDEV,-0.23777724,LDEV,-0.00394642
LFIN,0.54686382,LFIN,0.364864864
LGIL,0.95802528,LGIL,0.374671131
LGL,0.724540901,LGL,0.559196364
LHCL,0.242547102,LHCL,0.024754843
LHL,0.369186739,LHL,0.076656302
LIOC,0.737181015,LIOC,0.529538387
LION,0.298115907,LION,0.299330303
LITE,0.32029573,LITE,-0.17543649
LLUB,0.597901264,LLUB,0.321095431
LMF,0.831624135,LMF,0.350872996
LOFC,1.08538039,LOFC,0.706290361
LOLC,1.81969949,LOLC,1.14565893
LPL,-0.04197471,LPL,-0.04376943
LPRT,1.15120438,LPRT,0.540181774
