Beta Values Q1 2025 (January to March),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.894822888,AAF,0.86538716
AAIC,1.42530167,AAIC,1.24162806
ABAN,1.13561697,ABAN,1.04348113
ABL,0.432931101,ABL,0.395433487
ACAP,0.24180615,ACAP,0.312640635
ACL,0.935305566,ACL,0.765651886
ACME,0.430595562,ACME,0.349636002
AEL,1.41113273,AEL,1.15797485
AFS,1.10175165,AFS,0.976108537
AFSL,0.350330868,AFSL,0.420979483
AGAL,0.980070066,AGAL,0.840172071
AGPL,0.669443363,AGPL,0.640900066
AGST,0.955780459,AGST,0.872336201
AHPL,0.948306734,AHPL,0.907412309
AHUN,1.14838458,AHUN,0.961217736
AINS,0.227792915,AINS,0.267703507
ALLI,1.64102763,ALLI,1.38623428
ALUM,1.17244063,ALUM,1.0212442
AMCL,0,AMCL,0
AMF,1.41276761,AMF,1.15817339
AMSL,0.635655897,AMSL,0.544937127
APLA,0.916309848,APLA,0.754070152
ASCO,1.87917477,ASCO,1.49106551
ASHO,1.11233943,ASHO,0.977432164
ASIR,0.098092643,ASIR,0.058239576
ASIY,1.01416893,ASIY,0.909000661
ASPH,2.84359673,ASPH,2.69781601
ATL,0.377500973,ATL,0.241230972
ATLL,0.333514986,ATLL,0.288219722
AUTO,0.482210977,AUTO,0.409596293
BALA,1.10190735,BALA,0.826075446
BBH,1.08221097,BBH,1.01866313
BERU,0.540988711,BERU,0.477101257
BFL,0.434254573,BFL,0.398477829
BFN,0.93016738,BFN,0.835076108
BIL,1.3707279,BIL,1.24215751
BOGA,1.0003114,BOGA,1.02627399
BOPL,0.698793304,BOPL,0.55148908
BPPL,0.396963799,BPPL,0.394109861
BREW,0.023744647,BREW,0.100727994
BRR,0.402802646,BRR,0.334943745
BRWN,2.01775009,BRWN,1.85195234
BUKI,1.39112495,BUKI,1.15373924
CABO,0.807629427,CABO,0.627862342
CALF,0.219540677,CALF,0.137590999
