Beta Values Q2 2025 (April to June),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.593863636,AAF,0.435731551
AAIC,0.787613636,AAIC,0.595158538
ABAN,0.761875,ABAN,0.628536897
ABL,0.191136363,ABL,0.130598606
ACAP,0.670625,ACAP,0.567680932
ACL,0.938465909,ACL,0.721064979
ACME,0.633863636,ACME,0.371925209
AEL,1.32738636,AEL,1.04180292
AFS,1.3875,AFS,1.08701834
AFSL,-0.03204545,AFSL,0.02904166
AGAL,1.1978409,AGAL,0.900291483
AGPL,0.915340909,AGPL,0.604080762
AGST,0.856590909,AGST,0.646239158
AHPL,0.436363636,AHPL,0.293722451
AHUN,0.444147727,AHUN,0.340288639
AINS,-0.43897727,AINS,-0.24907578
ALLI,1.22835227,ALLI,0.976325892
ALUM,1.11011363,ALUM,0.852125693
AMCL,0,AMCL,0
AMF,0.572897727,AMF,0.425920659
AMSL,0.154204545,AMSL,0.073510592
APLA,0.840625,APLA,0.650789136
ASCO,1.37863636,ASCO,0.998507038
ASHO,0.394261363,ASHO,0.291589648
ASIR,0.501704545,ASIR,0.319849281
ASIY,0.887954545,ASIY,0.634970851
ASPH,1.47647727,ASPH,1.25767808
ATL,0.665170454,ATL,0.496089862
ATLL,-0.3228409,ATLL,-0.23492819
AUTO,0.187215909,AUTO,0.115206881
BALA,1.29125,BALA,0.978209867
BBH,1.05897727,BBH,0.767666714
BERU,0.821647727,BERU,0.531281103
BFL,0.316988636,BFL,0.201052182
BFN,-0.26977272,BFN,-0.2305204
BIL,1.194375,BIL,0.955531067
BOGA,0.720340909,BOGA,0.532702971
BOPL,0.5925,BOPL,0.436193658
BPPL,0.393863636,BPPL,0.274918242
BREW,0.595511363,BREW,0.493423858
BRR,0.580170454,BRR,0.469181003
BRWN,1.82198863,BRWN,1.42943978
BUKI,0.107670454,BUKI,0.101805772
CABO,0.94590909,CABO,0.691525664
CALF,0.004602272,CALF,0.009775344
CALH,0.1325,CALH,0.121143182
CALT,0.759431818,CALT,0.614424854
CARE,0.54,CARE,0.381913834
CARG,0.263068181,CARG,0.149864922
CARS,0.82215909,CARS,0.671477321
CBNK,0.777102272,CBNK,0.632695862
CCS,1.15119318,CCS,0.877399402
CDB,0.559488636,CDB,0.398585241
CERA,0.731363636,CERA,0.618228352
CFI,0.745,CFI,0.592634722
CFIN,1.58835227,CFIN,1.24854258
CFLB,1.03403409,CFLB,0.750675387
CFVF,0.647329545,CFVF,0.489584814
CHL,0.529715909,CHL,0.340786293
CHMX,1.01732954,CHMX,0.77602019
CHOT,0.640568181,CHOT,0.40086023
CIC,0.952556818,CIC,0.717545855
CIND,1.10943181,CIND,0.868583819
CINS,0.23,CINS,0.154059434
CINV,1.33840909,CINV,1.02488269
CIT,0.072613636,CIT,0.082219536
CITH,0.20028409,CITH,0.087764822
CITW,0.613352272,CITW,0.46079198
CLND,0.762386363,CLND,0.499857813
COCO,0.487102272,COCO,0.345194085
COCR,1.0709659,COCR,0.821093416
COLO,1.41681818,COLO,1.12885681
COMB,1.58068181,COMB,1.29020332
COMD,0.280170454,COMD,0.183776482
CONN,1.95323863,CONN,1.56341532
COOP,1.04857954,COOP,0.752843736
CPRT,0.978693181,CPRT,0.669202331
CRL,0.967840909,CRL,0.678693303
CSD,0.917954545,CSD,0.663408218
CSF,-2.771875,CSF,-2.7773709
CSLK,1.63477272,CSLK,1.25174178
CTBL,1.66948863,CTBL,1.31057159
CTC,0.731420454,CTC,0.544006824
CTEA,-0.01704545,CTEA,-0.01492961
CTHR,0.08528409,CTHR,-0.04176738
CTLD,1.40738636,CTLD,1.06878288
CWL,0.76965909,CWL,0.616095549
CWM,0.385965909,CWM,0.274527228
DFCC,1.45704545,DFCC,1.14776766
DIAL,0.462727272,DIAL,0.356888952
DIMO,0.325454545,DIMO,0.203575998
DIPD,1.83039772,DIPD,1.36751741
DIST,1.21522727,DIST,0.927200341
DOCK,0.878920454,DOCK,0.684345229
DPL,0.867727272,DPL,0.701016635
EAST,0.613181818,EAST,0.382873595
EBCR,0.949375,EBCR,0.688468647
ECL,0.393863636,ECL,0.291802929
EDEN,0.888977272,EDEN,0.685056163
ELPL,0.727045454,ELPL,0.574683634
EMER,0.842272727,EMER,0.62850135
EML,1.30261363,EML,1.00622067
ETWO,0.394147727,ETWO,0.359910422
EXT,0.35653409,EXT,0.24178871
FCT,0.260795454,FCT,0.202225223
GEST,0.289829545,GEST,0.237985212
GHLL,1.01017045,GHLL,0.777335418
GLAS,0.665454545,GLAS,0.457201763
GRAN,0.864204545,GRAN,0.610763543
GREG,0.639602272,GREG,0.502381629
GUAR,0.933636363,GUAR,0.701798663
HAPU,0.781931818,HAPU,0.651997725
HARI,-0.04875,HARI,-0.01962178
HASU,0.690227272,HASU,0.529006114
HAYC,0.736875,HAYC,0.54016778
HAYL,1.46340909,HAYL,1.14272003
HBS,0.298863636,HBS,0.232155552
HDFC,1.54295454,HDFC,1.23528366
HELA,0.858636363,HELA,0.684558509
HEXP,0.103465909,HEXP,0.055204038
HHL,2.57795454,HHL,1.85113038
HNB,1.4115909,HNB,1.16884686
HNBF,1.35829545,HNBF,0.978743068
HOPL,0.692670454,HOPL,0.545002132
HPFL,1.12204545,HPFL,0.862114318
HPL,0.639431818,HPL,0.49761837
HPWR,0.725397727,HPWR,0.547277122
HSIG,0.917727272,HSIG,0.698883833
HUNA,0.161647727,HUNA,0.082041802
HUNT,0.007840909,HUNT,0.002701549
HVA,0.06153409,HVA,-0.02239442
JAT,1.47198863,JAT,1.12117872
JETS,0.586988636,JETS,0.393146594
JINS,1.09551136,JINS,0.843132375
JKH,1.05818181,JKH,0.862114318
JKL,0.748011363,JKL,0.581401962
KAHA,0.741363636,KAHA,0.567112185
