Beta Values Q3 2025 (July to September),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.7754329,AAF,0.59725725
AAIC,1.04843073,AAIC,0.674337957
ABAN,1.49756493,ABAN,0.869010088
ABL,1.21996753,ABL,1.04539722
ACAP,0.041125541,ACAP,0.197824716
ACL,1.04951298,ACL,0.577711223
ACME,0.397727272,ACME,0.029161412
AEL,1.29031385,AEL,0.915983606
AFS,-0.64637445,AFS,-0.88965952
AFSL,-0.10091991,AFSL,-0.27947667
AGAL,0.720508658,AGAL,0.522068095
AGPL,0.246482683,AGPL,0.090163934
AGST,0.310064935,AGST,0.115699873
AHPL,0.419913419,AHPL,0.399117276
AHUN,-0.03165584,AHUN,-0.06651954
AINS,2.12797619,AINS,1.20728247
ALLI,1.05573593,ALLI,0.342213114
ALUM,1.39420995,ALUM,0.73076923
AMCL,0,AMCL,0
AMF,0.970508658,AMF,0.666456494
AMSL,1.25622294,AMSL,0.776008827
APLA,0.899080086,APLA,0.598203026
ASCO,2.25784632,ASCO,1.62310844
ASHO,2.61174242,ASHO,1.68852459
ASIR,1.9970238,ASIR,1.27206809
ASIY,0.886363636,ASIY,0.172131147
ASPH,1.23538961,ASPH,0.471784363
ATL,1.94561688,ATL,1.55327868
ATLL,1.84199134,ATLL,1.81746532
AUTO,1.0064935,AUTO,0.665668348
BALA,0.735660173,BALA,0.586538461
BBH,1.31304112,BBH,0.665668348
BERU,0.819534632,BERU,0.332282471
BFL,1.6271645,BFL,0.82613493
BFN,1.67099567,BFN,1.12358133
BIL,0.272186147,BIL,0.171973518
BOGA,0.110930735,BOGA,-0.49369482
BOPL,0.179924242,BOPL,-0.10198612
BPPL,0.637445887,BPPL,0.488177805
BREW,0.10064935,BREW,0.072194199
BRR,-0.05627705,BRR,-0.19435687
BRWN,0.866071428,BRWN,0.636822194
BUKI,0.970238095,BUKI,0.547919293
CABO,1.9142316,CABO,0.702711223
CALF,-0.58333333,CALF,-0.28294451
CALH,0.93560606,CALH,0.714848675
CALT,1.42153679,CALT,1.0576923
CARE,-0.23051948,CARE,-0.14423076
CARG,0.39556277,CARG,-0.04082597
CARS,1.88988095,CARS,1.21737074
CBNK,0.606601731,CBNK,0.53389029
CCS,0.313582251,CCS,0.143284993
CDB,0.930465367,CDB,0.402900378
CERA,-0.27326839,CERA,-0.21563682
CFI,0.975378787,CFI,0.970523329
CFIN,0.717532467,CFIN,0.321721311
CFLB,1.12472943,CFLB,0.675283732
CFVF,1.70508658,CFVF,1.26229508
CHL,1.03327922,CHL,0.856242118
CHMX,1.13582251,CHMX,0.665983606
CHOT,1.57873376,CHOT,0.911097099
CIC,1.00487012,CIC,0.502679697
CIND,0.516774891,CIND,0.221153846
CINS,0.375270562,CINS,0.130832282
CINV,1.7310606,CINV,1.02979192
CIT,1.66774891,CIT,1.10167087
CITH,0.617965367,CITH,0.005832282
CITW,-0.53814935,CITW,-0.36995586
CLND,0.577651515,CLND,0.070933165
COCO,0.8125,COCO,0.408417402
COCR,1.60335497,COCR,1.03089533
COLO,-0.19642857,COLO,-0.61680327
COMB,1.52462121,COMB,1.35261664
COMD,1.35551948,COMD,0.768127364
CONN,0.724025974,CONN,0.258827238
COOP,-0.01866883,COOP,-0.342686
CPRT,1.95319264,CPRT,1.38193568
CRL,0.146103896,CRL,0.133827238
CSD,0.864718614,CSD,0.501103404
CSLK,2.07521645,CSLK,1.24858133
CTBL,-0.49080086,CTBL,-0.54129886
CTC,0.630411255,CTC,0.337484237
CTEA,-0.01758658,CTEA,-0.03152585
CTHR,0.031114718,CTHR,-0.38571878
CTLD,1.26975108,CTLD,0.914722572
CWL,0.940205627,CWL,0.549180327
CWM,0.310876623,CWM,0.16724464
DFCC,2.06277056,DFCC,1.62121689
DIAL,0.730248917,DIAL,0.305958385
DIMO,1.2637987,DIMO,0.401166456
DIPD,1.28760822,DIPD,0.852459016
DIST,0.873647186,DIST,0.426702395
DOCK,1.83252164,DOCK,0.259457755
DPL,0.821699134,DPL,0.457282471
EAST,2.08739177,EAST,1.43001261
EBCR,1.07927489,EBCR,0.720523329
ECL,1.76109307,ECL,0.95964691
EDEN,0.839826839,EDEN,0.424337957
ELPL,0.963474025,ELPL,0.521437578
EMER,0.992424242,EMER,0.671658259
EML,-0.13014069,EML,0.066834804
ETWO,0.309794372,ETWO,-0.08275535
EXT,0.818722943,EXT,0.635718789
FCT,1.59686147,FCT,1.35435056
GEST,-0.50027056,GEST,-0.34047919
GHLL,0.444805194,GHLL,0.257723833
GLAS,0.113636363,GLAS,0.030580075
GRAN,1.40232683,GRAN,0.840636822
GREG,1.21672077,GREG,0.659047919
GUAR,1.51217532,GUAR,0.839533417
HAPU,0.801677489,HAPU,0.222887767
HARI,-0.30113636,HARI,-0.24889659
HASU,0.956168831,HASU,0.746532156
HAYC,0.637445887,HAYC,0.440258511
HAYL,0.9004329,HAYL,0.815731399
HBS,0.3125,HBS,0.183165195
HDFC,1.64069264,HDFC,1.38556116
HELA,1.10064935,HELA,0.771910466
HEXP,2.75189393,HEXP,1.33480453
HHL,0.688041125,HHL,0.443726355
HNB,1.32278138,HNB,1.12105926
HNBF,1.43722943,HNBF,0.747635561
HOPL,0.747835497,HOPL,0.519861286
HPFL,0.920725108,HPFL,0.697982345
HPL,0.045725108,HPL,-0.30170239
HPWR,-0.26488095,HPWR,-0.26119167
HSIG,1.67261904,HSIG,1.05627364
HUNA,0.685335497,HUNA,0.470050441
HUNT,0.884740259,HUNT,0.833543505
HVA,0.413690476,HVA,0.293505674
JAT,0.613095238,JAT,0.002994955
JETS,1.1845238,JETS,0.250315258
JFP,0,JFP,0
