Beta Values Q4 2025 (October to December),,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON S&P SL20"
AAF,0.528931642,AAF,0.157717582
AAIC,0.878734878,AAIC,0.86087514
ABAN,1.31059612,ABAN,1.17534861
ABL,1.1246174,ABL,1.10979323
ACL,-0.19486955,ACL,0.605064914
ACME,0.239760967,ACME,0.267350536
AEL,0.406209007,AEL,0.442218304
AFS,1.94169946,AFS,1.89918256
AFSL,2.16484477,AFSL,2.04760378
AGAL,1.44308409,AGAL,1.18640807
AGPL,1.0062673,AGPL,0.915531335
AGST,1.41116455,AGST,1.27440294
AHPL,0.952193557,AHPL,0.841481006
AHUN,1.47281737,AHUN,1.28530213
AINS,0.449351406,AINS,0.739701875
ALLI,0.927270077,ALLI,0.847732008
ALUM,0.917067482,ALUM,0.678634396
AMCL,0,AMCL,0
AMF,1.20784142,AMF,1.27135758
AMSL,0.897974056,AMSL,0.880269273
APLA,0.114414808,APLA,1.87914729
ASCO,1.70295875,ASCO,1.46594005
ASHO,1.20973619,ASHO,0.884276326
ASIR,0.357090803,ASIR,0.177913127
ASIY,1.54817082,ASIY,1.53454079
ASPH,1.41568284,ASPH,0.314633755
ATL,2.12374289,ATL,2.10658759
ATLL,1.02229995,ATLL,0.834268312
AUTO,-0.37035417,AUTO,-0.95223593
BALA,0.611281154,BALA,0.283058182
BERU,0.578924355,BERU,0.39685847
BFL,-0.53505319,BFL,-0.90046481
BFN,1.2222708,BFN,1.03237698
BIL,1.05902929,BIL,0.870492066
BOGA,3.92071126,BOGA,4.52428273
BOPL,0.529368896,BOPL,0.718063792
BPPL,0.562745955,BPPL,0.127103702
BREW,0.090948841,BREW,0.045199551
BRR,1.24486226,BRR,1.05080942
BRWN,1.07855997,BRWN,0.955601859
BUKI,1.58285964,BUKI,1.40407116
CABO,1.60501384,CABO,1.43628786
CALF,1.83267745,CALF,2.10883154
CALH,0.703687509,CALH,0.730565795
CALT,0.533449934,CALT,0.706683763
CARE,0.563474712,CARE,0.569001442
CARG,0.259874653,CARG,0.141208527
CARS,0.811543506,CARS,0.627344125
CBNK,0.790409561,CBNK,0.546882513
CCS,0.443084098,CCS,0.413367526
CDB,0.229704124,CDB,0.270876743
CERA,0.334207841,CERA,0.284340439
CFI,1.16819705,CFI,1.19346049
CFIN,0.908759656,CFIN,0.950152267
CFLB,0.757469756,CFLB,0.574290751
CFVF,1.13496574,CFVF,1.29491905
CHL,0.51683428,CHL,0.414008655
CHMX,1.0817665,CHMX,1.16749479
CHOT,2.09313511,CHOT,2.00721269
CIC,1.08380702,CIC,1.49174547
CIND,0.429966477,CIND,0.300368648
CINS,1.45795073,CINS,1.04359673
CINV,2.16367876,CINV,2.03910883
CIT,2.10596123,CIT,2.00048084
CITH,1.64232619,CITH,1.31880108
CITW,0.538696982,CITW,0.582465138
CLND,1.11324879,CLND,0.980605866
COCO,1.4766069,COCO,2.3383555
COCR,1.61026089,COCR,1.39188972
COLO,-0.57965311,COLO,0.884917454
COMB,0.985570616,COMB,1.05032857
COMD,0.192829033,COMD,0.30581824
CONN,1.7249672,CONN,1.39317198
COOP,2.65398629,COOP,2.3598333
CPRT,0.426614196,CPRT,-0.03349895
CRL,1.20448914,CRL,1.05241224
CSD,1.29558373,CSD,1.2998878
CSLK,1.22066754,CSLK,1.12902708
CTBL,0.299081766,CTBL,0.10786985
CTC,0.200408103,CTC,0.164289148
CTEA,-0.07914298,CTEA,-0.13095047
CTHR,-0.00393528,CTHR,0.111396057
CTLD,2.01865617,CTLD,1.52877063
CWL,0.801923917,CWL,0.397018753
CWM,0.615070689,CWM,0.430998557
DFCC,1.10829325,DFCC,1.12838595
DIAL,0.961375892,DIAL,1.08094245
DIMO,1.26278968,DIMO,0.873216861
DIPD,0.895642034,DIPD,0.83490944
DIST,1.19166302,DIST,1.26270235
DOCK,9.19676432,DOCK,8.02276005
DPL,0.779915464,DPL,0.842923545
EAST,1.38959335,EAST,1.39365282
EBCR,0.723946946,EBCR,0.647539669
ECL,1.0332313,ECL,1.46257413
EDEN,0.973910508,EDEN,0.837634236
ELPL,1.17358985,ELPL,1.00657156
EMER,1.85395714,EMER,1.89453438
EML,-0.03818685,EML,0.293316236
ETWO,1.2435505,ETWO,1.11347972
EXT,1.8492931,EXT,1.32986055
FCT,0.691590147,FCT,0.514505529
GEST,1.16601078,GEST,1.58887642
GHLL,1.09969392,GHLL,1.13095047
GLAS,0.481562454,GLAS,0.407597371
GRAN,0.865908759,GRAN,0.68119891
GREG,0.998542486,GREG,0.90751723
GUAR,1.67001894,GUAR,1.62493989
HAPU,0.227372103,HAPU,0.286263824
HARI,1.76723509,HARI,1.34973553
HASU,1.35505028,HASU,1.26702997
HAYC,0.746829908,HAYC,0.731046642
HAYL,0.769275615,HAYL,0.769033498
HBS,0.89841131,HBS,1.41705401
HDFC,1.87858912,HDFC,1.48902067
HELA,0.898848564,HELA,0.930277288
HEXP,1.50969246,HEXP,1.12950793
HHL,0.607491619,HHL,0.592082064
HNB,0.915026963,HNB,1.10338195
HNBF,0.98819414,HNBF,0.734893412
HOPL,0.337851625,HOPL,0.050328578
HPFL,0.63576738,HPFL,0.48629588
HPL,0.953942573,HPL,0.852540471
HPWR,0.732692027,HPWR,0.589196986
HSIG,1.39615216,HSIG,1.24635358
HUNA,1.53315843,HUNA,1.46225356
HUNT,1.2603119,HUNT,0.893252123
HVA,1.58038186,HVA,1.75989741
INME,-12.47238,INME,-13.063151
JAT,1.70529077,JAT,1.42939573
JETS,1.83107418,JETS,1.60089757
JFP,0.806004955,JFP,0.657958006
JINS,1.85599766,JINS,1.69450232
JKH,0.652528785,JKH,0.95415932
JKL,0.655443812,JKL,0.639205
KAHA,0.279842588,KAHA,0.232569322
KCAB,-0.82291211,KCAB,0.881872094
KFP,0.213817227,KFP,0.154992787
KGAL,0.613904678,KGAL,0.683442859
KHC,2.17461011,KHC,2.15707645
KHL,1.37793324,KHL,1.13271357
KOTA,1.6491765,KOTA,1.67206283
KPHL,0.665209153,KPHL,0.24394935
KVAL,0.457804984,KVAL,0.397980445
KZOO,1.58810668,KZOO,1.70668376
LALU,0.668269931,LALU,0.510338195
LAMB,1.05188747,LAMB,1.95239621
LCBF,3.1030462,LCBF,2.59512742
LCEY,0.370937181,LCEY,-0.28530213
LDEV,1.24981781,LDEV,1.08911684
LFIN,1.10989651,LFIN,1.19313992
LGIL,0.870864305,LGIL,0.854624138
LGL,1.99883398,LGL,1.97948389
LHCL,0.59029296,LHCL,0.587273601
LHL,0.35898557,LHL,0.136560346
LIOC,0.379099256,LIOC,0.288026927
LION,0.542486518,LION,0.516589196
LITE,1.7408541,LITE,1.43067799
LLUB,0.43463052,LLUB,0.482769674
LMF,1.29616673,LMF,1.29331623
LOFC,0.985424865,LOFC,1.00480846
LOLC,0.343098673,LOLC,0.390767751
LPL,0.873779332,LPL,0.682641448
LPRT,0.869698294,LPRT,0.793877223
LUMX,-0.16134674,LUMX,-0.2649463
LVEF,1.53038915,LVEF,1.43708927
LVEN,1.74799591,LVEN,1.37089277
LWL,0.89622504,LWL,0.836191697
MADU,0.351260749,MADU,0.15980125
MAL,0.034251566,MAL,-0.23769834
MARA,1.17169508,MARA,1.00192338
MASK,0.761259291,MASK,0.362878666
MBSL,1.93980469,MBSL,1.58326654
MCPL,1.75368022,MCPL,1.90190735
MDL,2.53228392,MDL,2.20211572
MEL,1.34324442,MEL,1.18753005
MELS,0.748578924,MELS,0.751883314
MERC,1.37035417,MERC,0.597371373
MFPE,0.352281008,MFPE,0.368167975
MGT,0.815770295,MGT,0.740022439
MHDL,1.19676432,MHDL,1.11460169
MRH,0.43142399,MRH,0.254527969
MSL,-0.17052907,MSL,-0.09889405
MULL,1.82320361,MULL,1.9148902
NAMU,0.737793324,NAMU,0.706683763
NDB,1.40343973,NDB,1.56739862
NEH,-0.26672496,NEH,-0.39397339
NHL,0.945051741,NHL,0.852700753
NTB,0.755866491,NTB,0.837634236
ODEL,0.800320652,ODEL,0.709408559
OFEQ,-0.55370937,OFEQ,-0.8674467
ONAL,1.57863285,ONAL,1.13736175
OSEA,1.34441043,OSEA,1.23321045
PABC,1.35082349,PABC,1.38515787
PACK,0.404314239,PACK,0.495111396
PALM,1.5628917,PALM,1.69818881
PAP,1.43040373,PAP,0.981888123
PARA,0.948404022,PARA,0.752043596
PARQ,0.666666666,PARQ,0.578458086
PEG,0.557790409,PEG,0.550408719
PHAR,1.13875528,PHAR,1.14633755
PINS,1.28625564,PINS,1.16893732
PKME,0.850167614,PKME,0.847411444
PLC,1.39265413,PLC,1.27408238
PLR,1.0389156,PLR,1.11860875
PMB,1.1950153,PMB,1.20900785
RAL,1.28902492,RAL,1.85895175
RCH,1.23582568,RCH,1.26654912
RCL,1.12592916,RCL,1.12502003
REEF,1.58431715,REEF,1.44109632
RENU,1.63999416,RENU,1.65507292
REXP,0.25623087,REXP,0.393332264
RFL,1.63707914,RFL,1.62702356
RGEM,2.8277219,RGEM,2.70492066
RHL,1.58664917,RHL,1.88427632
RHTL,1.66433464,RHTL,1.65587433
RICH,1.62847981,RICH,1.89581663
RIL,1.82495263,RIL,1.81727841
RPBH,0.886313948,RPBH,0.905754127
RWSL,1.94417723,RWSL,1.89661804
SAMP,1.16878006,SAMP,1.36592402
SCAP,0.820142836,SCAP,0.980766148
SDB,1.48054219,SDB,1.6489822
SDF,1.59306223,SDF,1.3563071
SEMB,3.61725695,SEMB,3.21814393
SERV,1.61186415,SERV,1.51658919
SEYB,0.954379828,SEYB,0.994229844
SFCL,2.13802652,SFCL,1.70844686
SFIN,2.04226789,SFIN,1.72864241
SHAW,1.0113686,SHAW,0.777047603
SHL,1.06354758,SHL,1.1091521
SHOT,2.1198076,SHOT,2.10177913
SIGV,0.199533595,SIGV,-0.50825452
SIL,1.09007433,SIL,0.972431479
SINH,1.28348637,SINH,1.09136079
SINS,0.895059029,SINS,0.770315755
SIRA,1.41932662,SIRA,1.10498477
SLND,-0.06369333,SLND,0.527167815
SLTL,1.56099693,SLTL,2.11219746
SMOT,0.916484477,SMOT,0.238660041
SOY,-0.12505465,SOY,-0.15130629
SPEN,0.613321673,SPEN,0.598333066
STAF,1.65631832,STAF,1.43981407
SUN,1.57061652,SUN,1.38291392
SWAD,0,SWAD,0
TAFL,0.996356216,TAFL,0.825613079
TAJ,1.68503133,TAJ,1.56066677
TANG,0.391196618,TANG,0.344446225
TAP,1.71126657,TAP,1.55329379
TESS,0.743040373,TESS,0.881391248
TILE,0.463489287,TILE,0.377784901
TJL,0.516980032,TJL,0.549607308
TKYO,0.12330564,TKYO,0.25997756
TPL,0.868532283,TPL,0.804616124
TRAN,0.481270951,TRAN,0.368007693
TSML,0.967497449,TSML,0.676711011
TYRE,0.270514502,TYRE,0.253405994
UAL,0.589126949,UAL,0.617406635
UBC,0.960209881,UBC,0.747395415
UBF,2.32968954,UBF,1.72431479
UCAR,1.22329106,UCAR,1.25741304
UDPL,1.89884856,UDPL,1.66949831
UML,0.590001457,UML,0.429235454
VFIN,1.45853374,VFIN,1.36736656
VLL,0.752951464,VLL,0.588075012
VONE,1.36496137,VONE,1.48565475
VPEL,1.14939513,VPEL,1.15499278
WAPO,1.9895059,WAPO,1.78474114
WATA,1.74887042,WATA,1.5173906
WIND,1.10639848,WIND,0.777207885
WLTH,0,WLTH,0
YORK,0.25156682,YORK,0.108991825
