Daily High Low and Closing Share Prices - 2011,,,,,,,,,,
Company Id :  AAIC,,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2011-01-03 00:00:00,2011-01-03 00:00:00,81,2011-01-03 00:00:00,80.2,80.8,7,1600,129270,2011-01-03 00:00:00,1
2011-01-04 00:00:00,2011-01-04 00:00:00,80,2011-01-04 00:00:00,80,80,3,300,24000,2011-01-04 00:00:00,1
2011-01-05 00:00:00,2011-01-05 00:00:00,83,2011-01-05 00:00:00,73.6,82.2,33,24300,1976350,2011-01-05 00:00:00,1
2011-01-06 00:00:00,2011-01-06 00:00:00,93,2011-01-06 00:00:00,75,92.7,94,49100,4193890,2011-01-06 00:00:00,1
2011-01-07 00:00:00,2011-01-07 00:00:00,103.5,2011-01-07 00:00:00,93.4,101.5,74,37800,3723940,2011-01-07 00:00:00,1
2011-01-10 00:00:00,2011-01-10 00:00:00,112.5,2011-01-10 00:00:00,100,109.4,32,22800,2389120,2011-01-10 00:00:00,1
2011-01-11 00:00:00,2011-01-11 00:00:00,132.5,2011-01-11 00:00:00,109.2,127.8,60,34800,4334650,2011-01-11 00:00:00,1
2011-01-12 00:00:00,2011-01-12 00:00:00,149.9,2011-01-12 00:00:00,127,145.2,31,21300,2934920,2011-01-12 00:00:00,1
2011-01-13 00:00:00,2011-01-13 00:00:00,186.1,2011-01-13 00:00:00,133.1,181.1,100,91100,15315040,2011-01-13 00:00:00,1
2011-01-14 00:00:00,2011-01-14 00:00:00,202,2011-01-14 00:00:00,150,180.8,29,7000,1290650,2011-01-14 00:00:00,1
2011-01-17 00:00:00,2011-01-17 00:00:00,185,2011-01-17 00:00:00,182,184.7,3,1100,203200,2011-01-17 00:00:00,1
2011-01-18 00:00:00,2011-01-18 00:00:00,185,2011-01-18 00:00:00,179.9,180,6,5400,973370,2011-01-18 00:00:00,1
2011-01-20 00:00:00,2011-01-20 00:00:00,179.8,2011-01-20 00:00:00,179,179.4,2,200,35880,2011-01-20 00:00:00,1
2011-01-21 00:00:00,2011-01-21 00:00:00,180,2011-01-21 00:00:00,162,180,24,6800,1216590,2011-01-21 00:00:00,1
2011-01-24 00:00:00,2011-01-24 00:00:00,181,2011-01-24 00:00:00,175,180.3,5,9100,1640990,2011-01-24 00:00:00,1
2011-01-26 00:00:00,2011-01-26 00:00:00,126,2011-01-26 00:00:00,126,126,1,100,12600,2011-01-26 00:00:00,1
2011-01-31 00:00:00,2011-01-31 00:00:00,175,2011-01-31 00:00:00,169,169.9,6,600800,90135900,2011-01-31 00:00:00,1
2011-02-01 00:00:00,2011-02-01 00:00:00,175,2011-02-01 00:00:00,170,171.1,10,2900,496300,2011-02-01 00:00:00,1
2011-02-02 00:00:00,2011-02-02 00:00:00,171.1,2011-02-02 00:00:00,171.1,171.1,1,300,51330,2011-02-02 00:00:00,1
2011-02-03 00:00:00,2011-02-03 00:00:00,163.5,2011-02-03 00:00:00,163.5,163.5,1,100,16350,2011-02-03 00:00:00,1
2011-02-07 00:00:00,2011-02-07 00:00:00,150,2011-02-07 00:00:00,150,150,2,600,90000,2011-02-07 00:00:00,1
2011-02-08 00:00:00,2011-02-08 00:00:00,170,2011-02-08 00:00:00,150,160,10,7000,1118810,2011-02-08 00:00:00,1
2011-02-09 00:00:00,2011-02-09 00:00:00,160,2011-02-09 00:00:00,160,160,1,500,80000,2011-02-09 00:00:00,1
2011-02-10 00:00:00,2011-02-10 00:00:00,160,2011-02-10 00:00:00,159,159.5,2,400,63800,2011-02-10 00:00:00,1
2011-02-11 00:00:00,2011-02-11 00:00:00,165,2011-02-11 00:00:00,150,160,13,3800,592500,2011-02-11 00:00:00,1
2011-02-14 00:00:00,2011-02-14 00:00:00,160,2011-02-14 00:00:00,155,155,3,3300,522500,2011-02-14 00:00:00,1
2011-02-15 00:00:00,2011-02-15 00:00:00,165,2011-02-15 00:00:00,155,161.8,4,1600,258880,2011-02-15 00:00:00,1
