DAILY HIGH LOW AND CLOSING PRICE OF 02ND JANUARY TO 31ST DECEMBER 2012,,,,,,,,,,
Company Id,:  AAF,Security,Type :  N,Sub Type,:  0000,,,,,
Short Name,:  ASIA ASSET,,,,,,,,,
Day,Date High,High (Rs.),Date Low,Low (Rs.),Closing (Rs.),Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Traded 
2012-01-12 00:00:00,2012-01-12 00:00:00,4.3,2012-01-12 00:00:00,3,4.2,2428,38538200,144153480,2012-01-12 00:00:00,1
2012-01-13 00:00:00,2012-01-13 00:00:00,6.3,2012-01-13 00:00:00,4.5,5.8,3132,40938200,226636450,2012-01-13 00:00:00,1
2012-01-17 00:00:00,2012-01-17 00:00:00,8.7,2012-01-17 00:00:00,6.3,8.5,3625,45760300,365896240,2012-01-17 00:00:00,1
2012-01-18 00:00:00,2012-01-18 00:00:00,8.9,2012-01-18 00:00:00,5.2,5.5,2628,21117600,152660190,2012-01-18 00:00:00,1
2012-01-19 00:00:00,2012-01-19 00:00:00,7.5,2012-01-19 00:00:00,4.7,7.1,3231,23529800,156061890,2012-01-19 00:00:00,1
2012-01-20 00:00:00,2012-01-20 00:00:00,8.7,2012-01-20 00:00:00,6,6.2,1955,23947200,159884800,2012-01-20 00:00:00,1
2012-01-23 00:00:00,2012-01-23 00:00:00,6.4,2012-01-23 00:00:00,5.6,5.9,867,5991400,35911810,2012-01-23 00:00:00,1
2012-01-24 00:00:00,2012-01-24 00:00:00,6.2,2012-01-24 00:00:00,5.6,6.1,808,7611400,46157340,2012-01-24 00:00:00,1
2012-01-25 00:00:00,2012-01-25 00:00:00,6.7,2012-01-25 00:00:00,6.1,6.5,860,8396900,53833420,2012-01-25 00:00:00,1
2012-01-26 00:00:00,2012-01-26 00:00:00,7.1,2012-01-26 00:00:00,6.7,7.1,1040,11050700,77488520,2012-01-26 00:00:00,1
2012-01-27 00:00:00,2012-01-27 00:00:00,7.5,2012-01-27 00:00:00,6.8,7.1,1414,14803100,106549120,2012-01-27 00:00:00,1
2012-01-30 00:00:00,2012-01-30 00:00:00,7.1,2012-01-30 00:00:00,6.4,6.7,476,2977900,20158930,2012-01-30 00:00:00,1
2012-01-31 00:00:00,2012-01-31 00:00:00,6.9,2012-01-31 00:00:00,6.5,6.6,314,1564800,10332830,2012-01-31 00:00:00,1
2012-02-01 00:00:00,2012-02-01 00:00:00,6.8,2012-02-01 00:00:00,6.1,6.2,304,1825100,11416690,2012-02-01 00:00:00,1
2012-02-02 00:00:00,2012-02-02 00:00:00,6.7,2012-02-02 00:00:00,5.9,6,863,6196200,38639160,2012-02-02 00:00:00,1
2012-02-03 00:00:00,2012-02-03 00:00:00,6.1,2012-02-03 00:00:00,5.8,5.9,91,260500,1542780,2012-02-03 00:00:00,1
2012-02-06 00:00:00,2012-02-06 00:00:00,5.9,2012-02-06 00:00:00,5.5,5.7,145,758600,4302670,2012-02-06 00:00:00,1
2012-02-08 00:00:00,2012-02-08 00:00:00,5.6,2012-02-08 00:00:00,4.9,5.1,714,8883500,46406030,2012-02-08 00:00:00,1
2012-02-09 00:00:00,2012-02-09 00:00:00,5.1,2012-02-09 00:00:00,4.6,4.9,229,1177100,5592000,2012-02-09 00:00:00,1
2012-02-13 00:00:00,2012-02-13 00:00:00,4.7,2012-02-13 00:00:00,3.9,4,509,4508900,18691460,2012-02-13 00:00:00,1
2012-02-14 00:00:00,2012-02-14 00:00:00,4.1,2012-02-14 00:00:00,3.6,3.7,305,1768500,6862220,2012-02-14 00:00:00,1
2012-02-15 00:00:00,2012-02-15 00:00:00,4.2,2012-02-15 00:00:00,3.5,3.8,253,1520400,5806030,2012-02-15 00:00:00,1
2012-02-16 00:00:00,2012-02-16 00:00:00,4.7,2012-02-16 00:00:00,3.8,4.4,543,4344800,18538940,2012-02-16 00:00:00,1
2012-02-17 00:00:00,2012-02-17 00:00:00,5,2012-02-17 00:00:00,4.2,4.5,782,6317000,29217730,2012-02-17 00:00:00,1
2012-02-21 00:00:00,2012-02-21 00:00:00,4.5,2012-02-21 00:00:00,4.1,4.2,115,332000,1404650,2012-02-21 00:00:00,1
2012-02-22 00:00:00,2012-02-22 00:00:00,4.6,2012-02-22 00:00:00,4.3,4.4,178,872000,3885190,2012-02-22 00:00:00,1
2012-02-23 00:00:00,2012-02-23 00:00:00,4.8,2012-02-23 00:00:00,4.2,4.6,363,4166700,19110940,2012-02-23 00:00:00,1
