"DAILY HIGH, LOW AND CLOSING PRICE OF 02ND JANUARY TO 31st DECEMBER 2014",,,,,,,,,,
ASIA ASSET FINANCE PLC,,,,,,,,,,
Company Id :,AAF,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name :,ASIA ASSET,,,,,,,,,
Day,Date High,High (Rs.),Date Low,Low (Rs.),Closing (Rs.),Trades (No.),Shares (No.),Turnover (Rs.),Last Traded,Days Traded
2014-01-02 00:00:00,2014-01-02 00:00:00,2.1,2014-01-02 00:00:00,1.9,2,298,4594610,9073093.5,2014-01-02 00:00:00,1
2014-01-03 00:00:00,2014-01-03 00:00:00,2,2014-01-03 00:00:00,1.9,1.9,23,79594,156084.6,2014-01-03 00:00:00,1
2014-01-06 00:00:00,2014-01-06 00:00:00,1.9,2014-01-06 00:00:00,1.9,1.9,37,286997,545294.3,2014-01-06 00:00:00,1
2014-01-07 00:00:00,2014-01-07 00:00:00,2,2014-01-07 00:00:00,1.8,1.9,20,55004,102367.7,2014-01-07 00:00:00,1
2014-01-08 00:00:00,2014-01-08 00:00:00,2,2014-01-08 00:00:00,1.9,1.9,8,56600,107670,2014-01-08 00:00:00,1
2014-01-09 00:00:00,2014-01-09 00:00:00,2,2014-01-09 00:00:00,1.7,1.8,497,10402858,19408679,2014-01-09 00:00:00,1
2014-01-10 00:00:00,2014-01-10 00:00:00,1.8,2014-01-10 00:00:00,1.7,1.8,122,709313,1270001.8,2014-01-10 00:00:00,1
2014-01-13 00:00:00,2014-01-13 00:00:00,1.9,2014-01-13 00:00:00,1.8,1.8,182,1777697,3199854.7,2014-01-13 00:00:00,1
2014-01-16 00:00:00,2014-01-16 00:00:00,1.9,2014-01-16 00:00:00,1.8,1.8,87,885690,1594280.6,2014-01-16 00:00:00,1
2014-01-17 00:00:00,2014-01-17 00:00:00,1.9,2014-01-17 00:00:00,1.8,1.8,166,1663206,3052640.8,2014-01-17 00:00:00,1
2014-01-20 00:00:00,2014-01-20 00:00:00,1.9,2014-01-20 00:00:00,1.8,1.8,87,438397,792836.4,2014-01-20 00:00:00,1
2014-01-21 00:00:00,2014-01-21 00:00:00,1.9,2014-01-21 00:00:00,1.7,1.8,70,1961707,3531183.5,2014-01-21 00:00:00,1
2014-01-22 00:00:00,2014-01-22 00:00:00,1.9,2014-01-22 00:00:00,1.8,1.8,78,720887,1298796.9,2014-01-22 00:00:00,1
2014-01-23 00:00:00,2014-01-23 00:00:00,2,2014-01-23 00:00:00,1.8,1.9,276,5467309,10379088,2014-01-23 00:00:00,1
2014-01-24 00:00:00,2014-01-24 00:00:00,2.1,2014-01-24 00:00:00,1.9,2,454,7718078,15423653.5,2014-01-24 00:00:00,1
2014-01-27 00:00:00,2014-01-27 00:00:00,2.1,2014-01-27 00:00:00,1.9,2,114,2337691,4645040.2,2014-01-27 00:00:00,1
2014-01-28 00:00:00,2014-01-28 00:00:00,2,2014-01-28 00:00:00,2,2,6,18050,36100,2014-01-28 00:00:00,1
2014-01-29 00:00:00,2014-01-29 00:00:00,2,2014-01-29 00:00:00,1.9,2,18,127520,254340,2014-01-29 00:00:00,1
2014-01-30 00:00:00,2014-01-30 00:00:00,2,2014-01-30 00:00:00,1.8,1.9,98,2250313,4274754.7,2014-01-30 00:00:00,1
2014-01-31 00:00:00,2014-01-31 00:00:00,2,2014-01-31 00:00:00,1.9,1.9,64,2207696,4197176.3,2014-01-31 00:00:00,1
2014-02-03 00:00:00,2014-02-03 00:00:00,2,2014-02-03 00:00:00,1.9,1.9,36,972585,1866331.5,2014-02-03 00:00:00,1
2014-02-05 00:00:00,2014-02-05 00:00:00,1.9,2014-02-05 00:00:00,1.8,1.9,49,850319,1615106.1,2014-02-05 00:00:00,1
2014-02-06 00:00:00,2014-02-06 00:00:00,1.9,2014-02-06 00:00:00,1.8,1.8,111,4204329,7569410,2014-02-06 00:00:00,1
2014-02-07 00:00:00,2014-02-07 00:00:00,1.9,2014-02-07 00:00:00,1.8,1.8,75,373718,672887.6,2014-02-07 00:00:00,1
2014-02-10 00:00:00,2014-02-10 00:00:00,1.9,2014-02-10 00:00:00,1.7,1.7,118,20738744,35299748.8,2014-02-10 00:00:00,1
2014-02-11 00:00:00,2014-02-11 00:00:00,1.8,2014-02-11 00:00:00,1.7,1.7,42,797612,1362491.6,2014-02-11 00:00:00,1
