"DAILY HIGH, LOW AND CLOSING PRICE OF 02ND JANUARY TO31ST DECEMBER 2018",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,02-JAN-18,      1.50,      1.50,      1.50,      1.50,1,500,750
AAF,N,0000,ASIA ASSET,04-JAN-18,      1.50,      1.40,      1.40,      1.40,8,100105,140147.5
AAF,N,0000,ASIA ASSET,05-JAN-18,      1.50,      1.40,      1.40,      1.40,3,4100,5750
AAF,N,0000,ASIA ASSET,08-JAN-18,      1.50,      1.40,      1.40,      1.40,41,480094,672706.9
AAF,N,0000,ASIA ASSET,09-JAN-18,      1.50,      1.40,      1.40,      1.40,3,22500,32750
AAF,N,0000,ASIA ASSET,10-JAN-18,      1.50,      1.40,      1.40,      1.40,5,58992,82688.8
AAF,N,0000,ASIA ASSET,11-JAN-18,      1.50,      1.40,      1.50,      1.50,3,1810,2714
AAF,N,0000,ASIA ASSET,12-JAN-18,      1.40,      1.40,      1.40,      1.40,2,10090,14126
AAF,N,0000,ASIA ASSET,16-JAN-18,      1.50,      1.40,      1.50,      1.50,4,15150,21310
AAF,N,0000,ASIA ASSET,17-JAN-18,      1.50,      1.40,      1.40,      1.40,10,82000,121400
AAF,N,0000,ASIA ASSET,18-JAN-18,      1.40,      1.40,      1.40,      1.40,16,188125,263375
AAF,N,0000,ASIA ASSET,19-JAN-18,      1.40,      1.40,      1.40,      1.40,2,5000,7000
AAF,N,0000,ASIA ASSET,22-JAN-18,      1.40,      1.40,      1.40,      1.40,8,19517,27323.8
AAF,N,0000,ASIA ASSET,23-JAN-18,      1.40,      1.30,      1.40,      1.40,8,33725,43925
AAF,N,0000,ASIA ASSET,24-JAN-18,      1.40,      1.30,      1.40,      1.40,5,21072,29468.6
AAF,N,0000,ASIA ASSET,25-JAN-18,      1.30,      1.30,      1.30,      1.30,2,102,132.6
AAF,N,0000,ASIA ASSET,26-JAN-18,      1.40,      1.30,      1.30,      1.30,7,108142,140798.7
AAF,N,0000,ASIA ASSET,29-JAN-18,      1.40,      1.30,      1.30,      1.30,26,305530,397192
AAF,N,0000,ASIA ASSET,30-JAN-18,      1.40,      1.30,      1.40,      1.40,15,64411,90109.3
AAF,N,0000,ASIA ASSET,01-FEB-18,      1.40,      1.40,      1.40,      1.40,3,1200,1680
AAF,N,0000,ASIA ASSET,02-FEB-18,      1.40,      1.40,      1.40,      1.40,8,12900,18060
AAF,N,0000,ASIA ASSET,06-FEB-18,      1.30,      1.30,      1.30,      1.30,6,30000,39000
AAF,N,0000,ASIA ASSET,07-FEB-18,      1.50,      1.30,      1.30,      1.30,92,2912933,3850251.4
AAF,N,0000,ASIA ASSET,08-FEB-18,      1.50,      1.30,      1.40,      1.40,33,901804,1262426
AAF,N,0000,ASIA ASSET,09-FEB-18,      1.50,      1.40,      1.40,      1.40,41,313503,439754.3
AAF,N,0000,ASIA ASSET,12-FEB-18,      1.40,      1.40,      1.40,      1.40,23,364529,510340.6
AAF,N,0000,ASIA ASSET,14-FEB-18,      1.50,      1.30,      1.40,      1.40,40,27700,38814.9
AAF,N,0000,ASIA ASSET,15-FEB-18,      1.50,      1.30,      1.40,      1.40,19,45953,64007.4
AAF,N,0000,ASIA ASSET,16-FEB-18,      1.50,      1.40,      1.40,      1.40,9,23553,32974.4
AAF,N,0000,ASIA ASSET,19-FEB-18,      1.40,      1.30,      1.40,      1.40,7,56459,79032.5
AAF,N,0000,ASIA ASSET,20-FEB-18,      1.40,      1.40,      1.40,      1.40,6,15102,21142.8
AAF,N,0000,ASIA ASSET,21-FEB-18,      1.40,      1.40,      1.40,      1.40,2,90000,126000
