"DAILY HIGH, LOW AND CLOSING PRICES 2019 (January to Decemer)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,02-JAN-19,       .90,       .80,       .90,       .90,14,3643,3268.7
AAF,N,0000,ASIA ASSET,03-JAN-19,       .90,       .80,       .90,       .90,7,16761,15059.9
AAF,N,0000,ASIA ASSET,04-JAN-19,       .90,       .80,       .80,       .90,15,216850,175471.7
AAF,N,0000,ASIA ASSET,07-JAN-19,       .90,       .90,       .90,       .90,5,10702,9631.8
AAF,N,0000,ASIA ASSET,08-JAN-19,       .90,       .80,       .90,       .80,16,62905,50845
AAF,N,0000,ASIA ASSET,09-JAN-19,       .90,       .90,       .90,       .90,3,10580,9522
AAF,N,0000,ASIA ASSET,10-JAN-19,       .80,       .80,       .80,       .80,2,101,80.8
AAF,N,0000,ASIA ASSET,11-JAN-19,       .90,       .80,       .90,       .80,9,1176,1054.9
AAF,N,0000,ASIA ASSET,14-JAN-19,       .90,       .80,       .80,       .80,3,3156,2540.4
AAF,N,0000,ASIA ASSET,16-JAN-19,       .90,       .90,       .90,       .90,4,1077,969.3
AAF,N,0000,ASIA ASSET,17-JAN-19,       .90,       .90,       .90,       .90,12,24949,22454.1
AAF,N,0000,ASIA ASSET,18-JAN-19,       .90,       .90,       .90,       .90,13,59792,53812.8
AAF,N,0000,ASIA ASSET,21-JAN-19,       .90,       .80,       .80,       .80,15,85435,68905.5
AAF,N,0000,ASIA ASSET,22-JAN-19,       .90,       .80,       .80,       .90,8,5027,4024.3
AAF,N,0000,ASIA ASSET,23-JAN-19,       .90,       .80,       .80,       .90,6,3276,2848.4
AAF,N,0000,ASIA ASSET,24-JAN-19,       .90,       .80,       .80,       .90,12,32589,27080.1
AAF,N,0000,ASIA ASSET,25-JAN-19,       .90,       .80,       .90,       .90,46,1377657,1102381.3
AAF,N,0000,ASIA ASSET,28-JAN-19,       .90,       .90,       .90,       .90,1,10,9
AAF,N,0000,ASIA ASSET,29-JAN-19,       .90,       .80,       .90,       .90,9,10392,9352.7
AAF,N,0000,ASIA ASSET,30-JAN-19,       .90,       .80,       .90,       .80,12,54887,44898.3
AAF,N,0000,ASIA ASSET,31-JAN-19,       .90,       .80,       .90,       .80,30,71499,59248.8
AAF,N,0000,ASIA ASSET,07-FEB-19,      8.70,      7.30,      7.80,      8.70,16,5014,39097.1
AAF,N,0000,ASIA ASSET,08-FEB-19,      8.00,      7.60,      7.80,      7.60,16,6937,55265
AAF,N,0000,ASIA ASSET,11-FEB-19,      8.40,      7.90,      8.00,      7.90,18,14866,119327.9
AAF,N,0000,ASIA ASSET,12-FEB-19,      8.20,      8.00,      8.00,      8.20,4,4503,36024.6
AAF,N,0000,ASIA ASSET,13-FEB-19,      8.20,      8.00,      8.00,      8.00,12,24896,199190.6
AAF,N,0000,ASIA ASSET,14-FEB-19,      8.20,      7.90,      7.90,      8.20,7,286,2278.2
AAF,N,0000,ASIA ASSET,15-FEB-19,      8.20,      8.00,      8.10,      8.00,8,465,3746.4
AAF,N,0000,ASIA ASSET,18-FEB-19,      8.00,      7.80,      7.90,      7.80,10,8060,62908.2
AAF,N,0000,ASIA ASSET,20-FEB-19,      8.00,      7.80,      7.90,      8.00,8,4746,37224.2
AAF,N,0000,ASIA ASSET,21-FEB-19,      7.90,      7.60,      7.60,      7.90,14,14639,111885.5
AAF,N,0000,ASIA ASSET,22-FEB-19,      7.70,      7.30,      7.60,      7.30,7,2487,18557.2
AAF,N,0000,ASIA ASSET,25-FEB-19,      7.90,      7.30,      7.90,      7.90,13,10220,80096.2
AAF,N,0000,ASIA ASSET,26-FEB-19,      8.40,      7.30,      8.30,      7.30,16,64336,513791.7
AAF,N,0000,ASIA ASSET,27-FEB-19,      8.50,      7.60,      8.40,      7.70,13,16357,132088
AAF,N,0000,ASIA ASSET,28-FEB-19,      8.50,      8.00,      8.00,      8.50,12,852,6826.5
AAF,N,0000,ASIA ASSET,01-MAR-19,      8.30,      8.30,      8.00,      8.30,1,3,24.9
AAF,N,0000,ASIA ASSET,05-MAR-19,      8.10,      8.10,      8.10,      8.10,3,550,4455
AAF,N,0000,ASIA ASSET,06-MAR-19,      8.10,      7.90,      8.10,      8.10,11,2023,16228.3
AAF,N,0000,ASIA ASSET,07-MAR-19,      8.00,      7.90,      7.90,      7.90,6,2257,17894.3
AAF,N,0000,ASIA ASSET,08-MAR-19,      7.90,      7.80,      7.80,      7.80,3,531,4141.9
AAF,N,0000,ASIA ASSET,11-MAR-19,      7.80,      7.80,      7.80,      7.80,7,2209,17230.2
AAF,N,0000,ASIA ASSET,12-MAR-19,      7.90,      7.70,      7.80,      7.70,8,6137,47846.7
AAF,N,0000,ASIA ASSET,13-MAR-19,      7.70,      7.60,      7.60,      7.70,2,6280,47756
AAF,N,0000,ASIA ASSET,14-MAR-19,      7.80,      7.60,      7.80,      7.60,8,6352,48300.2
AAF,N,0000,ASIA ASSET,19-MAR-19,      7.80,      7.60,      7.80,      7.60,78,1890,14722
AAF,N,0000,ASIA ASSET,21-MAR-19,      8.20,      7.70,      8.00,      7.80,14,10319,81810.3
AAF,N,0000,ASIA ASSET,22-MAR-19,      7.90,      7.70,      7.70,      7.70,2,251,1932.9
AAF,N,0000,ASIA ASSET,25-MAR-19,      7.70,      7.70,      7.70,      7.70,3,5500,42350
AAF,N,0000,ASIA ASSET,26-MAR-19,      7.90,      7.70,      7.90,      7.90,9,6529,51525
AAF,N,0000,ASIA ASSET,27-MAR-19,      8.00,      7.70,      7.90,      7.70,6,2500,19850
AAF,N,0000,ASIA ASSET,28-MAR-19,      8.80,      7.90,      8.00,      8.00,19,19079,154008.5
AAF,N,0000,ASIA ASSET,29-MAR-19,      9.00,      7.70,      8.40,      7.70,22,45383,379891
AAF,N,0000,ASIA ASSET,01-APR-19,      8.30,      7.70,      7.80,      8.20,19,6024,47275.2
AAF,N,0000,ASIA ASSET,02-APR-19,      8.20,      7.80,      7.80,      7.80,4,387,3021
AAF,N,0000,ASIA ASSET,03-APR-19,      8.10,      8.10,      8.17,      8.10,6,14,113.4
AAF,N,0000,ASIA ASSET,04-APR-19,      8.10,      7.60,      7.70,      8.10,25,19908,152821.6
AAF,N,0000,ASIA ASSET,05-APR-19,      8.00,      7.60,      7.60,      8.00,15,16366,124568.7
AAF,N,0000,ASIA ASSET,08-APR-19,      7.90,      7.50,      7.50,      7.90,11,9624,72994.5
AAF,N,0000,ASIA ASSET,09-APR-19,      7.80,      7.50,      7.50,      7.80,23,12053,90398.4
AAF,N,0000,ASIA ASSET,10-APR-19,      7.70,      7.30,      7.40,      7.50,36,10954,81364.5
AAF,N,0000,ASIA ASSET,11-APR-19,      7.70,      7.70,      7.40,      7.70,3,46,354.2
AAF,N,0000,ASIA ASSET,16-APR-19,      7.90,      7.70,      7.80,      7.70,13,6260,48874.6
AAF,N,0000,ASIA ASSET,17-APR-19,      7.90,      7.90,      7.90,      7.90,4,10014,79110.6
AAF,N,0000,ASIA ASSET,18-APR-19,      7.90,      7.50,      7.50,      7.90,8,4387,32944.2
AAF,N,0000,ASIA ASSET,23-APR-19,      7.90,      7.50,      7.50,      7.50,8,6030,45261
AAF,N,0000,ASIA ASSET,24-APR-19,      7.90,      7.50,      7.50,      7.90,6,5688,42666.9
AAF,N,0000,ASIA ASSET,25-APR-19,      7.90,      7.50,      7.50,      7.60,17,13306,99857.4
AAF,N,0000,ASIA ASSET,26-APR-19,      7.80,      7.60,      7.70,      7.60,4,255,1969
AAF,N,0000,ASIA ASSET,29-APR-19,      8.00,      7.40,      7.40,      7.50,13,10103,74840.6
AAF,N,0000,ASIA ASSET,30-APR-19,      7.80,      7.40,      7.40,      7.70,15,13928,103284.5
AAF,N,0000,ASIA ASSET,02-MAY-19,      7.50,      7.10,      7.30,      7.50,17,13081,95392.3
