"DAILY HIGH, LOW AND CLOSING PRICES 2020 (January to Decemer)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,02-JAN-20,      8.80,      8.50,      8.60,      8.80,7,522,4500.1
AAF,N,0000,ASIA ASSET,03-JAN-20,      8.60,      8.50,      8.50,      8.60,10,15582,132517
AAF,N,0000,ASIA ASSET,06-JAN-20,      8.50,      8.50,      8.50,      8.50,3,200,1700
AAF,N,0000,ASIA ASSET,07-JAN-20,      8.40,      8.30,      8.30,      8.40,6,700,5844
AAF,N,0000,ASIA ASSET,08-JAN-20,      8.50,      8.10,      8.10,      8.30,13,15926,129859
AAF,N,0000,ASIA ASSET,09-JAN-20,      8.40,      8.40,      8.10,      8.40,1,1,8.4
AAF,N,0000,ASIA ASSET,13-JAN-20,      8.40,      8.30,      8.30,      8.40,4,2041,16940.4
AAF,N,0000,ASIA ASSET,14-JAN-20,      8.40,      8.40,      8.30,      8.40,1,11,92.4
AAF,N,0000,ASIA ASSET,16-JAN-20,      8.50,      8.30,      8.50,      8.50,3,201,1688.5
AAF,N,0000,ASIA ASSET,17-JAN-20,      8.30,      7.90,      8.00,      8.30,19,17761,143606.7
AAF,N,0000,ASIA ASSET,20-JAN-20,      8.20,      7.90,      8.20,      7.90,8,2047,16601.6
AAF,N,0000,ASIA ASSET,21-JAN-20,      8.20,      8.20,      8.20,      8.20,1,50,410
AAF,N,0000,ASIA ASSET,22-JAN-20,      8.20,      8.00,      8.20,      8.20,5,1240,10100
AAF,N,0000,ASIA ASSET,23-JAN-20,      8.20,      8.00,      8.20,      8.00,10,528,4299.6
AAF,N,0000,ASIA ASSET,24-JAN-20,      8.20,      8.10,      8.20,      8.10,6,728,5939.8
AAF,N,0000,ASIA ASSET,27-JAN-20,      8.20,      7.90,      7.90,      8.20,9,11029,87303.9
AAF,N,0000,ASIA ASSET,28-JAN-20,      8.00,      8.00,      8.00,      8.00,1,219,1752
AAF,N,0000,ASIA ASSET,31-JAN-20,      8.10,      8.10,      8.10,      8.10,2,1015,8221.5
AAF,N,0000,ASIA ASSET,03-FEB-20,      8.10,      7.90,      7.90,      8.10,3,1000,7925
AAF,N,0000,ASIA ASSET,06-FEB-20,      8.60,      8.00,      8.10,      8.50,17,25552,208675.5
AAF,N,0000,ASIA ASSET,07-FEB-20,      8.00,      7.90,      8.00,      8.00,5,2190,17377.1
AAF,N,0000,ASIA ASSET,10-FEB-20,      8.20,      8.00,      8.10,      8.20,2,140,1140
