"DAILY HIGH, LOW AND CLOSING PRICES 2021 (January to March)",,,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
AAF,N,0000,ASIA ASSET,04-JAN-21,      8.90,      8.80,      8.80,      8.80,4,2510,22208
AAF,N,0000,ASIA ASSET,05-JAN-21,      9.10,      8.80,      9.00,      9.00,21,23269,206917.5
AAF,N,0000,ASIA ASSET,06-JAN-21,      9.00,      8.80,      8.80,      8.80,28,22515,198242
AAF,N,0000,ASIA ASSET,07-JAN-21,      9.10,      8.80,      8.90,      8.90,10,14832,131349.6
AAF,N,0000,ASIA ASSET,08-JAN-21,      8.80,      8.60,      8.60,      8.60,24,109384,945862.3
AAF,N,0000,ASIA ASSET,11-JAN-21,      8.60,      8.20,      8.50,      8.50,60,82409,688285.2
AAF,N,0000,ASIA ASSET,12-JAN-21,      8.90,      8.50,      8.70,      8.70,9,1870,16033
AAF,N,0000,ASIA ASSET,13-JAN-21,      8.80,      8.60,      8.60,      8.60,7,10327,88894.9
AAF,N,0000,ASIA ASSET,15-JAN-21,      8.70,      8.20,      8.20,      8.20,160,377886,3112521
AAF,N,0000,ASIA ASSET,18-JAN-21,      8.80,      8.20,      8.40,      8.40,64,386457,3240490
AAF,N,0000,ASIA ASSET,19-JAN-21,      8.70,      8.30,      8.50,      8.50,35,48703,418601.6
AAF,N,0000,ASIA ASSET,20-JAN-21,      8.50,      8.30,      8.40,      8.40,17,27828,233768
AAF,N,0000,ASIA ASSET,21-JAN-21,      8.50,      8.20,      8.30,      8.30,17,11219,93813.8
AAF,N,0000,ASIA ASSET,22-JAN-21,      8.30,      8.20,      8.20,      8.20,22,86637,713115.4
AAF,N,0000,ASIA ASSET,25-JAN-21,      8.50,      8.00,      8.10,      8.10,81,306490,2495565.9
AAF,N,0000,ASIA ASSET,26-JAN-21,      8.10,      7.70,      7.80,      7.80,94,509462,4025079.6
AAF,N,0000,ASIA ASSET,27-JAN-21,      8.00,      7.70,      7.80,      7.80,33,244223,1913295.8
AAF,N,0000,ASIA ASSET,29-JAN-21,      7.90,      7.60,      7.70,      7.70,40,73386,566272.8
AAF,N,0000,ASIA ASSET,01-FEB-21,      7.60,      7.30,      7.40,      7.40,50,137779,1022639
AAF,N,0000,ASIA ASSET,02-FEB-21,      7.40,      7.20,      7.30,      7.30,18,23926,173786.5
AAF,N,0000,ASIA ASSET,03-FEB-21,      7.50,      7.30,      7.50,      7.50,11,15684,115137.2
AAF,N,0000,ASIA ASSET,05-FEB-21,      7.60,      7.30,      7.30,      7.30,34,48415,355084.2
AAF,N,0000,ASIA ASSET,08-FEB-21,      7.40,      7.20,      7.20,      7.20,9,11718,84893.3
AAF,N,0000,ASIA ASSET,09-FEB-21,      7.30,      7.20,      7.20,      7.20,26,47365,341831.4
AAF,N,0000,ASIA ASSET,10-FEB-21,      7.20,      6.90,      7.00,      7.00,35,47561,334883.2
AAF,N,0000,ASIA ASSET,11-FEB-21,      7.00,      6.80,      7.00,      7.00,14,19609,135512.1
AAF,N,0000,ASIA ASSET,12-FEB-21,      7.00,      6.80,      7.00,      7.00,94,118694,828196.4
AAF,N,0000,ASIA ASSET,15-FEB-21,      7.70,      7.00,      7.30,      7.30,18,9982,74202.2
AAF,N,0000,ASIA ASSET,16-FEB-21,      7.30,      6.90,      6.90,      6.90,27,38085,265995.5
AAF,N,0000,ASIA ASSET,17-FEB-21,      7.20,      6.90,      6.90,      6.90,9,26489,182842.6
AAF,N,0000,ASIA ASSET,18-FEB-21,      7.00,      6.90,      7.00,      7.00,12,11752,81663.9
AAF,N,0000,ASIA ASSET,19-FEB-21,      7.00,      6.90,      6.90,      6.90,8,6103,42221
AAF,N,0000,ASIA ASSET,22-FEB-21,      7.00,      6.80,      6.90,      6.90,18,8524,58635.3
AAF,N,0000,ASIA ASSET,23-FEB-21,      7.00,      6.20,      6.30,      6.30,53,125069,793473.1
AAF,N,0000,ASIA ASSET,24-FEB-21,      6.40,      6.20,      6.20,      6.20,23,50610,314028
AAF,N,0000,ASIA ASSET,25-FEB-21,      7.00,      6.20,      6.50,      6.50,40,22698,146464.4
AAF,N,0000,ASIA ASSET,01-MAR-21,      6.90,      6.30,      6.50,      6.50,14,4191,27274.8
AAF,N,0000,ASIA ASSET,02-MAR-21,      6.30,      5.70,      5.90,      5.90,89,98275,583921.9
